name,rating,date,text
Nayylaputriamaliaa12,5,30 menit lalu,sangat sangat cucuk buat yang mau healing apalgi nga date‼️😍 …
Judi Yanto,5,4 hari lalu,Ademmmmm
Muhammad Rif'an Afandi,4,seminggu lalu,"Vibes nya bagus tapi harga nya bayar tiket 22ribu bayar parkir 3ribu, jasa penitipan helm 5ribu"
savira deta,1,seminggu lalu,"Bintang satu buat org yg bilangnya jaga helm biar gak kena hujan ternyata suruh bayar pas ambil. HARUSNYA NGOMONG DR AWAL PLIS LAH.
parkir 3k, helm 5k
Gak jelas bgt"
Ririn Prastiwi,5,2 minggu lalu,Tempat asri sejuk banget pas kesana cuaca hujan makin syahduuu..lain kali bisa berkunjung lagi ..
Aksanu Alfan,5,Diedit 2 minggu lalu,Semakin bagus tempatnya saat terakhir kali kesini
Bang Silo,1,3 minggu lalu,"Kurang setuju ketika helm di ambil petugas parkir di taruh dipenitipan tanpa konfirmasi dan ketika ambil di kenai biaya 5 rb per dua helm.
Cuman masukan sj semoga pengunjung tdk kapok lagi untuk datang kembali, tp sy jujur kapok.
Terimakasih 🙏 …"
Aini,5,Diedit 4 minggu lalu,"Tempatnya bagus bgtt , sejuk , bersih, nyaman
Wort it bgtttt sihh buat yang mau healing kesini🤗 …"
Ourpovjpg,5,4 minggu lalu,"Jalannya ga jauh, tapi bagus banget, bisa main air jugaa, airnya dingin bgttt segerrr"
Stevanny Patricia,5,sebulan lalu,"bagus, trakhir kesini 2024👍🏻 …"
M. Fuad Q. Alam,5,sebulan lalu,"Air Terjun Putuk Truno is a stunning waterfall located in Prigen, Pasuruan, East Java, with a height of around 45 meters. The waterfall is surrounded by lush tropical forests and offers a serene atmosphere, making it perfect for relaxation …"
Alfin Kurniawan,3,sebulan lalu,Es teh 7000 kopi 8000 parkir motor 3000 untuk helm di tarik uang juga 5000 masuk 22000
Ika WR Dinar KR Surabaya,4,sebulan lalu,"Tempat parkir luas, sayang saat kesana pas hujan deras jadi ga sampai di dasar air terjun.
Cukup bagus dan masih sangat Asri"
Aca Nataya,1,sebulan lalu,"Puas bgt sama deras nya air terjun, tempat bersih, untuk harga tiket masuk mungkin masuk mahal untuk pemandangan air terjun saja, tp its ok lah bisa di maklumi, yg perlu di evaluasi adalah dg harga tiket masuk 22k di hari weekend tolong lah …"
Ezio Indarto,1,sebulan lalu,"Bisa jadi pertimbangan bagi yg belum pernah kesini pakai motor. Selain parkir 3k (wajar), ada pungli berkedok penitipan helm 5k dan ini dipaksa"
Hanimatul Yazid,1,sebulan lalu,"Kecewa sama tukang parkir nya sih
Parkir motor. Biasa
Setelah pengunjung meninggalkan motor ada tukang parkir helm. Kenapa gak pas …"
Aca,5,sebulan lalu,"First time lihat air terjun, beraniin diri kesini ternyata terbayar sudah perjalanan menuju kesini. Parkirnya bayar 6rb(motor+helm). Tiket masuk 22rb. Jalanan ke lokasinya memang menanjak, jadi waktu jalan ke air terjunnya turun. Dan dari …"
