name,rating,date,text
Abd Nasech,5,2 hari lalu,Berkunjung di malam hari lebih jelas apinya
Fatur rohman,5,2 minggu lalu,"Api tak kunjung padam meski saat saya kesana tidak terlalu ramai seperti biasanya, karna saya sudah beberapa kali kesana baru kali ini merasa agak sepi, tapi malah enak begini serasa milik sendiri 😅jangan lupa makan rujak nya ya kawannn. Harga murah masuk murah beli oleh"" Juga murah semuanya serba murah. …"
Mohammad Zamroni,1,2 minggu lalu,Parkiran nya mahal 10.000 rb.
Sahrul Ali,4,sebulan lalu,Wisata yang harus di datengin ketika berkunjung ke madura
MOH HARIYONO,5,sebulan lalu,semoga selalu menyala
Damaskyus,5,sebulan lalu,Tempat nya bagus buat waktu bersama family
Afri Alfarobi,5,2 bulan lalu,"Salah satu destinasi wisata di kota pamekasan yang berada di kecamatan tlanakan, dan disana terdapat sumber api alami yang tak kunjung padam"
Wahyu DC,5,2 bulan lalu,Unik dan menarik
Anisa Ae,4,2 bulan lalu,"Akhirnya mengunjungi tempat ini. Memang seperti namanya, apinya tak kunjung padam. Ada cerita kepercayaan tentang asal-usul api ini. Dikenakan tiket parkir aja, tidak ada tiket masuk. Banyak penjual yang ada di sekitar lokasi. Tapi ya tempatnya gitu aja."
Daeng,4,2 bulan lalu,"Lumayan Untuk Bisa menemukan Wisata alam Yg begitu Unik dan Luar biasa, maha suci Allah, tinggal di benahi lagi dan jika Masyrakay Rame² berpartisipasi Serta pemda Yg ikut membantu mempercantik dan memberi beberapa tambahan hiburan, dijamin akan lebih rame lagi"
Ipung Erfandi,5,3 bulan lalu,sangat menghibur
Mister Widy,3,4 bulan lalu,Potensi wisata alam yang tak tersentuh perkembangannya.
Khoirul Anam,5,4 bulan lalu,Mantap gaya tradisional
UDIN DRIVER PARIWISATA,5,4 bulan lalu,Jossss tempat nyaman dan mantabe
Saudara R N A H,5,4 bulan lalu,Im Fire
Asepsap Maloloh,5,5 bulan lalu,"Suasana yang bagus,"
Hamydy Karsay,5,6 bulan lalu,Bagus
Imron Rosidi,5,6 bulan lalu,mantap apa lagi berkunjung malam hari
Nabila Rifda,2,6 bulan lalu,"sesuai nama tempatnya, yaudah api.

bisa lebih berkembang kalau dikelola lebih baik, misal tarik tiket 2.000 aja gitu bisa lumayan nambah2 kursi pengunjung (maaf sekedar saran)"
A. M. Marfianto,5,6 bulan lalu,Asiknya kalo malam hari.
Nifi Maulidya,5,7 bulan lalu,"ini bagus banget si, patut di banggakan dan dimanfaatkan semaksimal mungkin"
Renni Kusindrayanti,4,7 bulan lalu,"Tempat wisata yang harus di kunjungi ketika berkunjung ke Pamekasan...
Walaupun tempatnya kurang tertata rapih karena menyatu dengan penjual souvenir.."
ANNA TW,5,7 bulan lalu,Bakar jagung ..  malam hari .. cuaca nya mendukung .. dan sedang tidak terlalu ramai
alie semar,5,Diedit 8 bulan lalu,"Tempat yang bagus
parkir mahal"
Ririn Sugiarti,5,8 bulan lalu,👍👍👍 …
Ahlus Saadah,4,8 bulan lalu,"Tempatnya bagus , bersih"
Abdul Hamid,5,9 bulan lalu,"Tempat nyaman, harga oleh"" Khas madura cukup lengkap dan murah meriah di banding tempat lainnya"
연시놂,5,9 bulan lalu,Tempat menarik yang saya kunjungi karena penasaran. Api benar-benar keluar dari dalam tanah. Berbagai macam makanan dan peralatan memasak dijual di dekat sumber api. Anda dapat membeli dan memasak makanan jika perlu!
FATHORROHMAN UINSA,1,Diedit 10 bulan lalu,"Tepatnya jam 08.46
Sabtu 16 November 24
Satuan satuan lembaga MIS Nurut Taufiq lakukan rehalibitasi kelas atap yang bocor"
basar abi,5,10 bulan lalu,Salah satu tanda kehendak Allah
Rahmad H.,4,11 bulan lalu,Kok sepi ??? Ayo guys ramaikan.....
Moh Zainur Rohman,1,11 bulan lalu,tempatnyabagus
Al Faqiir Abdul Mukit,5,11 bulan lalu,Tempat yg sangat nyaman
Fajri Zain,3,setahun lalu,"Buat yang cinta ilmu geologi pasti suka banget sama tempat ini, tapi buat orang yang mau nyari tempat wisata buat have fun jangan espek berlebihan sih. Nikmati apinya yang berasal dari gas alami dari perut bumi dengan bakar jagung, telur, dll."
andry wibowo,4,setahun lalu,Nice place but need more add some facility.. but overall good place to visit
Gandang Lelono,3,setahun lalu,keajaiban ciptaan Alloh
