name,rating,date,text
Mahfi,5,2 hari lalu,"Bagus banget apalagi datengnya with my fav person, pagi pagi udaranya seger banget bisa liat view pegunungan putri tidur love this place❤️🌺☘️ …"
Tyas Putri,5,seminggu lalu,Speachless pokoknya... sangatttttttt bagusss rekom pokoknya🥰🥰🥰 …
Warkop Jowo,5,4 minggu lalu,Bagus
andi joe,5,sebulan lalu,Nice pemandangan
Yaz .id,5,sebulan lalu,"Tempat yang asri.. hamparan luas menghijau sawah ladang petani menyegarkan mata, jangan lupa menikmati view indah dari satu2nya warung kopi dan gorengan yg ada didekat situ 😁, cocok buat latihan trail running juga. …"
Kristi Sanjaya,5,sebulan lalu,Udara segar
fiekhrie AREAMDPL,5,2 bulan lalu,Top.... cocok buat yg suka ngeDrone
Yusuf Maulana,5,2 bulan lalu,"Pemandangan alami,hijau kebun pegunungan,hawa sejuk dingin"
RAMBO 913,5,Diedit 2 bulan lalu,"MARI KITA JAGA DAN
JANGAN INJAK TANAMAN PETANI"
freiya family,5,3 bulan lalu,menikmati alam yang cantik sambil minum kopi
Triswasono Adi,5,3 bulan lalu,"suasananya sejuk
Bagus untuk foto- foto dengan latar belakang gunung dan kota Batu
Ada tempat nongkrong sambil minum kopi"
Muhammad zaki Nurhuda,5,3 bulan lalu,"Bukit nya bagus udaranya bersih, bisa lihat pemandangan sambil piknik atau makan di warung sederhana. Saran saya kalau mau ke sini pakai map untuk mobil kalau tidak bakal nyasar dan juga jalan ke sana agak ekstrim karena berbatu"
Notya Teguh Pratomo,1,3 bulan lalu,"Penjual tidak ramah
Akses jalan berbatu kurang nyaman"
Ridho Tzy,5,3 bulan lalu,Tempatnya sangat bagus asri dan nyaman
Cak Kim,5,4 bulan lalu,Serasa di serpihan Surga yang tersembunyi
guns'n' enduro,5,4 bulan lalu,Adem.... representatif..datang ketika VES ANNIVERSARY JATIM
Muhammad Harsya,5,4 bulan lalu,"untuk akses mohon diperjelas lagi, tempatnya baguss pol"
Rita Nofiana,5,4 bulan lalu,Kesini saat cuaca cerah.... Sangat menyenangkan
Iksan,5,4 bulan lalu,Pemandangan yang sangat indah sekali
Andriawan M,5,4 bulan lalu,Cocok buat latihan trailrun dan hiking santai
JAYAKARTA,5,4 bulan lalu,"Masyaallah, bagus tempatnya"
Feerenza,5,5 bulan lalu,"BUKIT JENGKOANG. adalah tempat yang memiliki daya tarik utama berupa pemandangan Gunung Arjuno yang tampak sangat jelas dari dekat, serta panorama perkebunan hijau yang menyejukkan mata. Dari titik ini, pengunjung juga bisa menyaksikan …"
Idp,4,5 bulan lalu,Kawasan yg sangat sejuk di Kota Batu  dengan pemandangan alam yang indah
Nuryati Tsabita,5,5 bulan lalu,Suasana pedesaan yang sangat menyenangkan dengan melihat aktifitas petani yang guyup rukun saling menyapa walaupun kita tidak saling kenal
aldo dwi,5,5 bulan lalu,Tempat bagus. Cuman track rusak kena trail sama mobil offroad 🥲 …
Keluarga Penjelajah,5,6 bulan lalu,Sekarang sudah banyak resto dan hotel deket sini
Devana R.A,5,Diedit 6 bulan lalu,"Bagus asli. gausa htm"" an gratis aja dapet view kaya diluar negeri😍 alay deh. YANG MAU KESINI IKUTIN MAPS RUTE MOBIL JANGAN MOTOR KALO GAMAU NYASAR KAYA AKU. …"
Riky N W,5,6 bulan lalu,"tempat oke buat ngechill, tp buat siapapun yg kesini watch ur step ya soalnya kanan kiri kebun orangg biar ga ngrusak taneman. sayangnya yg kesini pda kurang sadar akan kebersihan. banyak sampah berserakan terutama botol miras."
Alzidan Dafa Vinahar (Njeber),5,6 bulan lalu,JOSJIS ADALAH 🤙🤙🤙 …
Reza Pahlevi,5,6 bulan lalu,"Tempat nya sejuk.. Butuh effort buat kesananya karena jalanan nya masih bebatuan dan belom aspal, but bagus kok   ✋😮🤚 …"
