name,rating,date,text
Mat Longor,5,Diedit sebulan lalu,"Tempat  ini  indah  sejuk  bagus buat  rekreasi  keluarga  sambil  makan bersama  tempat ny bersih  angin sepoy """
hendra kurniawan,4,Diedit sebulan lalu,Kurang dikembangkan potensi wisatanya
Raudatul Jannah,5,2 bulan lalu,Bagus keren
beny kusumawanto,3,3 bulan lalu,Sepi.. jam 8 pagi belum buka. Sekarang gk bisa masuk keatas.
Surya Wardhana,5,Diedit 5 bulan lalu,Bagus tpi pas tutup hehe
Adis Rhm,5,5 bulan lalu,Parkir. Gratis. Ada warung di depan mercusuar. View laut lepas.
H vW,3,5 bulan lalu,"Mercusuar yang bagus. Tidak lebih dari itu, kecuali makanan di Ayam Goreng Nelongso di Bangkalam"
HNL Ryadi86,5,6 bulan lalu,Lokasi BerSejarah disalah satu peninggalan Belanda pada masanya..
tamio soberano,5,6 bulan lalu,"Tempatnya asri, teduh dan sepi"
sultonul halimin,5,7 bulan lalu,Mersuar peninggalan belanda
Muchamad Syahroni Ramadhan,3,8 bulan lalu,Tidak bisa masuk.
Ronny Oen,5,8 bulan lalu,A nice place to see
Suratmi Dafa,3,9 bulan lalu,Tempatnya kurang bagus tidak terawat
Shuyin Tidus,1,9 bulan lalu,The road not properly for car nor motorbike
IU Rahyyyu,4,9 bulan lalu,"Tidak boleh naik ke atas ..

Hnya boleh masuk ke mercusuar dilantai dasar saja"
Hendra Kurniawan,5,9 bulan lalu,Menara zaman belanda
Achmadda Najdan (Alaikassalam),5,10 bulan lalu,"Situs peninggalan dari zaman sahulu, yang sekarang menjadi peninggalan bersejarah untuk generasi penerus bangsa. Sebagai salah satu tanda bahwa kejayaan bidang maritim NKRI sudah tercipta semenjak dahulu, dengan adanya suar menandakan adanya transportasi laut yang cukup ramai diwaktu itu bahkan sampai sekarang."
Rendra Dwi,5,Diedit setahun lalu,"Tempat bagus untuk piknik bersama keluarga, bisa juga di buat spot foto"
Andri Kristiawan,5,setahun lalu,Rest area buat gowes
Abdurrahman,3,setahun lalu,"Pemandangan yang indah, jika saja tidak ada sampah"
Eva Zunaina,4,setahun lalu,Sayang situs sejarah tidak dikelola dengan baik. Masuknya gratis
Fawzy Wak bejo,5,setahun lalu,Exotic
RAAF afdal,5,setahun lalu,👍 …
Johannes Harsacitta Pramudyo,5,setahun lalu,Tunggu aku
Rob,5,setahun lalu,"Mercusuar ini harus dilestarikan, karena bangunan bersejarah ini merupakan aset peninggalan kolonial. Meskipun fungsi utamanya tidak berjalan lagi seperti dulu, namun ini bukti saksi bahwa Bangkalan merupakan lokasi yang penting pada masa …"
