name,rating,date,text
Hanik Amaria,5,17 jam lalu,"Masjid besar parkir luas
Rame yg ziarah"
Wong Jrakah City,5,1 hari lalu,Masjid nya megah bagus👍 …
Roby DK,5,seminggu lalu,Alhamdulillahirobbilalamin. Barakallah bisa bersilaturrahim dan ziarah Makam Sayikhona Kholil Bangkalan bersama keluarga besar Nur Robithoh Jember saat tanggal 10Januari 2026 😊 Kita do'akan Almarhum dan Almarhumah para leluhur yg dimakamkan disini dan di pulau Madura diterima segala amal kebaikannya dan diampuni kesalahannya 🙏 …
Akhmad Muhlisin,5,seminggu lalu,tempat nyaman untuk sholat di sela perjalanan
Thohir kho,5,2 minggu lalu,"masjid besar
halaman luas
kamar mandi banyak, tidak antri lama kalau datang berombongan"
Ahmad Elghaza,5,2 minggu lalu,Datang ke tempat ini selalu berkesan
Niammuddin MZ,5,2 minggu lalu,Luar biasa wisata religi sambil ziarah
Tn. Tjakraningrat,5,3 minggu lalu,Nyaman. Jumatan gercep
Ryena,5,3 minggu lalu,Ziarah pas akhir pekan dan yang datang cukup padat
Reza Rezi,1,3 minggu lalu,"Parah padahal masjid loh kok bisa di mintai uang , kecuali WC UMUM baru lumprah dimintai uang wkwk ."
NUR CHOIRUDIN PUTRA,5,3 minggu lalu,Tempat sangat luas dan sangat nyaman untuk fasilitas sangat lengkap berikut dengan kebersihan di komplek makam dan masjidnya
Diah Nova Pratiwi,5,sebulan lalu,Bagus masjidnya.. 😍😍😍👍👍👍 …
Muhlisin Candra,5,sebulan lalu,Di syaihona kholil parkirnya sangat luas dan maknananya banyak dan merupakan tempat religi
Hans,5,sebulan lalu,"Tempatnya bagus dan membawa ketenangan ketika berada didalamnya. Tersedia fasilitas yg lumayan lengkap. Seperti kamar mandi yg luas, tersedia juga air mineral yg dijual dipojokan masjid."
Ardi Yunianto,5,sebulan lalu,💚❤️💙 …
YUDISCO PRASTIO (YUDISCO),5,sebulan lalu,Peninggalan para wali
Salman Choiri,5,sebulan lalu,Makin tenang beribadah sambil ngalap berkah dengan berziarah  ke makam Syaikhona Kholil dan bawa air Martajasah yang gede 6000 dan yang kecil 4000
Yurida Laili,5,sebulan lalu,Selalu seneng kalau kesini. Apalagi fasilitas kamar mandinya yg bersih dan luas sekalii. Membuat para pengunjung sangat nyaman.
Wahid Rosyidi,5,sebulan lalu,Masjid ini cukup bagus dan selalu ramai oleh para peziarah.
Jajang Sopandi,5,sebulan lalu,Sejuk dan Nyaman
Wasik Ilmie,5,sebulan lalu,Bagus
jait bae jeh,5,sebulan lalu,"Tempatnya nyaman,berdekatan dengan terminal bus dan pasar oleh oleh sufenir lokal"
video viral,5,sebulan lalu,Kunjungi wali Bangkalan
diladilo,5,2 bulan lalu,masjid yang ada di daerah bangkalan
nv ooo,5,3 bulan lalu,assalamualaikum warahmatullohi wabarokatuh
Zainah,5,Diedit 3 bulan lalu,"Masjid yg indah dg warna dominan hijau tua ,fasilitas masjid bagus dan bersih"
ahmad sukri,5,4 bulan lalu,"Harus ziarah ke mbh Kholil bila sudah sampai bangkalan,, nikmat"
kopi ngrancah,5,4 bulan lalu,Tempatnya bersih dan nyaman
TUNGGAL JAYA STONE,5,4 bulan lalu,Tempat bersih dan selalu ramai pengunjung
mahmudi gordyn,5,4 bulan lalu,Indah.religius
Rina Kustiyawati,5,4 bulan lalu,"Salah satu masjid sekaligus wisata religi bagi kaum muslim
Kebersihan toilet kurang terjaga meskipun ada penjaganya
Kebersihan area sholat cukup terjaga meskipun banyak jamaah berdatangan, …"
Sanusi Joko Siswoyo,5,4 bulan lalu,"Buka segera, banyak orang segera
MasyaAllah Tabarakallah
Takdim kepada Waliyullah"
Hanafi Zakariya (eram28),5,4 bulan lalu,"Masjid yang megah, nyaman, sejuk, arsitektur bagus, kaligrafinya bagus,
Semoga bisa istikomah sowan ke waliyullah"
Endang Shyta Triana,5,4 bulan lalu,Sangat sering ke masjid dan ziarah ke syaikhona Kholil
Incendio Leviosha,5,4 bulan lalu,"datang kesini sekitar selesai ashar, jam 15.30 an lah

masjidnya megah estetik bagus …"
rosi caem,5,Diedit 5 bulan lalu,Tempat menenangkan batin....
Imam Syafiie,5,5 bulan lalu,Masjid agung
Adi Amsyah,5,5 bulan lalu,Barokallah
Mohamad Fansuri,5,5 bulan lalu,Religius dan penuh aura sakral. Tempat bersih lahan parkir luas.
ELFIGO,5,5 bulan lalu,"Kondisi Terkini
Ziarah Ke Masjid Syaikhona Kholil
Jl. Raya Klampis, Toba, Buluk Agung, Kec. Klampis, Kabupaten Bangkalan, Jawa Timur 69153"
Hari Budiharto,5,5 bulan lalu,Sangat indah dan nyaman utk sholat
Alexander channel,5,5 bulan lalu,Masjid Syaikhona Kholil bangkalan madura
ofiq Taufiq,5,5 bulan lalu,Ok dan luas
Imam Hanafi,5,5 bulan lalu,Area kamar mandi atau wudlunya licin
Yanto Dwi,5,5 bulan lalu,Bersih & megah
Misbahul Khoir,5,5 bulan lalu,Wisata ziarah dan kiliner khas madura
jvc cellular,5,6 bulan lalu,selalu ada peziarah dtang tiap hri
MIKHAEL LUQMAN HAKIM,5,6 bulan lalu,Makasih
Ahmad Ibnu Aqil,5,6 bulan lalu,"luas, bersih"
Karimatus Sofa,5,6 bulan lalu,Bagus
Riski Nofal,5,6 bulan lalu,Masjid dgn ornamen yg megah dan berkesan
Jaki Mubarok,5,6 bulan lalu,Bagus dan rapih
Afri Alfarobi,5,6 bulan lalu,Salah satu Masjid terbesar dibangkalan dan disini Syaikhona Kholil disemayamkan
Yossi Dk,3,6 bulan lalu,Datang pas Jum'atan. Tidak ada area duduk tunggu untuk yg tidak sholat
Tria Meni,5,7 bulan lalu,"Mesjidnya terlihat megah dengan ornamen warna emasnya, tempatnya luas, kita pas berkunjung ke sini bertepatan dengan malam tahun baru 1 Muharam, yg juga disebut malam 1 Suro, ramai sekali, jadi mesjid yg luas terasa swmpit, saking banyaknya …"
Laila Syarifah,5,7 bulan lalu,"Wisata religi di madura yang selalu dikunjungi, sarannya kalo kesini jangan lupa beli satenya ya"
Amar Kadafi,5,7 bulan lalu,"Peziarah selalu ramai...
lbh enak ziarah pas malam hari...."
cahyo kamal,5,7 bulan lalu,Sangat dingin
annisa rizkaninghadi imansari,5,7 bulan lalu,"Masjid besar, parkirannya luas dan banyak penjual makanan, minuman, daster dan oleh2 khas madura
Kamar mandi banyak dan bersih"
M. Zulfiyan Alamsyah,5,7 bulan lalu,Masjid Syaikhona Kholil Bangkalan
Moehamad Al-Ghifari Ramadhan,5,7 bulan lalu,9 Juli 2024
Choirul Anam,5,7 bulan lalu,"Masjid yang luas, indah, dan nyaman"
muliadi alqolam,5,7 bulan lalu,Tempat yang begitu sakral dan nyaman untuk dipakai ibadah di mana di samping masjid ada makam yang begitu mulianya yaitu maqbaroh dari pad syaihona Muhammad Cholil bin Abdul latif
Teguh Syofiyullah,1,7 bulan lalu,"Parahh area masjid dan makam orang ke kamar mandi aja masih di mintain kencing 2k atau mandi 5k padahal fasilitas masjid di dalam nya pun ada tempat wudhu merusak citra saja, keliatanyaa ini orang ormas atau pengguran"
FORUM PEMUDA BATES,5,7 bulan lalu,Maha guru
Rivanza Rivanza,4,Diedit 8 bulan lalu,Subhanallah
Lina kris79,5,8 bulan lalu,Panas... walaupun luas)( coba ada tambahan tananam hijau mungkin lbh asri lagi
Budi Wahono,5,8 bulan lalu,Salah satu tempat tujuan wisata relegi di Madura (Bangkalan)
basuki madu,5,8 bulan lalu,Terharu waktu jamaah sholat shubut begitu penuh satu masjid
Lionelsi Kudo,5,8 bulan lalu,area parikir yg luas. banyak penjual makanan. toilet dan tempat wudhu' yg bersih dan bagus
Muhamad Yusuf,4,8 bulan lalu,"Masjid yang sangat megah dan penuh nilai sejarah. Terletak tidak jauh dari pusat kota Bangkalan. Di kompleks masjid juga terdapat makam Syaikhona Kholil, ulama besar Madura yang sangat dihormati. Banyak peziarah datang dari berbagai daerah, …"
achmad suherno,1,9 bulan lalu,"Informasi sangat menyesatkan umat muslim. Titik google map masjid berlokasi di kecamatan Labang, akan tetapi postingan gambarnya mengambil dari masjid yg ada di kecamatan Klampis"
