name,rating,date,text
Ramiz Mahdiy Moeniri,4,8 bulan lalu,"1. Jalan di tengah alun-alun berlumut dan licin, apalagi saat hujan
2. Kurangnya penataan untuk pedagang kaki lima, beberapa pedagang kaki lima ada yang ngambil tempat di trotoar …"
Khairatul Amaliya,5,setahun lalu,"Alun-alunnya luas ada macam-macam fasilitas, apalagi buat olahraga ada lapangan basket, bola, badminton dll. Buat anak-anak juga cocok karena ada taman bermain."
Yanti Suparyanti,5,2 tahun lalu,"Alun-alunnya luas dan hijau. Penataan bagus  dan dilengkapi dengan taman, area bermain anak-anak, berbagai lapangan olah raga seperti lapangan sepakbola yg luas, lapangan basket, lapangan voly. Ada juga kolam ikan di dalam taman dan area …"
Hasby Asshiddiqi,5,Diedit 3 tahun lalu,"Over all, bagus. Jadi, di sini itu udah disediakan fasilitas umum, yaitu: Lapangan basket, lapangan bulu tangkis, lapangan voli, lapangan sepak bola, taman bermain anak, warung, area taman, taman paseban, toilet, gazebo. …"
Joseph (鍾振文),3,setahun lalu,"Alun-Alun ini terkesan seperti agak mangkrak dan kurang terawat, pagar2 besi nya banyak yang putus hancur berkarat dan keropos semua,  kolam ikan nya tidak terawat berlumut, banyak ranting2 kering dan kurang rapi..sayang sekali yang terawat …"
Ebith Joenaidi,5,setahun lalu,"alun alun berlokasi di jalan sukarno hatta berhadapan langsung dengan mesjid agung bangkalan, cukup luas alun -alunnya, ada permainan untuk anak-anak, toilet juga tersedia, tempat kuliner siap untuk melayani pengunjung, baik di depan maupun …"
191_Noffany Yukotan,5,setahun lalu,Kebersihan udah mulai terjaga cuma beberapa fasilitas sudah usang dan perlu perbaikan atau di ganti. …
Moch Ansori,4,sebulan lalu,"Terlalu sempit dan terbatas
Ndak bisa buat bermain,santai,jogging,n jalan2 Krena nol jalan raya"
Hilmi Izzuddin,4,3 tahun lalu,"Sebenarnya alun-alun ini lebih sejuk dari sekitar ya karena banyak pepohonan rindang, tapi karena banyak fasilitas umum yang tak terawat dan banyak ya sampah yang berserakan jadi membuat kesan kumuh pada alun-alun ini. …"
Neslya SN,3,Diedit 5 tahun lalu,"Lumayan buat nongkrong nongkrong, jogging menghirup udara segar. Cocok buat ngilangin stres ketika dompet tipis hehe.. Suasana rindang namun kebersihan perlu ditingkatkan kembali …"
fita fieta,4,2 tahun lalu,"Kebetulan hari ini Sabtu...banyak Anak2 sekolah berkegiatan Olahraga disini.
Cukup Bagus dan Bersih.
Bbrapa Petugas Kebersihan beraksi Membersihkan Lingkungan Alun2.
Kereennn 👍👍 …"
Muhammad Zia Alghar,4,3 tahun lalu,"Selebihnya bagus, cuma beberapa fasilitas yang kurang terawat ataupun pemugaran. Tamannya enak buat santai, foto-foto, maupun jogging. Sayangnya beberapa area ada vandalisme-nya (coret-coret) jadi estetikanya agak berkurang."
Luki Dwi Susanto,3,4 tahun lalu,Ada taman dan jalan atas serta kolam ikan mas cocok untuk bermain anak2....sayangnya disebelahnya ada lapangan bolanya tetapi tdk terawat banyak rumput yg tumbuh liar.....
Doddy Purbo,4,5 tahun lalu,"Adem banget disini karena banyak pohon besar, rumputnya juga tebal ada kambing yang lagi makan rumput anak2 jadi suka lihatnya,ada fasilitas climbing wall,tapi sayang banget SAMPAH masih berserakan karena kurangnya kesadaran masyarakat padahal tempat sampah sudah disediakan"
Fajar pamungkas,5,4 tahun lalu,"Tempat nyaman untuk bersantai, banyak jajanan yang ada di sana, tinggal pilih aja yang mana yang mau. Penjualnya banyak di depan kodim atau di depan masjid agung. Sebagai tempat olahraga juga asik disini, banyak juga yang olahraga disini atau sekedar duduk duduk santai bersama teman."
Dodi Andi,5,6 tahun lalu,"Alun2 bangkalan biasa dikenal dengan nama taman paseban berada di depan masjid agung bangkalan. Tempatnya rindang banyak pohon, fasilitas lengkap ada jogging track, play ground untuk anak-anak, kolam ikan, tempat duduk, pendopo, toilet dan …"
i Nafsi,5,2 tahun lalu,"Alun-alun Bangkalan yang terletak di depan masjid agung bangkalan. Sangat ramai di hari minggu, banyak penjual jajanan dan mainan.
Di area alun alun terdapat pula kolam ikan dan area bermain anak. Cukup luas dan …"
PERSETAN FC TANAH MERAH BANGKALAN,5,Diedit 3 tahun lalu,"Ada Lapangan sepakbola, Taman Paseban, dan ada kuliner kaki lima yang menyediakan es degan, kopi dan batagir, cireng dan makanan ringan lainnya..dan saat ini lapangan sepakbola digunakan untuk liga internal Askab PSSI Bangkalan"
Reyna Areta,5,4 minggu lalu,Tempat nya adem. Area bermain butuh perbaikan. Area lapangan cukup rapih
Alfid Van Arista,5,sebulan lalu,Tempatnya luas dan cocok untuk rekreaai atau taman bermain anak anak...
Rahmat Shinigami,3,2 tahun lalu,"untuk alun-alun di sebuah kota, ini tempat kurang dirawat, padahal banyak potensi untuk dbenahi dan dijadikan tempat yg pw buat anak muda beserta keluarga …"
Obbie Chi,5,2 tahun lalu,"Cocok buat tempat ngadem
Tempat luas
Ada beberapa permainan untuk anak
Ada yang jual jajanan juga"
Toto Educenter,5,4 tahun lalu,"Makanan komplit , banyak permainan anak-anak, nyaman buat tongkrongan. Tapi sayang, tanaman kurang terawat"
Tri Alin Arsalaan,4,setahun lalu,"Gak ada perkembangan, blas.. ditambah tanaman apa gitu, gak ada. Ditambah aoa kek biar lebih ijo. Gak ada. Fasilitas apa gitu. Gak ada. Jangan kan alun alun, fasilitas kota aja gak ada yang keliatan nambah. Gak usah heran, banyak yang minta disini"
Maria Farida,5,Diedit 11 bulan lalu,"Tempat jogging yang enak, kalau hari minggu banyak penjual makanan dan minuman"
siswantyan,5,3 tahun lalu,Tempatnya bagus dan luas. Membuat anak2 suka bermain disana.
Nur Azizah,2,7 tahun lalu,"Saya pelancong dr kota palembang, brgkat dr jogja mnuju surabaya trus nyebrang k bangkalan menggunakan motor. Bgitu masuk bangkalan, yg saya cari adalah alun2ny. …"
Marsanto Hary,4,setahun lalu,Area Ruang terbuka hijau yg biasa digunakan untuk aktivitas warga
M.AFIF. ZA,5,seminggu lalu,Cocok untuk mencari kuliner di malam hari
Nia Kartika,4,2 tahun lalu,"Bangkalan.

Sedang berlibur di Surabaya dan main2 sampai kesini.. tempatnya strategis, …"
Kang Hadie,5,5 bulan lalu,"Pernah lewat hanya tidak singgah di alun² bangkalan,, karena saat berkunjungnya siang hari dan sangat terik panas."
Tuti Ismawati,4,6 tahun lalu,"Cocok untuk duduk santai sambil minum es kelapa muda +telur gulung
Tempatnya rindang
Tapi got nya kurang bersih klo bersih trus ada ikan kecil pasti tambah betah berlama lama"
anakmami007,5,3 tahun lalu,Spotnya bagus.. recomended buat yang suka hunting tapi agak susah/membahayakan kalo buat yang mau ambil gambar keseluruhan soalnya didepannya langsung jalan raya.. kecuali kalo pake lensa wide
Lionelsi Kudo,5,4 tahun lalu,luas nya 3 kali arek lancor. tukang bersih bersih nya banyak. areanya banyak....
Danang Mardiyono,4,4 tahun lalu,"Sama seperti alun-alun di kota kota lain, di kanan kirinya banyak pedagang kaki lima yang mangkal. Jadi kalo jalan jalan capek  bisa jajan es kelapa muda sambil makan bakwan kawi. Banyak pohonnya jadi gak akan kepanasan. Di area sini jalannya searah ya gaess, jadi harus fokus biar gak kena tilang."
KopiAyah (TehBunda),3,3 tahun lalu,"Tempatnya luas, namun parkiran mobil dipinggir2 jalan. Bangunan dan fasilitas tidak terawat. Pagar2 sudah rusak dan karatan."
pakde nanang,4,6 tahun lalu,Bersih dan rapi..disekitar alun2 banyak kuliner yg mantap2
Ahsan Bangkalan,5,7 tahun lalu,"Pusat Berkumpulnya warga Bangkalan dalam melaksanakan aktivitas, baik acara resmi (instansi sipil dan militer) seperti pelaksanaan upacara bendera maupun sebagai tempat pemerintah daerah dalam memamerkan hasil - hasil pembangunan pada masyarakat."
