name,rating,date,text
irawan sukma,1,4 hari lalu,Pungli disetiap desa yg dilewati akses ke lokasi wisata........ Kapok kesana ....
Mochamad Abdurrochman Azis,1,3 minggu lalu,"Sepi, gaada apa2nya"
wildan firdaus,2,3 minggu lalu,Kurang terawat...
Agung Pribadi,5,Diedit 4 minggu lalu,"Saat itu masih nyaman
Kalau mau dingin datang pagi²"
wika,3,sebulan lalu,Tidak sesuai ekspektasi :'(
Mira Harsono,3,sebulan lalu,"....... Desinasi Alami yg wow...... Sayang tidak terawat
Warga dan pemangku jabatan bisa sepat utk perbaiki. Bisa utk peningkatan perekonomian warga."
Anamika Dutta,5,sebulan lalu,"Beautiful, majestic, a must finish. The water in the lake appears to be turquoise due to the limestone and light reflecting on the water. A wonderful sight. The only cautionary thing is the locals will act as tour guides, they will try a …"
Yanthie Axis,5,sebulan lalu,"Bagus pesonanya, aku suka bangeet suasana alam yg asri bukan SPT bangunan komersil banyak dibuat modern, klo sy suka ""bangunan asli jaman Belandanya tuh artistik"" menurut gaet itu dibangun jaman Belanda. …"
Dody Iskandar,5,sebulan lalu,"Lokasinya instagramable, tapi perlu dipoles lagi supaya lebih exotis. Terutama jalan menuju lokasi & penunjuk arah ke lokasi belum ada dari jalan utama."
Pur Wanto,3,sebulan lalu,"waktu kesini air nya kering, akses jalan masuk perlu di perbaiki, berdebu kalau musim panas ,bekas tambang batu kapur"
Fani Fariedah,1,sebulan lalu,"Jangan kesini lagi deh, tempatnya udah berantakan dan tidak terurus. Banyak pungli juga. Sayang sebenarnya krn msh nampak sisa2 kejayaannya.."
Andree Raymond,5,2 bulan lalu,pagi atau sore waktu yg tempat untuk explore lokasi ini.
FW Karyosmito,5,2 bulan lalu,"tempatnya indah semacam hidden gem tapi akses menuju ke sana agak sulit harus melewati jalan yg tertutup semacam lumpur pasir atau semacamnya, hampir batal karena aksesnya tapi akhirnya sampai juga mantapp indah bgt, sayangnya saya kesana siang bolong jadi kurang menikmati karena panas, baiknya datang pagi atau sore pasti lebih nyaman"
Esbeer Bafauzy,5,2 bulan lalu,"Luar biasa indah, takut bngt berdiri pinggir jurang nya gemetar"
Ghufron Rofii,5,2 bulan lalu,Sebagai wahana edukasi tentang pentingnya menjaga lingkungan dan kelestarian alam
Michael Choo,2,2 bulan lalu,Worst experience as day light robbery so not come
Galih Komara,2,2 bulan lalu,"Tempat Yang bagus, sayang sudah tidak terawat"
Sahat J Purba,5,3 bulan lalu,"Apapun cerita orang klu kita sendiri tdk membuktikan pasti kurang baik, jadi silahkan yg blm pernah berkunjung buktikan sendiri betapa sensasionalnya ciptaan tuhan"
fafay echo,1,3 bulan lalu,"Akses masuk jalannya rusak, toilet rusak smua, bayar tiket sampe 2x, mahal tp ga orthed"
Komasy,5,3 bulan lalu,Sebuah gunung yang batunya telah digali untuk digunakan sebagai bahan bangunan sejak tahun 1997. Sebagiannya diubah menjadi taman oleh seorang pria bernama Haji Mustafa. Biaya masuknya 20.000 untuk mobil dan 5.000 untuk orang. Ada tempat …
Diluar Akal Pikiran,5,3 bulan lalu,Lokasinya sangat indah dan bagus.
Cahyo Eko,1,4 bulan lalu,"Jalannya kurang terawat.
Seharusnya klau di jadikan tempat wisata , jalan msuknya di perhatikan.
Trus kenapa harus ada punglii di mana² .
Sudah jauh² malah mengecewakan"
Rani Fara Yunia,4,4 bulan lalu,"Dulu pernah kesini pas rame2nya, skrg agak sepi, airnya kering, tapi suasananya tetap bagus dan dramatis dengan angle yang tepat"
Meilliani Precillia,4,4 bulan lalu,"MasyaAlloh tabarakallah akhirnya sampe keaini juga setelah 6 thn stay here..🤭🤭🤭
Jd kemaren kita kesinii ada tiket 20rb untuk mobil..
Ada jasa photo professional jugaa kalo mau sewa... …"
dhani wasistha y,4,4 bulan lalu,"Bukit tambang kapur, sebagian masih dimanfaatkan untuk tambang, sedangkan sebagian sudah dimanfaatkan untuk wisata. Lokasi cukup luas, cocok untuk foto foto dengan tema Outdoor atau cari spot untuk mobil offroad. Lokasi wisata juga cukup …"
Ahdiat D,4,4 bulan lalu,"Banyak wisata tambang kapur, tapi yg ini agak beda....viewnya OK banget. Hanya saja jalan menuju lokasi perlu lebih diperbaiki. PUNGLI nya juga tolong dikurangi..."
Agus Triwantono,5,4 bulan lalu,Lokasi sangat tepat
Rizqi Agung Homo suka kontol,4,4 bulan lalu,"Bagus, cuman kurang terawat"
Is Can't Dark,4,4 bulan lalu,Penambangan bukit kapur membuat goa buatan
Endro Kusumo,4,5 bulan lalu,Wisata tambang batu kapur yg bagus ....
Tri Wahyu Handayani,5,5 bulan lalu,"Beberapa tahun lalu pernah ke sini. Panas dan debu sih, tapi seru aja pengalaman & foto-foto."
Agung Setiawan,3,5 bulan lalu,"Puwwwanaasssss, belum memadai untuk wisata. Pemda seharusnya aware jika tempat tersebut bisa menghasilkan di sektor wisata."
mirantizr,5,5 bulan lalu,"Destinasi wisata anti mainstream di Madura, Tambang Kapur yang disulap jadi objek wisata 🫶 Waktu ke sana masih dalam proses renovasi jadi masih sepiii. Cuma di sini gersang dan panasnya poll banget, belum ada tempat makan pula untuk sekedar …"
Fajar Nugraha,3,5 bulan lalu,"Lama Tak main kemari sekarang tambah jelek tempatnya. Jalannya rusak parah, tempat wisatanya tidak terawat, tiket masuk untuk lewat saja 20000 satu sepedamontor dua orang"
Bella Destination,5,6 bulan lalu,Sudah datang beberapa kali bagus buat foto selalu pakai guide buat bantu foto tidak patok harga kasih sepantasnya saja. Musim hujan harus coba datang pasti lebih bagus
Septian Adyarta Putra,2,6 bulan lalu,"Tempatnya sih not bad.
Punglinya yang merajalela.
Please lahhh"
nicochandra whitehouse,4,6 bulan lalu,Jalan masuknya kurang bagus dan panas bgt disini
Gysaila Shaqila,4,Diedit 6 bulan lalu,"Parkiran cukup luas, mushola & kamar mandi cukup jauh hanya terletak di jalan masuk sebelum lokasi. Ada perahu getek juga. Terdapat banyak warung kopi. Hanya saja banyak pungli. Kurang lebih 3X harus bayar 'tiket' yang tidak jelas"
23 057_Muhammad Adam,1,6 bulan lalu,"Tempat berkumpulnya adalah Jamet Madura, mereka juga punya tempat lain."
Jacopo Cappuccio,5,6 bulan lalu,"An amazing place ! It was (actually it is) a cave from where stones for buildings are estracted. The entire scenario is stunning, silent and wild. It could be posssible to stay there for hours, walking, climbing and looking around to catch …"
Yoga Aris,5,6 bulan lalu,Amanah
Vanela Graine,5,6 bulan lalu,"Nice place
Orangnya baik si jgn lupa kasih tip
Tiket msk mobil 20k
Trz perorg 5k"
Ibat Harahap,5,Diedit 7 bulan lalu,"Bekas tempat penambangan kapur (sudah pasif). Terdapat bbrp spot foto yang bagus, bisa minta tolong warga lokal setempat untuk membantu jadi tour guide sekaligus juru foto yang bisa mennujukkan spot nya. …"
Renni Kusindrayanti,4,7 bulan lalu,"Banyak spot foto menarik
Ada guide foto yang menawarkan kita untuk berfoto"
Firman Sirait,5,7 bulan lalu,"Bukit Jaddih adalah bekas tambang yg dijadikan tempat wisata. Dari surabaya naik sepeda pancal ditempuh dalam waktu 2 jam. Naik sepeda tidak kena biaya parkir, tidak ada biaya tiket masuk. Kalo siang suasananya panas dan mungkin cocok untuk …"
Aswin Nobby,5,7 bulan lalu,"Jaddih Hill in Jaddih Village, Socah District, Bangkalan Regency, Madura Island, East Java Province. This hill was originally a limestone mining area which was later made into a tourist attraction. This tourist attraction offers beautiful …"
rahmat wijaya,4,7 bulan lalu,Punya potensi yg bagus tuk dikembangkan dibangkikan kembali oleh pak Haji pemilik kawasan semoga rezwkinya berlimpah dan barokah...
