name,rating,date,text
Zendy,5,4 minggu lalu,"Potensi bagus tp kurang mendapat perhatian pemkot, harusnya bisa difasilitasi dengan baik. …"
iren imuetzzz,4,sebulan lalu,Pemandangan bagus dan jarang ada orang tau
Sanah Aziz,5,2 bulan lalu,"sangat luar biasa
biasa"
Sapoetra 1903,2,4 bulan lalu,"gak ada yang special, awalnya lihat kayak bagus banget lewat video orang.
namun ternyata baru di publikasikan bahwa tempat ini tambang kapur yang masih aktif di tambang secara manual. …"
Gniewomir Kuciapski,5,5 bulan lalu,"Very nice, atmospheric place. I suppose it's going to be my top1 in Madura. Not so easy to get there by car, much easier by motorbike. However, nothing to regret. Must see !"
Abu Sabiq,5,7 bulan lalu,Exotic. Area bekas penambangan bata sedimen laut purba. Sdh ditambang sejak zaman belanda. Tersisa batuan keras/karang yg sulit dipotong. Masih ada beberapa bagian yg masih ditambang. Pemotongan menggunakan linggis dan palu.
Azzah Nabiilah,4,7 bulan lalu,"HIDDEN GEM YANG BELUM DIKELOLA DENGAN BAIK, masih sangat mentahan tempatnya.. but the view is soo goood …"
Diah Handayani,1,8 bulan lalu,"I suggest you all to not go there.
Please ga usah kesana, jalan sempit untuk mobil, kanan kiri makam. Bukan tempat yg tepat dan layak untuk wisata alam atau hiking. Tidak terurus, becek, dan …"
Nuha Story,1,8 bulan lalu,"Tampat bagus, tapi banyak warga yang malak, parkir mobil 20K, tempat jelek gak terawat. Padahal indah masuk per orang 5k. Tidak rekomendasi"
pyae sone,5,Diedit 9 bulan lalu,recommended to go and explore when you are at Surabaya. man made scenery but it will give you temple run or tomb raider vibe. please go with local guide if you’re tourist because it is remote area and can be difficult to navigate. beware of …
Ferdian Chrisdianto,5,11 bulan lalu,"sebenernya tempatnya bagus, blom banyak turis atau wisatawan di sini. tempat masih 100% alami, jalan super susah dan kalo naik mobil harus punya skill yang mumpuni karena jalan nya kecil banget dan kanan kiri kuburan 😭 ga ada keterangan biaya parkir motor, dan tiket masuknya, semoga kedepanya di perbaiki tempat ini …"
YOSHIHISA KAWASUMI,5,setahun lalu,"Itu misterius dan indah.
Akan lebih baik lagi jika cuacanya lebih baik."
Amanda Dwi,5,setahun lalu,"True hidden gem in Madura. If you’re looking for a real nature and quiet place to stroll around, come here instead of Jaddih hill. This spot might be a little bit hard to find, but simply follow the Gmaps, it will leads you to the location …"
Aud J.,5,setahun lalu,Pretty nature landscape
