name,rating,date,text
bayu efendi,5,2 hari lalu,"Tempat ok
Sebagai masukan, coba di tambahin warung makanan kecil,
Karna disana cuma ada warung satu & makanan tdk lengkap jualan apa adanya
Terima kasih"
febrianto danu,5,3 minggu lalu,"pantainya sepi. di bagian pantainya lumayan bersih. bagian pinggirnya sampah2 bekas kelapa. g bisa buat mancing, nyantol terus sm batok kelapa. jadi g tau jga ada ikan ga nya. ada warung dan ada kamar mandi juga. Mobil bisa masuk 10rb. per orang kena lagi 1rb."
Andreas Kenan,5,4 minggu lalu,"Nice place. Not so crowded even in a public holiday (jan 1st, 2026)"
Diana Forisanti,4,sebulan lalu,"Pantai yg bagus sebenernya jk di kelola dg baik, harga tiket masuk murah cukup bayar parkir ada cafe juga di sana"
Rissa S,5,3 bulan lalu,"Pantainya sepi berasa private beach 🤣
Pantai ini tergolong kecil ya
Htm murah (lupa) …"
Joz Kutik,3,7 bulan lalu,Pantainya gk bisa utk mandi😬 …
Mobile Legends,5,8 bulan lalu,"Tempatnya bagus, bersih, pemandanganya juga bagus kalau sore, apalagi sunset nya☺️"
deddy setiawan,4,8 bulan lalu,"pantainya kecil. klo sepi enak kyk private beach
jalannya makadam tp msh bs dilalui
parkiran R4 cm muat 4-5 mobil
pandangan lumayan lah"
Mr. Leho's Coming,5,8 bulan lalu,Asik coyy
lexia liana,3,8 bulan lalu,em pantainya bagus tapi banyak sampahnya
Joni virnanto,5,8 bulan lalu,Bersih  pemandangan jembatan Suramadu  indah sekali
HABIBURROHMAN ALFARUQ,5,8 bulan lalu,Suasana pantai yang sederhana dengan pemandangan Jembatan Suramadu
amel ich,5,Diedit 9 bulan lalu,"Kesini lg stelah sekian lama ... tp lebih bagus n bersih dulu ..
Skrg kyk g terawat n kotor"
Susi Ardiansyah,4,9 bulan lalu,Wisata dekat rumah. Vienya bagus kalo sore. Solusi mantai jarak 5 langkah dari rumah 😁 …
Rini Agustini,5,11 bulan lalu,"Akses mudah deket jalan raya, air lautnya jernih kepiting pun kelihatan, view jembatan Suramadu, pasir dan batu lumayan banyak, tidak ada tiket masuk cuma bayar parkir motor saja 5k/motor, kesini pas air pasang tetep bagus jd ga bisa ke tengah."
nicky minaj,4,setahun lalu,"Bisa lihat Surabaya Dari seberang, view lumayan kalo pas laut pasang."
kurnia sandi setia bayu,4,setahun lalu,"Parkiran mobil masih terbatas, bayarnya pas keluar, sekalian bayar biaya masuknya, akhir tahun kemarin masih 5K pe orang.
view indah, view jembatan suramadu, pasir putih, banyak karang, tidak …"
