name,rating,date,text
Rohmah,4,setahun lalu,Bagus 👍🏻 …
Noer Hayati,1,setahun lalu,Gk expect bakal nyasar rame² bareng keluarga. Krn gk sesuai ekspektasi pantainya.. Kita rombongan diarahkan masuk ke area pasar malam.
Xi An 2ri,1,setahun lalu,Many criminals roaming the beach
Miftahul_huda Huda,5,2 tahun lalu,Oh
ma'ruf ali,1,3 tahun lalu,Tempat yg sahgat bagus
FR 021,5,3 tahun lalu,Ok
Roche Andra,1,3 tahun lalu,rawan broo
Sahrul Husaini,1,4 tahun lalu,Pantai jin
"Sugeng Setiyo Budi, S.Th.I",5,4 tahun lalu,"Pantai yang indah, namun sayang tidak dikelola dengan baik"
Sofi,5,Diedit 4 tahun lalu,"Pantai Rongkang yang sesuai dengan namanya yang artinya adalah pantai karang. Berlokasi di daerah Kwanyar, pantai ini ramai pada saat Hari Raya Idul Fitri yang mana puncak keramaian adalah 7 hari dari Hari Raya Idul Fitri yang disebut Hari …"
muhammad ichwan,5,4 tahun lalu,Akses jalannya sulit dari suramadu karena jalan ditutup pagar
M. Alfianzaky,5,4 tahun lalu,Tempat bagus. Tapi kurang perawatan
Alwi Hasni,1,4 tahun lalu,ini bukan obyek wisata
Hilda Zainal,5,5 tahun lalu,Tempat bagus banget asri sejuk dan dinging... foto lokasi sebrang pantai
Sultan Salbut,3,5 tahun lalu,Skrg sepi banget... Dipinggir jln di penuhi sampah di sekitar pantai rongkang...
Dayek Ari,5,Diedit 5 tahun lalu,Yakin gak mau kesini???
Mas Nur,2,5 tahun lalu,Mantep
Abdhira,1,5 tahun lalu,Tempat yg kurang rekomended
Yopi Singkat,5,5 tahun lalu,Suka
Fahrudin Romeli,3,5 tahun lalu,Butuh perhatian yg serius dari pemda setempat
Sukril Huda Al Jabouny,4,5 tahun lalu,Good
Udhin Sholeh,5,5 tahun lalu,bagus..
Geraldus D.Hindarto,2,5 tahun lalu,Kurang fasilitas
Endang Siswanti,3,5 tahun lalu,Sebenarnya eksotis dan bila ada dinas terkait bisa mengelola itu sangat menjual. Alami dan dekat jalan raya. Sayang klu kurang dirawat. Mohon yg bisa bantu untuk rekomendasikan di Disparta Kab Bangkalan🙏 …
