name,rating,date,text
Septiyo dotCom,4,3 bulan lalu,"Suka,
Pros:
Pantainya indah, sepi, belum tercemah, ada tempat duduk. …"
Zarina,5,4 bulan lalu,"Cocok buat introvert macam saya karena seperti private beach, gak banyak orang bahkan orangnya cuma saya aja
Pantainya juga bagus, pasir putih air lautnya pun bening, ombaknya gak terlalu …"
Taufan Januar (Opanlombok),4,6 bulan lalu,Bagus dan bersih
irza plecun,1,6 bulan lalu,"Sangat tidak memadai , sepi dan nggk ada penjual makanan , parkir mobil 10k biaya perorang 5k"
unromanticromeo,5,8 bulan lalu,"berkunjung saat weekday, sata hari libur nasional.
Tarif masuk per orang Rp 5.000
Tarif parkir kendaraan mobil Rp 10.000 dan motor Rp 5.000 …"
Juan Braloza,5,10 bulan lalu,Pasirnya bagus tempatnya nyaman dan nyaman
Muh Nadjie Assaluty,5,setahun lalu,Tenang banget
Mas Amin,5,setahun lalu,"Pantai bersih indah dan tidak terlalu ramai pengunjung, meskipun dihari libur"
Muhammad Arif,5,setahun lalu,🦔🦦🦝🐁🐀🏳‍🌈 …
Renaldy Brada,5,setahun lalu,"Pantai ini sebenarnya punya potensi untuk dikembangkan : ombak yang tenang, garis pantai yang panjang, dan ketika sore bisa untuk menikmati sunset. Tapi sayang sepertinya kurang perhatian pemerintah setempat. HTM ketika itu hanya parkir …"
a “PramdeLoViennAlkhaFariq” p,5,2 tahun lalu,"Lovely beach
Quiet"
Hari Kristiono,4,2 tahun lalu,"Pantainya bagus, aman untuk bermain, akses juga mudah, tiket pun murah.
Tempat perahu nelayan berlabuh.
Namun belum ada fasum yang baik dan warung makan dan jajan."
muchlis sandi,5,2 tahun lalu,Sepi.. Asri.. Bersih..
Dio bongiovi,1,2 tahun lalu,Kotor
Leona Roudhotul Jannah,4,2 tahun lalu,"Awalnya ngerasa kayak salah pantai karena benar-benar sepi banget. Tidak ada yang jaga pintu masuk juga jadi ngiranya udah gak beroperasi. Makin dieksplore lebih ternyata pantainya bagus dan cukup bersih. Kalau mau mandi abis main air agak ""pr"" bagi yang anaknya jijikan karena airnya agak keruh."
Sandik Alatas,4,2 tahun lalu,Pribadi teratas
Mas Kris,5,Diedit 2 tahun lalu,"pantai yang legend di pulau madura sisi utara.
lokasi merupakan spot yang bagus untuk menikmati sunset.
namun sayang sekarang kurang dikelola dengan baik seiring dengan gerusan abrasi yang merusak tepian pantai yang dulu terkenal dengan pasir putihnya."
wahyu julianto,3,2 tahun lalu,"Lumayan, cuma tdk terawat"
Febby Ramadhani,5,2 tahun lalu,"Surga yang tersembunyi sih menurutku..
Biaya masuk cuma 8k untuk 2 org dan sudah termasuk biaya parkir, pas itu datang siang tidak terlalu ramai …"
