name,rating,date,text
marimo chanel,5,23 jam lalu,Ini tutup jam berapa yah???
agus rianto,5,2 hari lalu,Lumayanlah bagus utk liburan bersama keluarga
Agus Mifta,5,5 hari lalu,"Sudah 2x ksni, seneng kl ksni mw foto sama hewannya byarnya sukarela, gk narget harga, feedingnya jg gk mahal, masih mahal KBS
Masih rekomen ksni drpd k KBS …"
Rodi Ae,5,seminggu lalu,"Gua maharani makin ciamik.. tmpat bersih, plyanan ramah.. smoga pengunjungnya smkin bnyak"
ROZIQ MAH,5,2 minggu lalu,Goa nya bisa runtuh
rendy paundra,5,2 minggu lalu,Sangat cocok untuk edukasi anak
Laras Prihandini,5,3 minggu lalu,"Bagus, cuma sayang saya kesananya kesorean  jadi bisa menikmati zoo nya dengan rilex😁 …"
Wuliana Saraswati,5,4 minggu lalu,"Tempat wisata edukasi yang baik buat si kecil bersama keluarga ,berbagai macam hewan dan banyak permainan juga"
Sam Hafi,5,4 minggu lalu,Mantull
Uun Nuraini,4,4 minggu lalu,Tempatnya bersih tapi sayang kurang ramah anak. Masih banyak pengunjung yg bebas merokok.
Fatma Wati,5,4 minggu lalu,Bagus banget utk edukasi anak anak
Shalih Fadholi,5,sebulan lalu,"fasilitas bagus, bersih, terawat, macam hewan cukup banyak, jarak tiap hewan dengan jalan kaki tidak terlalu jauh, musim liburan tetap terjangkau"
reffi avrill,4,sebulan lalu,"Pas kesini parkiran kurang luas. Weekend Tiket mzg 50rb kalau terusan ke wbl 145rb.
Hewan cukup menarik tetapi tidak terlalu banyak dan untuk fasilitas toilet, …"
lia ifet,4,sebulan lalu,"Kaki belakang kanan pincang, mungkin sakit min."
faizal perdana,5,sebulan lalu,"Masukan agar dikasih kipas angin yang ada semprotan air nya itu, dibeberapa titik. Biar ga terlalu panan ato pengap..."
Indi Romansa,5,sebulan lalu,"tempat rekreasi bareng #keluarga di hari #weekend
#parkir luas , suasana nyaman dan bersih
edukasi tentang berbagai macam satwa ada disini"
Erfiana Rahayu,5,sebulan lalu,"Mudah dijangkau.terletak dipinggir jalan raya propinsi
Hewan lengkap
Ada goany yg dilengkapi kipas angin ,jd kita g enggap …"
grery ms,3,sebulan lalu,"ingat disini masih th 2015, tidak ada kriss ya disini cuma tiket tok yg ada kris lain2 gk ada"
Totok Harzito,5,sebulan lalu,"Suasana Nyaman: Suhu goa yang sejuk kontras dengan udara luar, serta adanya pencahayaan warna-warni dan jalur trekking ber-railing, membuat eksplorasi aman, nyaman, dan menyenangkan"
Veri Dewantoro,3,sebulan lalu,"Bagus, bersih tp untuk makanan dan minuman sangat mahal dibanding tempat wisata lain"
Arfai,5,sebulan lalu,"tempat bersih dari zoo² lain..
saat kesana banyak hewan yang kurus² yaa...
kalau udah sama jerapah serasa gak mau pulang !"
Garuda Susilo,4,sebulan lalu,"Termasuk murah dan nyaman untuk edukasi anak-anak.

Yah, saya rasa cukup baik untuk sekelas ini. …"
danny lazuardi,4,sebulan lalu,"Adem didalam, ada staglatit dan staglamit. Ada foto2 dan video 360 derajat. Berada didalam kebun binatangnya."
Viva Mustaa,5,sebulan lalu,💙 …
Assyifa Primady,5,sebulan lalu,Ya bareng dek syafa Tahun 2024
Indri Hapsari,5,sebulan lalu,"Ke sini pas hari kerja, jadi pengunjungnya sepi, enak banget puas foto2 dan lihat2 binatang, toiletnya bersih petugasnya ramah2, next ajak ponakan ke sini"
Rizky Wahyu,5,2 bulan lalu,Kisah Ramayana kerjaan langit dan bumi artinya Mahabarata Mekkah turun ke bumi
Hanif Surya Nugraha,5,2 bulan lalu,"Lumayan, kebersihannya sangat terjaga meskipun sudah tidak seramai dahulu. Memori saat kecil bermain kesini jadi terulang kembali. Hewannya juga lumayan banyak, mungkin atraksi Hewannya saja yg kurang, apalagi kesana kemarin waktu weekday. Semoga sukses dan sehat selalu semua pekerja ya 😊 …"
Liya Perwitasari,5,3 bulan lalu,Seru edukasi hewan bareng anak anak. Dapat diskon 20% terusan wbl pakai tiket transjatim
Richie Andri,5,3 bulan lalu,"Dengan tiket 40rb per orang di hari biasa pada saat kami berkunjuung, sangat worth. Ternyata koleksi satwanya cukup banyak. Banyak pohon juga kebersihannya juga bersih sekali"
Zam Roni,5,3 bulan lalu,"Buat pengenalan anak anak bagus ,,,sayang satu singa dan harimaunya cuma sendirian"
renikelik juniatibramanto,5,3 bulan lalu,Seru dan tempatnya bersih
Widya Pratini,5,3 bulan lalu,Cocok untuk memberikan edukasi tentang binatang pada anak-anak. Hanya saja ada beberapa kadang yang tidak ada hewannya seperti kandang singa tidak ada.
Yohanes Rosario,5,3 bulan lalu,"Terawat, cukup lengkap, interaktif."
yantie yayan,5,3 bulan lalu,"Alhamdulillah anak² suka sekali liburan di Maharani Zoo selain tempatnya luas,banyak macam² hewannya karyawannya juga ramah dan tempat nya bersih mushola,toilet nya semoga konsisten jaga kebersihan dan keramahannya tiketnya untuk weekend …"
