name,rating,date,text
andrea gunawan,5,2 minggu lalu,Mohon info apakah ada biaya HTM nya dan parkir bus nya brapa ya biayanya?
Gus Bandi,5,sebulan lalu,Terkadang muter muter di tempat gk mau jalan
Noerkasan Wakhid,4,2 bulan lalu,"Makam sunan Drajat  yang terletak di kecamatan Paciran kabupaten Lamongan, beliau merupakan salah satu waliyullah yang menyebarkan ajaran agama Islam di pulau Jawa khususnya di daerah Lamongan Jawa timur."
Putra 87,5,2 bulan lalu,beri aku doa /wirid yang bisa lunasi utang utangku
fah iffah,5,2 bulan lalu,"Suasana disini sejuk. Tempat ziaroh sangat luas. Jarak parkiran bus tidak terlalu jauh. Banyak pedagang oleh2 khas sini, buah dll. Banyak sailin (peminta) disini."
khoirul anwar,2,3 bulan lalu,"Parkiran disini paling mahal di antara makam2 wali di jatim. elf tarifnya 40rb, dn bnyk supir2 ngeluh kalo parkir dsini. Di sunan bonang tuban aja hanya 5rb jauh bngt bedanya"
Fanshegets86 Channel,5,4 bulan lalu,Hari ini sedang di lokasi makam sunan Drajat suasananya seperti biasa ramai parkiran luas hanya saja untuk harga parkirnya agak mahal dibandingkan dengan tempat wisata yang lain
Achmd _qoirur,5,4 bulan lalu,Cukup rekomen untuk tempat ziarah/wisata religi
ARIYADI KURSI WULUNG,5,4 bulan lalu,"Tempat bersih,jajanya banyak,kamar mandi banyak,penjual ramah"
Yan Ayok mancing,5,5 bulan lalu,"makam e mbah kung.
sek mbah kung rung sempat sowan lagi bingung 😢👏 …"
CHEPOTT GAMING,5,5 bulan lalu,Sangat nyaman suasananya
Al Mawardi Official,5,5 bulan lalu,"⭐⭐⭐⭐⭐
Makam Sunan Drajat di Lamongan adalah destinasi ziarah yang penuh ketenangan dan nilai sejarah. Sunan Drajat dikenal sebagai wali yang menekankan ajaran …"
Rudi Hariono,5,5 bulan lalu,"Kenangan pas kae.

Masjid sunan drajad"
Noeroel Mustofa,5,6 bulan lalu,"Makam sunan Drajad sekarang tampil bagus, sekitar makam sudah dibangun dengan sangat megahnya, bersih, rapi."
Yasmin Alfatah,1,6 bulan lalu,"Tidak ramah,kotor di area parkir,mau istrahat di musolah sebentar aj menghilang cape di usir sama ibu"" padahal kami dr jauh datang sampai sana tengah malam bawa motor,pengemis pun masih muda2,kalau di makam nya Alhamdulillah baik bersih nyaman"
Romli Sudrajat Natanegara,5,7 bulan lalu,"Makam Sunan Drajat - Raden Qosim Syarifuddin - Lamongan Jawa Timur

#Ziarah Wali Songo 6"
izay ponsel,5,7 bulan lalu,Alhamdulillah sampai makam dari Banjarmasin
A. Robbi Yulianto,5,8 bulan lalu,Makam salah satu waliyullah Walisongo Sunan Drajat Lamongan
Bintang Nirtara,4,8 bulan lalu,"Letaknya mudah dijangkau, dan fasilitasnya lengkap. Terdapat museum, toilet lengkap (berbayar), ribuan pedagang asongan yang menjual berbagai cinderamata dan makanan, tempat parkir yang luar biasa luasnya sampai banyak bis bis yang parkir …"
Tanto Suto,3,8 bulan lalu,Tempat e nyaman... Sayang e biaya parkir bis kecil mahal.... 80k   lumayan mahal🙏 …
Adhi Syailendra,5,8 bulan lalu,"Tenang, Adem, Nyaman, Damai buat Berdoa dan Kontemplasi"
samidah Samidah,5,8 bulan lalu,Alhamdulillah kobul hajat ya Allah
Sam Bety,5,9 bulan lalu,Aku pernah kesitu malam malam tapi enak banget suasana nya adem ayem
Surya Purnama Adjie,5,9 bulan lalu,"28 Februari 2025

Assalamu'alaikum. …"
Mr.Vario Rachmat,5,10 bulan lalu,Semoga bisa berziarah kesini dimakam waliyullah
Fera Yulistiana,5,11 bulan lalu,"Aesthetic penuh seni banget di sini, makam sunan Drajat one of my favorit place masyaallah semoga bisa ziarah lagi tapi private aja"
Oktavia N,5,11 bulan lalu,"Tempatnya bersih, ada tangga tapi nanjaknya gak banyak kok. Kemarin ke sini minggu jadi ramai"
Beats Inc.,5,11 bulan lalu,"Ahli Bidah Begini datang ke makam Bukannya mengingat kematian sesuai dengan anjuran nabi . Malah mencari Keberkahan , rezeki melimpah ruah , anak sholeh . …"
Andy Bagus,1,11 bulan lalu,Untuk parkir bis besar terlalu mahal 130rb per bis...
Charif interisti,5,Diedit 11 bulan lalu,"Makam sunan Drajat menyediakan tempat parkir yg luas, tempat duduk ziarah juga luas."
M Fajar Aflah,5,11 bulan lalu,Ziarah bersama Anshor Mojowangi
LIBRAKU CHANNEL,2,Diedit setahun lalu,"Alhamdulillah bisa sowan Mbah Sunan Drajad.

Sayang banget, parkiran mahal. Berbeda dengan yang tertulis di papan informasi …"
Muhammad Akbar,5,setahun lalu,Alhamdulillah bisa berziarah ke maqbaroh sunan Drajat
cahkembang kuning,5,setahun lalu,Perubahan pembangunan joglo kayu yg berada dikompleks menuju makam sangat indah dan estetik
Prima Club,3,setahun lalu,"Yang buruk narik retribusi dimana mana, parkir juga mahal"
abdullah afifudin,5,setahun lalu,"Subhanallah walhamdulillah, semoga Allah SWT selalu melindungi kita semua."
