name,rating,date,text
Mey Rz,4,4 bulan lalu,"Daaaaaan....kitaa nyarii sunset disini🥳🥳
Kebetulan minggu kemarin pas surut airnyaa...jadii bisa main sampe ketengah laut...hehe...airnya pas jernih jadi kelihatan banget terumbu karang sm penghuni …"
Achmad Sudianto,4,7 bulan lalu,"Salah satu destinasi wisata di kab Lamongan yg dikelola warlok, tempat parkir roda 4 dan 2 cukup luas, banyak gazebo2 buat istirahat, hutan mangrove disekitar pantai juga masih hijau, cuma mungkin kebersihan lebih diperhatikan lagi supaya lebih ok"
Dian Firmansyah,5,sebulan lalu,"Pelayanan cukup memuaskan, petugas ramah & jujur terkait tiket dan parkir. Keamanan cukup bagus."
Ulfi Durrotun Nikmah,4,8 bulan lalu,"Pantai bersih, namun banyak warung yg tutup padahal saya berkunjung saat weekend. Tiket perorang 5 ribu dan parkir motor 2 ribu."
anggrian yulventia sanjaya,5,setahun lalu,"Akses menuju lokasi sangat mudah, jalannya juga aman. Untuk bermain ke area pasir pantainya melewati jembatan warna-warni yang cukup panjang tapi tetap keren dengan pemandangan laut dan jika lelah saat jalan di jembatan ada tempat/ gazebo …"
Fauzan Rifqi Nugroho,5,2 tahun lalu,"Bertandang ke sini karena mau healing sekaligus penasaran karena nama pantainya agak vulgar di mana artinya ""bra pakaian dalam wanita""🤣. Pemandangan di sini indah meskipun terganggu sedikit sampah di pantai pasirnya atau di air laut yang …"
Ari Purwanti,4,11 bulan lalu,"Bingung kenapa namanya pantai kutang, kenapa bukan pantai kolor sekalian 😁🤣,,,ya kan jembatannya juga warna warni cocok juga kan kalo dinamakan pantai kolor 😁🤭 *color=berwarna 😁😁😁 …"
Ardian Murdianto,4,5 tahun lalu,"Pantai yang unik karena namanya, yang harus lewat jembatan dan sedikit hutan bakau dulu, dan ya jembatan ini bisa untuk tempat berfoto dan ada beberapa gazebo untuk istirahat. Untuk tiket masukpun sangat murah, fasilitas juga bisa dibilang …"
Ike Ristiyanti,5,2 tahun lalu,"Pantainya dengan berbagai macam viewer, view batu karang, view pantai yang tenang dan nyaman untuk berenang anak2 serta pantai yang asik untuk bersantai. Ada juga view anjungan lho. Lautnya masih bersih banget, lihat ikan aja masih jelas dari atas anjungan sejauh 1 km"
Nur Kay,5,2 tahun lalu,"Pantai yang cukup indah, dengan jembatan warna warni yang menjadi daya tarik fotografi. Lokasi mudah dijangkau, tiket masuk lokasi terjangkau. Banyak warung makanan untuk bersantai, terdapat toilet umum dan mushola. Ada pemandangan hutan bakaunya juga. Ombak yang tenang jadi bisa digunakan wisatawan mandi dan berenang di pantainya."
