name,rating,date,text
dwiky abdulloh,5,6 jam lalu,"Kesini karena ada manasik haji anak TK, parkirnya luas dan sepertinya pwngelola harus lebih kreatif agar bisa menarik mengunjung lg. Tiket WBL mungkin harus di kaji ulang buat wisatawan lokal agar tiket lebih terjangkau. Secara 100k klo masuk 5 org uda brpa"
diana yuniar,5,1 hari lalu,"nekat motoran pp sby - lmg berdua, kalian kalo kesini wajib cobain semua wahana yaaa! ngga kaya kita cuman naik beberapa karna pada dasarnya kita penakut 🤣🤣🥲 …"
Didik Cahyono,5,2 hari lalu,ok
"Agung Tresno Nugroho, S.Psi, M Si",5,2 hari lalu,"WBL merupakan wisata favorit dan primadona zaman dulu sebelum era gempuran jatim Park Grup, …"
Hilda Nur Maziyah,5,4 hari lalu,Sangat seru
Kek Ridwan Aba,5,4 hari lalu,"Wisata Legendaris yang udah terkenal daridulu. Eksistensinya ga perlu diragukan lagi. Jadi tempat nostalgia dengan banyak wahana yang bikin puas banget. Ada pusat oleh-oleh, masjid, parkir luas, tiket terjangkau, makanan enak-enak. Arena …"
Darwisy Ahmad,5,4 hari lalu,Great plaxe to enjoy such ride with friends
Ibad Ivan,5,seminggu lalu,baik
Fibo Marcevo Tinora,5,seminggu lalu,Bagus banget bunga krisannya 😍 …
Rino Do Carmo,4,seminggu lalu,"Tempatnya Mudah Ditemukan.

Sudah Sampai Tapi Belum Bisa Masuk.
Belum Waktunya."
ROZIQ MAH,5,2 minggu lalu,Kemarin main kesini mau ada tsunami
Mama Chisa,5,2 minggu lalu,wahana banyak banget ada yang ektrim pokok seru banget pingin kesana sebulan sekali deh...
Rizki N. Sari,5,2 minggu lalu,Banyak permainan yang menantang. Tempatnya luas + dapat bonus suasana dipinggir laut top pokoknya.
Dino Rega,5,2 minggu lalu,Saya tidak ke wbl tp ke resortnya untuk menginap
riszkuna service,1,2 minggu lalu,"Layanan buruk, petugas kurang ramah mending cari wisata lain"
Kiki Lillah,5,2 minggu lalu,Mengenang masa kecil dulu
Ike Nur,2,2 minggu lalu,Tiket mahal banget panas
Nazza Fajar Dwi Hardika,5,2 minggu lalu,"seru bangett, rekomend buat tempat liburan keluargaa💕💕💕💕 …"
Marcho azizie,5,2 minggu lalu,seru sangat bernostalgia
Jaka Winarta,4,2 minggu lalu,"Bagus, bersih, saran di perbanyak wahanya yang ramah anak anak, dan tiken terlalu mahal..."
fadzil muhammad al fahri,5,2 minggu lalu,"Lengkap, pelayanan ramah, kualitas produk bagus"
Ramadhanty Winda,5,3 minggu lalu,"Angin laut sepoi-sepoii
Sambil kelilingan pakai scooter gini, the best moment for me 🫶✨ …"
Budi Santoso,5,3 minggu lalu,sangat bagus nuasa alam dan peemainan anak2nya
Arenggaade Kurniawan,3,3 minggu lalu,"System pembayaran makanan didalam wisata Masi diharuskan menggunakan Uang Cash,,alangkah baiknya system pembayaran  dicombine dgn Qris agar dapat mempermudah belanja Pengunjung."
RayCand,5,3 minggu lalu,"𝐀𝐧𝐚𝐤𝐤𝐮 𝐤𝐞 𝐬𝐚𝐧𝐚 𝐛𝐚𝐫𝐞𝐧𝐠 𝐭𝐞𝐦𝐞𝐧 𝐭𝐞𝐦𝐞𝐧 𝐬𝐚𝐭𝐮 𝐬𝐞𝐤𝐨𝐥𝐚𝐡
𝐊𝐚𝐭𝐚𝐧𝐲𝐚 𝐬𝐞𝐫𝐮𝐮𝐮 𝐭𝐞𝐦𝐩𝐚𝐭𝐧𝐲𝐚
𝐓𝐢𝐤𝐞𝐭 𝟖𝟓 𝐫𝐛/𝐨𝐫𝐚𝐧𝐠 …"
Zackio Azhar,5,Diedit 3 minggu lalu,"kesini waktu rekreasi seangkatan sebelum wisuda, overall lumayan seru."
Mr. B,5,3 minggu lalu,"Tempat menyenangkan, butuh effort ke sana"
DIva Aprilia,5,4 minggu lalu,Seru
Windi Home,5,4 minggu lalu,Car free day nya benar2 memberi warna pada wisata ini
Nopiii Cb,5,4 minggu lalu,sangat puas liburan kelurga dsini...wahana permainan byk. ...makanan murah dan enak
Alifia Rhomadoni,5,4 minggu lalu,Bagus
Agus Nugroho,4,4 minggu lalu,Mungkin perlu diperhatikan kebersihan dan perawatan tempatnya ...yang lain sudah lumayan
Verlyna Astriya,3,4 minggu lalu,"Siapkan uang cash. Saya kesini tgl 2 Jan 2026 dari mulai foodcourt main wahana dll pembayaran tunai, tidak menerima non tunai/QRIS 🥹🥹🥹🥹 …"
Adjie Mandoza,4,4 minggu lalu,Mungkin kesini sdh ke yg 5 kalinya dalam kurun waktu 10 tahun an.. tp kondisi dan fasilitas tetep sama gk ada perubahan.. yg berubah tarif nya aja tambah mahal..🤣 …
Bunga Rachma,5,sebulan lalu,Sangat menarik perhatian wisatanya sangat menakjubkan tikat masuknya ramah dikantong
Jeon Mayda,3,sebulan lalu,"Oke sih semuanya, tp sebelnya masa renang gk dibolehin pake baju biasa? Yg tadinya mood, jdi gk mood. Perbaiki lagi deh SOP-nya."
hakim rahman,5,sebulan lalu,Good tempatnya nyaman baguss
Rima,3,sebulan lalu,HTM waktu libur akhir tahun 110k udh termasuk naik 55+ wahana. Untuk wahana sebagian besar ekstrim😆. Harga makanan di dalam (bukan cafe) rata2 11rb an. Lebih baik bawa aja dari luar. Es krim d'cone nya g enak dan cpt bgt leleh. Buat yang …
Novita Ayu,4,sebulan lalu,"tempat ini cukup terkenal karena banyak wahana dan theme park serta mainan air ditambah ada pantai pokoknya lengkap jadi 1, masih kurang rasanya jika sehari untuk mencoba semua wahananya. lapar tinggal makan karena didalam ada foodcourt …"
Erfiana Rahayu,5,Diedit sebulan lalu,"Wahana wisata yg asik
Seru buat acara rekeasi ,KTS, darmawisata ataupun getring kantor
Banyak permainan …"
Yenni Setyowati,5,sebulan lalu,"Terimakasih,tempat liburan paling nyaman, pelayanan sangat memuaskan"
Radja BENZEMA,5,sebulan lalu,Banyak wahananya...seru
af Afifah,5,sebulan lalu,"Mantap,
Nggak pernah bosen main ke sini 🥳🥳
Semoga makin makin makin dan makin jaya🥳
Sukses selalu🥳🥳 …"
