name,rating,date,text
Susi hesi,5,sebulan lalu,"SARAN UNTUK PENGELOLA ,ITU POHON NYA YANG UDAH RAPUH DAN RANTING NYA DI BENERIN BIAR GAK TERLALU LEMBAB DAN BERLUMUT"
ukie rampage,5,sebulan lalu,"Reflesing sambil mancing, ikannya full,,"
BAMBANG Nurdiansah,5,sebulan lalu,"Bagus untuk joging sihhh, pemandangan indah n sejuk"
Tito Raharjo,5,setahun lalu,Pereda kelelahan
Rohim Sp,5,setahun lalu,Jika
Amalia Rahma,4,setahun lalu,"Lumayan buat Ngadem dan liburan 😁 deket rumah tempatnya, mau ke tempat lain jauh-jauh tempat liburannya …"
Giska Viratama,4,setahun lalu,Tempat favorit pas pacaran🤭cm agk sepi..pdahal hri mingguloch. …
Syai Full AC,2,2 tahun lalu,"Nyaman untuk refreshing...
Udara sejuk ...  santai dan damai untuk keluarga..."
Anyar Cell,5,2 tahun lalu,Rejoso
Ita Ita,5,2 tahun lalu,Makanan disini murah
niswatul hanifah,2,Diedit 2 tahun lalu,"Wisata alam yang murah buat teman² yang mau healing sambil liat hamparan air waduk. Bisa keliling naik perahu juga. Ada permainan anak di taman, beberapa hewan dan jajanan juga. Tpi sayang banget pengelolaannya terlihat semakin menurun. …"
Afif,5,2 tahun lalu,Oke sip
Dita Ditull,5,2 tahun lalu,"Bagus,kayaknya"
pastell holik,4,2 tahun lalu,Enak untuk bersantai namun tidak begitu memiliki wahana atau hiburan yang menarik
aji gogon,4,3 tahun lalu,Asyik untuk healing tipis tipis
properti rumah tanah,5,3 tahun lalu,"Bagus sekali dekat dengan german village kawasan asri pemandangan bagus cocok untuk refreshing ada wisata kolam perahu . Hanya 500 meter dari german village Lamongan , dekat alun alun Lamongan german Lamongan"
Mey Lovely,2,3 tahun lalu,"Yg bikin kecewa sih yg jualan makanan beli soto ayam aja harganya di buat permainan.
Aq di hargai semangkuk 20 ribu sdgkn temenku di hargai 25 ribu per mangkok. …"
M. Farid Sangang Zanega,5,3 tahun lalu,It's so fun
Abt Pakpras,5,3 tahun lalu,Bisa naik perahu di sini
Siti Mulyani,5,3 tahun lalu,Its ok
saifudin rahmat,5,3 tahun lalu,Mantap
mhd yasir official,5,3 tahun lalu,Waduk yang bagus menurutku tapi sayang nggak keurus jadi jelek
SMK Negeri 1 Sarirejo - Lamongan,2,3 tahun lalu,"Memiliki pemandangan yang bagus, tetapi sayang.... Tidak dirawat fasilitasnya dan kebersihannya juga kurang"
Sandy Cahyono,5,3 tahun lalu,"Tujuan lokasi alternatif buat goweser yg doyan turing. Lokasi asri, adem dan nyaman.. Mantab👍👍👍 …"
MUHAMAD RIDWAN,5,4 tahun lalu,Keren dan cantik👍👍👍🥰🥰🤩🤩 …
rudy kurniawan,5,4 tahun lalu,namanya waduk sama aja sih .. tapi untuk penikmat tarikan ikan nila.. di sini tempatnya... loop banget
Dodik Purnomo,3,4 tahun lalu,Ya lumayan lah buat refresing.
Daniel Simon,4,4 tahun lalu,Saat ini jarang pengunjung
ERWIN ZP,4,4 tahun lalu,👍 …
Rif Motovlog,5,4 tahun lalu,Suasana sejuk
kinantakaa,3,4 tahun lalu,tempatnya asri dan tenang sayang kesadaran membuang sampah masih minim
Pujianto,5,4 tahun lalu,Cocok untuk weekend
Faishol Amir,1,4 tahun lalu,Sip
Uud MS,5,4 tahun lalu,"Waktu itu hari Sabtu pukul 8 pagi, sengaja gowes ke Waduk Gondang dari Lamongan kota, HTM 5ribu, masih sepi mungkin karena masih pagi, suasananya nyaman dan tenang, untuk makanan disana harganya cukup terjangkau, walaupun tempat wisata tapi relatif murah, sangat cocok untuk liburan bersama keluarga."
Shokibul Landscape,5,4 tahun lalu,Bagus sekali tempat ini
Budi Priyanto,4,4 tahun lalu,"Suasana tenang & damai
Sedamai hubunganku dg Sang Pencipta isi dunia"
Yang Mulia,5,Diedit 4 tahun lalu,Taman wisata asli Lamongan
Januar Hadi M,5,4 tahun lalu,"Tempatnya adem.. cocok buat wisata keluarga..
Mau mancing juga bisa,
Di atas bendungan biasanya fi pakai olahraga oleh warga sekitar"
Ahmad Munthoyyib.,4,4 tahun lalu,Kurang nyaman terlalu redup .
Rodex Pro,4,4 tahun lalu,"Tempat yang luas, tp debit airnya semakin surut, kunjungi cenel YT Rodex Pro"
Buas,4,4 tahun lalu,"Waduk Gondang
Dekat dengan kampung halamanku
masih satu kecamatan …"
Tria Oktavianty,4,4 tahun lalu,"Mau tanya dongggg, tiket masuknya berapa ya per orang?"
SAKOBERE RECORD,4,5 tahun lalu,Tempatnya yg asri
Lutfy D.,5,5 tahun lalu,"Seneng lihat pemandangan waduk, tenang"
TB Aa Hendi channel,3,5 tahun lalu,Rame nya pas di hari libur aja atau di hari libur panjang
Dhani R Raharja,5,Diedit 5 tahun lalu,Waduk Gondang Lamongan harus lebih potensial sebagai destinasi wisata. Seperti halnya kabupaten2 lain yang berlomba2 memajukan pariwisata di daerahnya untuk mendongkrak perekonomian masyarakat di sekitarnya.
Imam Maliki,4,5 tahun lalu,Luas dan tempat nongkrong memancing
oni iskandar,5,5 tahun lalu,Mantap tempat buat wisata edukasi keluarga (anak anak)
Khoir santrie official,5,5 tahun lalu,seru
Ahmad Muzakki,4,5 tahun lalu,Sangat muaskan perjslsnan melewati tempat ini
Agus Ariyadi Kardaryono Praptomiharjo Agus Ariyadi,4,Diedit 5 tahun lalu,Untuk menampung air hujan di sa'at musim penghujan dan di manfa 'at kan di musim kemarau.
Dina dara.,5,5 tahun lalu,Segar
Andry Setyawan Ramadhana,4,5 tahun lalu,Tempat nya bagus dan sejuk. Cocok buat bersantai sambil menikmati makanan ringan..
mux mux,5,5 tahun lalu,"tempatnya adeemm suejuk, harga makanan dan minuman disekitar gak bikin kantong bolong"
Gonz Gondo,3,5 tahun lalu,Tambahkan fasilitasnya
Ridwan Setiawan,5,5 tahun lalu,tempatnya sip bro
misbahrudin faqih,5,5 tahun lalu,Dan
Antoni Kadiana,5,5 tahun lalu,Istimewa
Mosta Riza,4,5 tahun lalu,Spot sunset yang suka photography
Aliyah Azizah,5,5 tahun lalu,Pemandangan yang sangat keren dan indah
David Febryanzah,5,5 tahun lalu,Sangat indah
AIRO 11,5,5 tahun lalu,Tempat yang teduh cocok untuk rekreasi keluarga dan kegiatan lainnya
Nafia Agustina,5,5 tahun lalu,Bagus bnget bisa untuk foto prewedding 😊 …
Puery Not puer,5,5 tahun lalu,"Kereeen pemandangannya sekarang..
Siip tingkatkan pak 👍👍👍 …"
Suparno Sam,5,5 tahun lalu,Tempat bersih bagus banget
Mh Badrut Tamam,5,5 tahun lalu,Tempat yang asri. Perpaduan kanopi pohon yang teduh di pinggir waduk dan luasnya waduk yang bikin mata segar. …
