name,rating,date,text
nasser abdulaziz,5,3 jam lalu,I really love the experience
Nurkhairi Abdul Hadi,5,4 jam lalu,"One of our best experience ever. Sports attire will be just fine with wet shoes (best advice).
Easy route no need to worry at all. The guides are very good and we choose Rico bcos he is a great photographer as well..."
Mianto yuni,5,4 jam lalu,Indah sekali
Mayki Maulidia Dwi Rohma,5,4 jam lalu,"Tumpak Sewu via Lumajang. Tempat parkir luas, langsung disuguhi panorama Tumpak Sewu yang sangat indah. Turun ke bawah melewati tangga yang terbuat dari besi, agak curam, licin, melalui jalur air yang cukup deras, sehingga harus hati-hati. …"
JEMMI ERWIN SAPUTRA,5,Diedit 2 hari lalu,Hidden heaven
SATRIA NUGRAHA MULYA,5,3 hari lalu,"Pemandangan yang sangat indah, makanan murah dan enak'"
Yoan A,5,3 hari lalu,"This waterfall is a « must » in a life! Even if you’re not a big fan of waterfalls, just do this one and you can say that you’ve done the best waterfall on earth :)"
J. de Graaf,5,3 hari lalu,"You will get soaked. Also bring watershoes, but you rent as well. You don't need a guide because the route is quite clear. Nicest and biggest waterfall i've ever seen.  Amazing!"
Faizal Atsary,5,4 hari lalu,sangat seru untuk berlibur bersama
Dovydas Motiejūnas,5,4 hari lalu,"Tumpak Sewu Waterfall is absolutely breathtaking—often called the “Niagara of Indonesia” for a reason.
The view from above is stunning, and getting closer lets you feel the power and …"
g g,5,5 hari lalu,Great experience - it’s scary hiking down but the way up is easier but still takes time. Worth it for the amazing views at the bottom - best waterfall I’ve been to ! Just be careful on the wet slippery rocks !
hafizhah maulana,5,seminggu lalu,"air terjun yang sangat indah, dengan perjalanan yang penuh makna yang membuatku bahagia🌟 …"
khizer aalem,5,seminggu lalu,Luar biasa tempatnya
AlbanliYoshi Li-Yoshi,5,seminggu lalu,"An incredible waterfall .
There is a free way but hard to find ."
Muhammad Harris,5,seminggu lalu,Indah dan bagus
Robby Ong,5,seminggu lalu,Air terjun yang sangat indah
Shofiq Al-Djambuis,5,seminggu lalu,Air Terjun yang besar dengan pemandangan alam yang mempesona
Athif Arsyadani,5,seminggu lalu,"Recommended 👍🏿, kesini pas sepi, klo untuk pungli udah ga ada lgi ,bayar masuk per org 20k, Ama parkir 10k. Saran klo pas turun ke bawah bawa hp aj , soalnya mesti kena basah semua, ada penitipan di atas jadi aman …"
Bismilah Hpbaru,5,2 minggu lalu,"Untuk masuk ke tempat wisata apa masih ada tiket tiket lain sebelum sampai? Kalau pun ada , bedapa tiket lagi kita bayar?"
ambar triwibowo,5,2 minggu lalu,Bagus alamindan keren
SW,4,2 minggu lalu,"Tebing-tebingnya sangat curam, membutuhkan kekuatan fisik dan kelincahan yang cukup untuk mendaki. Anda perlu menyeberangi air di sepanjang jalan, dan akan ada cipratan air di mana-mana, jadi pastikan barang-barang berharga Anda kedap air. …"
Wahyu Siahaan,5,2 minggu lalu,"Bagus bgt, air terjunnya spektakuler dengan panorama mirip tirai raksasa, sering disebut “Niagara-nya Jawa”. Lokasi cukup menantang karena akses jalan turun curam dan licin, tapi terbayar dengan pemandangan luar biasa. Cocok untuk pecinta …"
Rusdi Hamka Lubis,1,2 minggu lalu,Alergi sama pungli yg terlalu banyak
Radi Aziqri,5,2 minggu lalu,Best experience for your adventure passion
Nurul Hidayati,5,2 minggu lalu,"Dari dulu hanya denger namanya, begitu datang kesini udah ada planning kapan-kapan harus kesini lagi 😍 …"
Nils.,5,2 minggu lalu,Air terjun yang sangat indah. Suasananya juga sangat tenang di pagi hari.
Agus Sudharnoko,4,Diedit 2 minggu lalu,"Tiga kali aku berkunjung kesini, untuk berwisata sambil memotret."
syariful istiqlal,5,2 minggu lalu,"Tempatnya aden n nyaman,,
Pemandanganya keren sejuk segar"
Mery Limaryansi,5,2 minggu lalu,"Nice view..
harga tiket lokal 20 rb per org."
Daniel Żak,5,2 minggu lalu,10/10.
Anjani Ramadhani,1,3 minggu lalu,mahal ada banyak loket menyesal
rendi pradana,5,3 minggu lalu,bagus sekali
Ady Setia,5,Diedit 3 minggu lalu,Air Terjun tumpak sewu sungguh luar biasa pemandanganya☺☺
suprieyatna,4,3 minggu lalu,"Katanya tiketnya bisa langsung masuk ke mana aja, tapi ga di jelasin kalau ke gua tetes harus bayar lagi lewat bawah. mana udah jalan jauh naik tangga"
Hendy 10,5,3 minggu lalu,sangad baiq
kamaludin fasya,5,3 minggu lalu,"Bagus bgt, ada trekking juga 10-15menit buat sampe ke dasar tusewnya, diatas ada toilet, warung dan tempat sewa alat, parkir murmer tiket masuknya lupa waktu itu brp, jauh2 dari jakarta kesini sangat terbayarkan, kalo yg dari malang hati2 krn ada 2 pintu masuk, via lumajang dan via malang, rekomen via lumajang yaa!!"
Monas Safir,5,3 minggu lalu,"Luar biasa sekali tempat ini sangat indah,
Destinasi wajib untuk melihat ciptaan tuhan yg satu ini, tapi ingat jika mau berkunjung menggunakan kendaraan roda 4 gunakan yang prima yaah?!!karna  Saat turun …"
Triyana Dewi,5,3 minggu lalu,Sangat indah
nadia,5,3 minggu lalu,"ikutan open trip karena aku solo traveler, seruuu banget, datang pas low season jadi sepi kata guidenya, kemarin yg lokal cuma 2 grup sisanya wna, ayo guys kita warga lokal harus banyak datengin tempat” kyk gini, …"
Fahriawan Dodik,5,3 minggu lalu,Beautiful waterfall
Carolina Lopez,5,3 minggu lalu,"This photos you take from the waterfall cannot capture how beautiful it looks.

Entrance for foreign tourists is 100.000 rupees - bring cash! - which is fair …"
Juli Amd,5,3 minggu lalu,Rental/ travel mobil terpercaya di banjarbaru
Dody Maelissa,5,sebulan lalu,menyenangkan akses jalan bagus..parkir aman...tarif murah tdk ada drama
Juan Mianto,5,sebulan lalu,Beautiful scenic spot is perfect for a vacation spot
Hana Hana,5,sebulan lalu,Sayangnya bbku 100 😭g kuat buat turun …
Ronja likes to eat,5,sebulan lalu,A lot of water falling. Very nice. Long walk though.
Asri Mahanani,5,sebulan lalu,"Naik turun ke Air terjun dan Goa Tetesnya Josjis plus ngos2an, tp setelah sampai di lokasi, terbayarkan sudah, ilang semua lelah, letih, lesunya, seperti melihat cuilan surga, pokoke joosss 👍 …"
mohd muzahar mohd yusoff,5,sebulan lalu,"The most beautiful nature for waterfall. But, remember to wear proper attire and shoes as you will for sure to get wet.
Physical preparation is a must as to prevent muscle tare due to a bit of soft hiking."
Mbah Sarep,5,sebulan lalu,"Luar biasa keindahan alam nya sangat mempesona, penataan ruang untuk masuk dan parkir yg dikelola warga setempat sangat bagus, wisatawan mancanegara maupun domestik sangat suka lokasinya."
Kautsar123adk,5,sebulan lalu,Definisi indah dari segala sisi
Sandra Candal,5,sebulan lalu,"Pengalaman yang luar biasa. Air terjun ini sangat layak dikunjungi, tetapi Anda perlu mempersiapkan diri untuk sebuah petualangan. Sepatu yang bagus dan tidak licin sangat disarankan, begitu juga ransel untuk meningkatkan kelincahan, dan …"
riki afifuddin,5,sebulan lalu,"beautiful waterfall, nice tracking about 1 hour down to waterfall"
Jan Verhoeven,5,sebulan lalu,"Air terjun yang mengesankan yang benar-benar bisa Anda alami. Bukan seperti di Eropa, dari jarak aman, tetapi Anda benar-benar merasakannya.
Mengunjungi gua-gua itu sangat layak, setidaknya untuk ketenangannya, karena …"
Ranger Merah,1,sebulan lalu,Wisata dengan sejuta PUNGLI.
Ananda Filsyha,5,sebulan lalu,"Mostly crowded, but worth it, the experience of huge flows from waterfalls kinda fun"
Tanja K.,4,sebulan lalu,"Air terjunnya sungguh mengesankan. Jalan setapaknya tidak mudah. Saya hanya akan pergi dengan pemandu. Saya tidak menganggap diri saya tidak sehat, tetapi tangga turunnya cukup berbahaya (sebaiknya pakai sepatu yang kuat di sini)."
Waheed M,5,sebulan lalu,Tempat yang indah
khoirul anam,5,sebulan lalu,air terjun yg sangat indah dan wajib di kunjungi kalau ke jawa timur khususnya ke kabupaten lumajang pronojiwo
dijay brian,5,sebulan lalu,Untuk bisa kesini dari Kota Malang membutuhkan waktu -+ 2 Jam dengan mengunakan sepeda motor rental. Sepanjang perjalanan harus hati hati karena arus truk pasir yang padat. …
Kresna Bayu Pamungkas,5,sebulan lalu,Pengalaman yang sangat indah untuk melihat tempat secantik ini
