name,rating,date,text
Monas Safir,5,seminggu lalu,"Di bikin ta'jub goa yg penuh dengan aliran air yang membentuk stalaktit hampir tak bisa berkata
Ini tu seeh keren betul,"
Juergen Kaehler,5,3 minggu lalu,"Difficult to reach.
Need good sgoe and good condition!"
Hendra amelda,5,2 bulan lalu,"tracking lebih gampang dan seru kalau lewat tumpak sewu, siap siap basah. goa tetes jadi salah satu destinasi iconic di lumajang"
Era Prasetyo,5,3 bulan lalu,Surga-Nya semesta
Daniel,1,3 bulan lalu,"Penipuan. Setelah membayar Rp100.000 untuk masuk ke air terjun (tahun lalu Rp50.000), ditambah Rp10.000 untuk parkir, mereka meminta Anda membayar tambahan Rp50.000 untuk masuk ke gua. …"
Adam Carana,5,3 bulan lalu,"sangat baik, stmj enak, pelayan ramah"
Vivi,4,3 bulan lalu,Bisa dikunjungi saat ke Tumpak Sewu dan sangat worth it
Bambang Darmawan,5,4 bulan lalu,"⭐️⭐️⭐️⭐️⭐️
Hidden gem in East Java! 🏞️✨ Goa Tetes is truly unique — a cave with waterfalls dripping from above, creating a magical atmosphere inside. The rock walls are …"
Maining Saroh,5,Diedit 4 bulan lalu,"Kudu siapkan fisik untuk kesini, dan jg hati2 karena banyak batu yg licin, terbayar lah dengan keindahan alam yang memukau,usahakan treking pake sepatu ya"
Syauban Anas,5,4 bulan lalu,"Air Terjun Goa Tetes di Lumajang adalah salah satu destinasi wisata alam yang cukup populer karena keindahan dan keunikannya. Berada di kawasan Piket Nol, air terjun ini menyuguhkan pemandangan yang berbeda dibandingkan air terjun lain. …"
Gund Couture,5,4 bulan lalu,Panorama alam kawasan Goa tetes TUMPAK SEWU begitu menakjubkan
Aan Marzuki,4,4 bulan lalu,goa tetes adalah salah satu spot yang masih terletak di kawasan yang sama dengan air terjun Tumpak Sewu. jika ingin ke sini bisa melalui trek via Lumajang. …
Defri Duantika,5,4 bulan lalu,Jalur sangat licin karena melewati jalur air. View sangat indah dan menakjubkan.
Jan Brunato,1,5 bulan lalu,"‼️ SCAM ‼️
You pay 100k for the waterfall circuit around Tumpak Sewu, and after two hours of walking there is a booth where you have to pay another 50k to get to Exit, or …"
Feerenza,5,5 bulan lalu,"Berikut adalah review dari kunjunganku ke Air Terjun Goa Tetes, Lumajang.

💰 Tiket Masuk : 10k per orang, parkir ikut ke Air Terjun Tumpak Sewu. …"
Arthur Toral,5,5 bulan lalu,"Indah! Kami basah kuyup, tapi hasilnya sepadan!"
Berliani Ganda,5,5 bulan lalu,"Seru banget masuk ke dalemnya enak. Airnya jernih banget dan dalemnya dingin, enak buat berlama lama di dalem. Agak gelap jadi harus bawa senter. Tas mending di taro luar aja bisr ngga kebasahan."
Ralf K,3,5 bulan lalu,"Certainly another nice waterfall,  but compared to Tumpack Sewu I can only give it a 4.
Another star lost because it is not clear if you have to pay extra for this …"
Naila Sahda Aulya,5,6 bulan lalu,TREK NYA LUMAYAN CAPEK BANGETTT TAPI BAGUSSS POLLL MASYA ALLAHHHH
anggara jaya wardhana,5,Diedit 6 bulan lalu,"Beautiful view ,hidden paradise"
Bouyaala Omayma,5,6 bulan lalu,"Gua-gua yang indah! Biaya masuk 25.000 rupee, bawalah uang tunai."
Luthfi Eka Chandra Kurniawan,5,7 bulan lalu,😁😁 …
Fatma Nur ZAĞRALI TUNÇ,5,7 bulan lalu,"It was very nice being there. We were supposed to go to Tumpak Sewu, but because of the heavy rainfall the night before and in the morning, they said Tumpak Sewu is closed. I was dissapointed at first but after enjoying so many waterfalls …"
Keven Sanada,5,7 bulan lalu,"Bagus, Disarankan datang weekday & pakai sandal gunung"
Fauzie Aulia,5,7 bulan lalu,"Sepaket dengan kunjungan ke Tumpak Sewu, bisa di tempuh dengan berjalan kaki menyusuri sungai dari Tumpak Sewu.
Tidak kalah cantik dari Tumpak Sewu walaupun dengan ukuran yang lebih kecil..😍
Pemandangan yang di suguhkan sama cantiknya. …"
Christian f,5,8 bulan lalu,Bring extrs clothes and keep them in the car. You will get wet but it is worth the experience. Not the biggest challenge but a minimum level of physical fitness is required
Aisyah Ramadhani,5,8 bulan lalu,"Kesini waktu tahun 2023, tiket masuknya 10ribu. Kalo kesini harus siap basah2an yaa. Keep safety karena banyak spot licin. Bisa lanjut ke telaga biru dan tumpak sewu."
Parker Hurley,5,8 bulan lalu,Goa Tetes is one of the coolest waterfalls I’ve ever experienced. It’s a collection of waterfalls and caves that you can explore (and climb if you’re careful and capable.) This place scratched every itch that lingered from childhood - …
Wahyu Tri Ananda,4,8 bulan lalu,"Air terjun kecil dengan bentuk yang unik serta goa-goa dengan air yang menetes dan sangat indah. Saya terakhir kemari saat tahun 2016, semoga di sini tidak ada tiket-tiket liar yang tidak jelas seperti air terjun di sebelah."
Arianto tri Wibowo,5,8 bulan lalu,"Bener2.. Alami, tapi medannya harus extra tenaga"
indra maulana,5,8 bulan lalu,Air terjun yang melewati struktur goa
Manon,5,8 bulan lalu,"Jalan yang sangat bagus, air terjun dan gua yang luar biasa untuk dikunjungi. tiket masuk 20k"
Irina Kho,5,8 bulan lalu,"Saya merekomendasikan untuk mengunjungi semua air terjun di dekatnya sekaligus. Menurut saya, paling baik memulai turun di Tumpak Sevu karena ada dek observasi; sudah banyak turis di sana pukul 7 pagi, tetapi nanti akan ada antrean panjang …"
Moch Nurandi Jopa,5,9 bulan lalu,"Air terjunnya bagus banget, cuma jalurnya yang luar biasa, bagi yg punya penyakit jantung dan asma hati-hati saja guys"
Ronny eplekenyez,5,9 bulan lalu,"perfect 🤩, but if you doesn’t fit not go there, in there you climb on the rock , and than you can see very beautiful waterfalls …"
