name,rating,date,text
Anak Rajin,5,5 hari lalu,Pokoknya tempat bagus rapi
mashuri ikki,3,sebulan lalu,Enak pantai ngga banyak kerikil kayak watu pecak tapi sepi....
Khoirul anam,5,2 bulan lalu,Melihat matahari terbenam
Synthia Rahma,5,3 bulan lalu,"klau kesana mending naik motor aja klau naik mobil jalannya jauh banget, tapi biasanya ada petugas penjaga loketnya nerima jasa mengantar sampai ke pantainya. ada warung ikan bakarnya juga disana enak bangett ikan bakarnya 👌🏻 …"
Rizal Mindyansyah,5,4 bulan lalu,"Pantai yang indah dengan deburan ombak dan suasana yang tenang cocok untuk kalian yang ingin menikmati pasir pantai. Perlu diketahui pantai WGL merupakan pantai selatan yang berbatasan langsung dengan samudera hindia, jadi perlu …"
Dian Retno P,3,4 bulan lalu,Pertama kali kesini ngajak sesepuh karena harus jalan kaki 300 meter lebih milih duduk diparkiran bareng driver. Tiket free hanya ganti biaya parkir 10ribu untuk roda 4. Ada toilet dan musholla di area parkir. Air lancar namun saat digayung …
Safitri Wulansari,4,4 bulan lalu,Bagus panitianya apalagi pas sun set. Eman kotor
MULYAMUN MU,5,5 bulan lalu,Tempat nya luas dan pasirnya bersih
sakti putrakusuma,3,7 bulan lalu,Pantai kotor. Terlalu jauh parkirnya. Ada kolam air tawar untuk anak2. Wess gass yang pingin kesini. Tiket 10.000
Visit Lumajang,5,8 bulan lalu,"Salah satu destinasi keren di Lumajang. Wisata kuliner di Pantai Mbah Drajid juga tidak kalah seru. Tersedia banyak rumah makan yang menyajikan beragam kuliner seafood yang lezat. Sangat cocok dinikmati bersama dengan keluarga, teman, atau pasangan."
Dapur Andut,5,8 bulan lalu,"Sebenernya bagus pantainya, mungkin karena kurang terawat aja
Cocok untuk anak2 yang mau berenang di dekat pantai, tapi renangnya dikolam2 dekat pantai, jadi aman"
Dunia Halimah,3,9 bulan lalu,"Bagus sih viewnya, cuman ada beberapa hal yang perlu banget diperbaiki. Pertama, gampang banget nemuin sampah berserakan di area dekat pantai dan area masuk. Entah itu sampah pengunjung atau sampah yang dibawa oleh air laut. …"
Aik Adin,3,9 bulan lalu,"Banyak yg jualan makanan atau lainnya, sayang masih ada sampah plastik yang berserakan. Alangkah baiknya pedagang membersihkan di area stand nya sendiri2 dan pengunjung membuang sampah pada tempatnya"
Rafli Ardiansyah,5,10 bulan lalu,"Pantainya bagus, terawat, orangnya ramah-tamah, tiket masuknya murah, amanah, tempatnya aman, cocok banget buat bersantai bersama teman/ keluarga."
ppbu asus,5,10 bulan lalu,"Alhamdulillah pantai WGL banyak sekali tempat berteduh, tak perlu khawatir saat panas ataupun hujan, di sekitarnya juga banyak warung yg menyediakan kolam renang anak, tempat sholat kamar mandi. …"
Muhammad Eko,4,11 bulan lalu,"Pantai yang sangat indah dengan menyajikan pemandangan alam ombak laut yang bisa menarik wisatawan berselancar di Pantai Mbah Drajid Wotgalih, juga tersedia tempat istirahat dan juga warung warung yang menyediakan bermacam macam kuliner, ayo main ke Pantai Mbah Drajid Wotgalih kec.yosowilangun kab.Lumajang Jawa Timur"
khoirul anam,5,11 bulan lalu,"Pantai lumayan ramai di hari weekend akses juga muda, sepeda motor bisa langsung di bibir pantai, orang jualan cukup banyak tersedia kolam anak juga ada ,kemarin  tiket masuk 5rb untuk motor & 10rb untuk mobil"
darmadi adi,5,setahun lalu,"Pantai yg sangat indah sekali dan harus dikunjungi. Disitu sudah ada warung warung yg menjual berbagai makanan dan minuman jadi gak usah khawatir soal urusan perut yg penting bawa uang, terimakasih.. Berkunjung ya..!!"
Masak Sederhana Bu E (KedaiPing),3,setahun lalu,"Yang bawa mobil dan orang tua sangat susah, harus jalan sekitar 500 meter ke pantai"
Kurtis Warsita,4,setahun lalu,"Pemandangan bagus, makanan yang di jual murah dan penjualnya ramah"
Irvan Fausi,5,setahun lalu,Kerenn
Alrez,5,setahun lalu,"27 Oktober 2024, baru sempat mengulas wkwk. Banyak tempat buat neduh, jadi gak terlalu panas. Paling suka dengan view cemaranya meski agak jauh dari lokasi pantai. Tiket masuknya murah, sangat direkomendasikan buat dikunjungi saat akhir pekan.😁🔥 …"
