name,rating,date,text
Lifia Ananda Putri,5,3 hari lalu,"Bagus emang, meskipun agak kabut tapi tiap jalan sampek ke puncaknya bener² seru 😭... Sayang gak bisa ambil foto, karena hp ku drop …"
Cak Mul,5,5 hari lalu,"Bagus sekali pemandangan disini , kapan² mau kesini lagi . Bikin nagih"
Orens Garage,5,seminggu lalu,Belum sempet nyoba kesana.
Agus Sudharnoko,4,Diedit seminggu lalu,5 atau 6 kali aku sudah kesini. Merupakan bahagian dari pegunungan Tengger yang mengelilingi gunung Bromo dan Bathok. Lokasi salah satu puncak tertinggi di pegunungan Tengger ini harus ditempuh dengan sepeda motor atau ojek. Menggunakan …
Husein husein,3,seminggu lalu,"Sudah tidak terawat, tidak terurus lagi, padahal bagus kalau ada pengelolaan rutin"
Mah Lor,3,3 minggu lalu,Dinamakan Puncak B29 karena merupakan Puncak Bukit dengan ketinggian 2900 meter diatas permukaan laut.
Heru Setyawan,5,3 minggu lalu,Salah satu tempat yg wajib dikunjungi kalauke bromo
Erwin Ubaidilla,5,4 minggu lalu,Berkali-kali kesini masih indah
Leevan Arya w.,4,4 minggu lalu,Jalanya rusak ges
Mochamad Guntur Maulidhin Asrofi,5,sebulan lalu,"Cukup tenang sudah sangat sepi tempat ini, untuk view memang dari dulu terbaik"
Rizky Ansyah,4,sebulan lalu,"Pengen menikmati sisi lain dari taman nasional Bromo Tengger Semeru via negeri diatas awan, cuma sekarang udah sepi pengunjung, hype nya gak seperti beberapa tahun yg lalu"
hai_ozi Fauzi,5,sebulan lalu,Berpetualang menggunakan Motor trill di Kawasan B29 memacu adrenalin
Davananda Sheehan,5,sebulan lalu,sangat bisa diandalkann
Sutres Kotes,5,sebulan lalu,"Bagus bisa melihat Bromo dan padang pasir
Sayangnya Tempat yang kurang terawat
Banyak bangunan yang sudah runtuh
Terutama akses jalannya banyak yang sudah rusak"
Dharma Marlintho,5,sebulan lalu,"Puncak B29 menawarkan pemandangan alam yang luar biasa indah, terutama saat matahari terbit. Dijuluki “Negeri di Atas Awan”, tempat ini menyuguhkan hamparan awan tebal dengan latar pegunungan yang menakjubkan. Udara sangat sejuk dan segar, …"
Yoshi Prasetyo,5,sebulan lalu,Baru mencoba
ojekb29 wisata b29,5,Diedit 2 bulan lalu,Wisatanya bener2 istimewa
Fun Fishing Time,2,2 bulan lalu,Sejujurnya bintang 2 untuk menggambarkan secara keseluruhan pengalaman perjalanan ke puncak B29. Secara view bagus namun akses untuk menuju ke puncak B29 saya rasa kurang terutama bbrapa jalan yg masih belum di aspal atau di paving. Hal ini …
Shinta Naurah,5,2 bulan lalu,Cari musim yg pas (kemarau) supaya pemandangan bagus
Priyo,5,2 bulan lalu,"ketika cerah apik tenan B29

untung ya sepi juga kawasane, jadine bisa puas"
Logay Kurja,5,2 bulan lalu,suasana camp yang luar biasa dengan view menakjubkan
Roma Saputra,5,3 bulan lalu,Enak kali
Jupiter Adin Firmansyah,3,3 bulan lalu,"B29 yang sekarang berbanding jauh dengan yang dulu, entah mengapa sekarang jauh lebih tidak terawat dan kesan terbengkalai, jalan menuju ke puncak b29 untuk saat ini rusak dikarenakan banjir kata warlok, mungkin untuk kedepannya dinas …"
Jonnie,5,3 bulan lalu,"Kerennnn,cm aksesnya lmyn susah"
Anton Soeharto,5,3 bulan lalu,Jalanya cukup berat dilalui mohon siapkan mental dan kendaraan kalian . Jika dirasa tidak mampu ada ojek di pintu masuk. Naik ke atas is Free
سنْط,4,3 bulan lalu,"Seperti Bromo point view pada umumnya,,disini kita juga disuguhi pemandang gunung bromo yg MasyaAllah indahnya.
Viewnya cakep, hanya sj tempatnya yg sdh tidak terawat, sudah jarang ada …"
Rita Azalia,5,4 bulan lalu,Sangat inda pemandanganya
Idub Tjahjanto,5,4 bulan lalu,Jian apik panorama ne
rudvande roy,5,4 bulan lalu,Jalannya sangat seru
Danu Yuniansyah,5,4 bulan lalu,Jalur ekstrim bagi yang baru kesini
Budi Setiawan,5,4 bulan lalu,"Kawasan wisata puncak negeri diatas awan. Pemandangan nya sangat indah dan elok, jika tidak lagi kabut. Akses dari parkir mobil, masih menggunakan ojek sepeda motor warga sekitar melalui medan yang cukup menantang"
soyek dodik,1,4 bulan lalu,Kesini pake Vario benar2 menyiksa .. pemkab harusnya turun tangan perbaiki jalan perbaiki infrastruktur nya jng hanyanmau duit pajak ajaa
