name,rating,date,text
Mariattul Qibtiah,1,3 bulan lalu,"Kecewa banget terlalu banyak pungli nya,
Masuk per orang 4000
Parkir 10.000 …"
Rut Setiawati,5,5 bulan lalu,Pemandangan bagus
N0PANsky ._.,5,5 bulan lalu,"keren abiss, ada spot foto, trus ada yang sewa bebek buat menelusuri ranu klakah nyaa
bagus buat ajang foto foto🤩 …"
Akbar Thohir,5,6 bulan lalu,Kegiatan di Masjid sangat banyak hikmad dan meriah serta kompak seluruh jamaah dan warga sekitar
Nur sholeh 3217,4,Diedit 9 bulan lalu,"Lokasinya mudah dijangkau, cocok buat mancing dan wisata alam."
Nur Manda Devi,5,9 bulan lalu,"Ranu Klakah adalah sebuah danau alami yang terletak di Desa Tegalrandu, Kecamatan Klakah, Kabupaten Lumajang, Jawa Timur. Ranu Klakah menawarkan pemandangan indah dengan latar belakang Gunung Lemongan. Pemandangannya juga bagus. Htm : 4k untuk dewasa"
Devi Khan,4,10 bulan lalu,"Masuk byr 4000/org  tp tidak dapat karcis...
Utk makanan harga terjangkau..
Spot foto bayar 2000/org. Parkir mobil lgsng byr 10.000 tp keluar diminta LG karcis nya dan ditanya td SDH byr blm🥴😄 …"
Izza Angelica,5,setahun lalu,MEMANDANGI INDAHNYA CIPTAAN TUHAN 😍 …
Mariyadi,5,setahun lalu,Sangat bagus untuk refreshing.
Aji Purwanto,4,setahun lalu,"Lumayan Buat menikmati udara segar dan Tempatnya masih asri, dan Makanannya termasuk murah, tiket 4000 kalo gak pakai helm gratis tidak kenak biaya masuk seperti warga lokal"
Laili Novita,4,setahun lalu,"Tempat yang nyaman untuk rekreasi keluarga. Akses gak sulit, dekat dengan parkiran. Bayar biaya masuk+parkir tapi harga masih normal kok. Kalau naik perahu 10rb/orang, rute mengelilingi danau. Untuk yang bawa anak kecil harus hati hati ya"
imran tamamie,5,setahun lalu,"Sejuk, alami, indah"
Tapai Jamur,4,setahun lalu,Indah
Bintang Nirtara,4,setahun lalu,"Ranu yang ramai pengunjung dan banyak warung disekitarnya, termasuk yang mengapung. Bisa bayar nelayan lokal untuk rafting. Kalau cuaca cerah bisa melihat pemandangan gunung lemongan di sebelahnya"
Winarti Eka,5,setahun lalu,Bagus  banget
Lexie Baula,5,setahun lalu,Nice attraction
Dimas Maulana,5,2 tahun lalu,"Pemandangannya asri, sejuk di mata. Cocok buat santai di pagi hore atau menikmati senja. Biasanya ke sini pas pulang kampung ke rumah nenek di Ranu Pakis. Jarak dari Ranu Pakis yang juga tidak kalah indah sangat dekat. Mungkin naik motor …"
Inas Rofikoh,4,2 tahun lalu,Cakep untuk htm 4 rb
teguh zhafran wydo,5,2 tahun lalu,Ranu Klakah paling dekat dengan jalan raya. Banyak spot untuk foto dan melepas penat
