name,rating,date,text
Arya Nabila Revina,5,1 jam lalu,"buat tracking enak bgt, deket bgt dari parkiran, udah pavingan, cuman sayang bgt pas kesana kabut jadi gloomy view nya, recomended untuk pemula"
Nadia Ainia S,5,20 jam lalu,"aku kesini bukan ngecampp ❌ aku cuma pengen tau dalemnya aja kek begimanaa, ternyataa cantik jg dalemnyaa 💞💞 suka sm pemandangannya cakep ijo"" gituuu 😍🥦🐸🐍 kalo kesini kemarin tiketnya dah bergandengan dengan tiket bromo 👌🏼 jangan lupa …"
Mayki Maulidia Dwi Rohma,5,1 hari lalu,"Ke Ranu Regulo Januari 2026. Perjalanan berkabut, dingin, dan mendung, sampai lokasi sempat gerimis. Parkiran luas, bersih, dan petugas ramah. Jalan setapak menuju lokasi lewat Ranu Pani, kebun, dan pepohonan rindang—jalannya nyaman dan …"
denaffsh,5,1 hari lalu,"Kesana bulan Juli dinginn banget, apalagi wktu matahari blm muncul sakit banget dinginnya. Iseng cek suhu ternyata -6°. Mana ga prepare baju anget wkw. Pulang dari sana lgsg muncul alergi dingin😥 …"
Faruk Mujahidin,5,1 hari lalu,bagus bgt tempatnya besar orangnya ramah best
Agus Sudharnoko,5,Diedit 3 hari lalu,"Ranu Pegulo berdekatan dengan Ranu Pani. Jarak nya sekitar 200 m saja, bisa ditempuh dalam 5 menit. Tapi lingkungan disekitar Ranuregulo terasa lebih Teduh dengan pemandangan nya yang juga berbeda, walau vegetasinya bisa dikatakan sama. …"
sayyidah miana,3,seminggu lalu,pelayanan yg di loket ga bangetttt
Randy Ravindra Bramasta,5,seminggu lalu,"Tempat terbaik untuk healing dan lepas sejenak dari hiruk pikuk kota. Suasana sunyi, udara dingin yang segar, dan pemandangan danau yang cerminannya begitu jernih sangat memanjakan mata. …"
icah inanda,5,seminggu lalu,Bagus poll meski berkabut kesana tapi happy menarikk mau kesini lagii
Agung Pribadi,5,Diedit 3 minggu lalu,Salah satu danau di Ranupane. Masih alami. Mohon jaga kebersihan. Ada tempat ngecamp
naurah hanun,4,3 minggu lalu,"bagus, tapi mending ngecamp si biar ngga rugi"
Dwi Rokhmatin,1,3 minggu lalu,"atitude penjaga tiket nya jelek , sopan santun nya juga jelek"
Fina Nailatul izzah,5,4 minggu lalu,"Senang sekali bisa berada di sini selama tahun baru, banyak sekali orang yang datang ke perkemahan, itu membuatku tersenyum + aku bertemu Sugeng"
rudi santoso,5,4 minggu lalu,Tempat yang mantab
Yuniar Qurrota,5,sebulan lalu,"tempatnya seru banget,sayangnya pas ga kabut,klo kabut pasti lebih bagus lagi😁 …"
Fa Roeg,5,sebulan lalu,"Sangat mengejutkan
Ranu Pani tidak pernah mengingkari janjinya"
Sadira Agistya,5,sebulan lalu,"Kesini 2024 walau gloomy gadapet sunrise dan sunset tapi tetep candu. Dinginn bgtt, viewnya bneran subhanallah sepanjang perjalanan juga. Treckingnya jg ga cape, ada toilet dan mushola jg. Pas malem hari sempetin liat bintang karena …"
krismaya ismayanti,5,sebulan lalu,"cocok untuk pemula , campground luas.
tersedia mushola dan toilet"
Prisca Natalia,5,sebulan lalu,Suka banget🫶🏼 …
Muhammad Sholeh,5,sebulan lalu,Harga murah bisa di kirim bayar di tempatnya pelayanan sangat bagus
Hanung Trezy,5,sebulan lalu,Tempat latihan luas dan nyaman
Surjapati Kurnia,4,sebulan lalu,"The nature is fertile and very beautiful, the mountain weather is cool, clean, lots of people camp here."
M. Noval Raysetiawan,5,sebulan lalu,"Wow, this place is very nice, pampering the eyes, calming the mind, cooling the heart, reconciling everything that is happening in life. The journey to that location is also very easy. And also the entrance fee is quite cheap"
Rifqi Amrullah,5,sebulan lalu,"Oke tempatnya untuk camp bersama orang tercinta, istri saya hehe. Mudah diakses. Saat malam bisa dapat view menawan dari pemandangan bintang sekitar jam 2 malam pas semua pada tidur. Semoga kamar mandinya bisa lebih diupgrade kebersihannya …"
Intan nursetiyaning ati,5,2 bulan lalu,"baru pertama kesini udah terpesona dengan pemandangan, sayangnya aku kurang pagi kesini tp enjoyy🤏🏻 …"
Sound System,1,2 bulan lalu,Sangat tidak wort it mau fto model harus bayar 1jt
Adam 35,1,2 bulan lalu,Intinya kurang enak
Lutfihidayah 478,1,2 bulan lalu,gak worth it banget mau fto harus bayar 1jt dan pelayanan tidak sesuai
el,4,2 bulan lalu,"View bagus, cuma airnya kdg matii. kamar mandi banyakk ga antri mantap"
Hamdalah Meilu Putra,3,2 bulan lalu,sampah menjadi masalah utama di tempat ini
Mauliza Larasati,5,2 bulan lalu,"Ranu regulo jadi saksi bisu cerita kita dengan background danau yang indah, tapi dingin sekali sampai membeku menjadi es 🥶 …"
aji santoso,5,2 bulan lalu,Tempat yang sangat nyaman untuk me-refresh otak ketika fikiran lagi kacau
