name,rating,date,text
ariyadi asahan,5,3 minggu lalu,Sejuk dan asri
Dyta Fatma,5,4 minggu lalu,"Tempat nyaman, tenang, sejuk. Cocok untuk melepas penat dari kesibukan sehari-hari"
Apriliandy Fajar,5,sebulan lalu,Tempat sejuk di dekat kota Madiun.
Lisa'yiha Rodhiyah,3,sebulan lalu,"Tempat nya asri.
Akses lumayan gampang. Tidak terlalu ramai kalau hari biasa. Disarankan bawa autan, karna nyamuknya lumayan banyak."
Makmur Tani,5,2 bulan lalu,Tempat yg indah
Noorsetia channel,5,3 bulan lalu,Good job
Galuh Prasetya,5,3 bulan lalu,"Sejuk, Bagus, Rindang, Nyaman."
Aether Rebels,5,3 bulan lalu,sejuk
dendi suroto,5,4 bulan lalu,sejuk dan sangat nyaman
arif rahman,5,4 bulan lalu,"Tempat nyaman, sepi, mungkin perlu penambahan wahana yg konsepnya sepi, seprti kolam ikan, atau burung2,"
coco kdr,5,4 bulan lalu,"Suasana tenang, nyaman. Banyak penjual dengan pilihan menu makanan."
Nur Kholifah,5,5 bulan lalu,Tempatnya nyaman. Cocok buat santai 👍 …
Ryan Rhamadan,5,5 bulan lalu,"Tempatnya adem, enak untuk santai2 juga karena tidak terlalu ramai."
15_ indaheka,1,5 bulan lalu,"udah jauh"" dari magatan,pas dateng ternyata tempat e udah terbengkalai,auto puter balik 😭😭😭😭😭😭 …"
Fajar Alfalaq,5,6 bulan lalu,Asri
Warga Bumi 2104,4,Diedit 6 bulan lalu,"dari jaman sekolah sering kesini...smpe sekarang udah kerja kesini juga sma temen""....itung"" buat ngilangin stress...tempat e sejuk...sekarang yang jualan juga tambah banyak.."
swayudea,5,6 bulan lalu,"ga nyangka tempate senyaman itu buat bercerita sama temen, tempatnya sejuk banget kaya di dunia dongeng gitu tempatnya, kalian harus kesana sih biar tau senyaman apa😩💋 …"
Gilang Tirta Kurnia,5,7 bulan lalu,"Tempat wisata yang mungkin underrated (krg tau jg krena saya dr luar kota), jalan aksesnya cukup sempit dan naik turun. Tapi sebelum itu pemandangannya bagus sekali kiri kanan pohon tinggi2. …"
astri nazlia,5,7 bulan lalu,"Tempatnya enak sepi tenang asri

Mobil parkir diujung ya ga bisa masuk langsung ke area hutan pinus. Agak jalan dikit. Harga standar ga mahal"
Dewi Herawati,4,7 bulan lalu,Butuh waktu hampir 1 jam dari Madiun kota. Jalan bagus. Hanya ada 1 titik saja yang amblas jalannya. Di lokasi tidak terasa dingin hanya adem. Banyak nyamuk. Numpang foto saja sebentar. Pemandangan okeh
Cik Tacik,5,7 bulan lalu,"Pertama kali kesini dr ponorogo
Berangkat Berdasarkan google map. Jadi lewatnya pasar pagotan ketimur. Jalan nya mulus, lancar, tp bukan jalan raya karena melewati perdesaan, berkelok², tp …"
lleni padillah,5,7 bulan lalu,Tempat wisata dimadiun yg pengen ngadem yah kesini sama buat foto bagus2 ehk jangan salah buat jajanan pun enak2 murah lagi🫶 …
Dana Studio,5,8 bulan lalu,Bagus.. andaikan kawasannya lebih luas lagi pasti lebih menyenangkan ..
Ipunk Radiuzt,5,9 bulan lalu,"Tempat wisata alam yang sejuk dan asri dengan pohon pinus yang tinggi dan rindang, sangat cocok untuk healing 👍 …"
Weny Christianto,4,11 bulan lalu,"Suasana sejuk, rumput yg hijau, pepohonan yg tinggi dan banyak menjadikan ini lokasi piknik terdekat dan terbaik di madiun 🫰 kalo suka bisa hiking tipis2 ke arah tempat wisata gligi yg sudah ditutup.. mantab …"
Adhit Wardhana,4,setahun lalu,"Sudah bagus alami, dijaga kelestariannya tanpa merusak alam, lokasi yg terancam erosi segera tanami drengan pohon2 seperiti beringin, atau pohon asem, sampah di daur ulang sediakan tempat sampah, dijaga terus kealamiannya, jadikan wisata alam yang asri"
Rika Jho Story,5,setahun lalu,"Sejuk, asri."
fanny novia,4,setahun lalu,"Pemandangan bagus, tapi banyak nyamuk"
Kornelius Agung,5,setahun lalu,Overall bagus sejuk
Mia Ade Vilia R.,5,setahun lalu,Kesana hari weekday dan sangat amat sepi sekaliii.. Mungkin karena musim hujan. Tapi jadi enak suasananya syahdu dan tenang
Septa Risma N,5,setahun lalu,"update 17/11/24 08.44 wib kesana jd pengunjung no. 2 wkwk tempat bagus, sejuk, rimbun, jalan sudah bagus aspal tp agak serem sih nikung dan tanjakan nya apalagi kalo papasan sm mobil"
Wulan,5,Diedit setahun lalu,Tempat yg menyenangkan tp sayang parkir nya kurang nyaman
chamim93 1917,5,setahun lalu,Sebuah tempat wisata yg sangat sejuk murah meriah banyak ion negatip bikin tubuh fresh
JAMiATun JAMiATun,5,setahun lalu,Pemandangan masih Asri.. Karcis murah
Ageng Bashir,4,setahun lalu,"Sejuk, nyaman, jajanan terjangkau"
