name,rating,date,text
Ferry Saputra,5,2 minggu lalu,Bagusss banget
vitria eka cahya Wulan,5,Diedit 2 minggu lalu,"Harusnya dirawat sih tempat wisata nya, biar ada pemasukan lebih ke daerah..."
muntoro madiun,4,2 minggu lalu,Nyaman dan edukatif. Perlu ada guide yang standby setiap hari libur.
A. M. Marfianto,5,3 minggu lalu,Monumen ini menjadi pengingat bahwa konflik politik bisa menjadi penyebab kesengsaraan rakyat. Konflik para elit politik bisa membuat rakyat yang menjadi korban.
Tatit Sby,5,3 minggu lalu,One of the places where historical tragedies occurred in East Java Province
Saiful Azhari,4,3 minggu lalu,Kalo kesini sebaiknya pas cuaca cerah
Miftahul Arifin,4,4 minggu lalu,"Monumennya bagus tapi tempat bermainnya kurang terawat, banyak yang rusak dan kotor
Tiket masuk 5000, Parkir mobil 5000"
puspita hand,5,4 minggu lalu,Monumen
Untung Kartiko,4,sebulan lalu,"Awalnya kami olahraga bersepeda dari desa wayut jiwan pergi ke arah timur menikmati suasana alam hingga pada akhirnya saya berada di ketinggian 334mdpl dan berada di monumen ini yg indah sejuk dan menyimpan banyak sejarah,  suasana …"
aba kifah,5,sebulan lalu,Pelayanannya bagus. Nyaman untuk wisata dan edukasi
Rida RR,4,sebulan lalu,salah satu wisata sejarah di madiun. diceritakan dengan jelas sehingga dapat menambah wawasan. …
Chandra Arie Widiyoko,4,sebulan lalu,Suasana oke
Wibowo Heru,4,2 bulan lalu,Mengenang sejarah
Brian Purnama Putra,5,2 bulan lalu,"Monumen PKI Madiun ini salah satu tempat bersejarah yang menarik buat dikunjungi, terutama kalau suka wisata sejarah. Lokasinya tenang, suasananya masih terasa banget nuansa masa lalunya. Di area monumen ada banyak penjelasan tentang …"
Amelia Anjelina,1,3 bulan lalu,pelayanannya sangat lama sejam ngga mateng mateng
Maulana Malik,5,3 bulan lalu,Bagus dan nyaman
Edy Purwanto,5,4 bulan lalu,"Bersih segar udaranya, cocok utk rekreasi Dan santai"
Tri Nurjayanti,5,5 bulan lalu,"Awalnya iseng² dolan ke madiun dr sragen. Setelah makan di sleko maa driver onlinenya menawarkan diri untuk mengantarkan mengenal. Madiun jadilah kami mbolang hari itu... Yg jelas jd tau tentang tempat ini, tau sejarah yg terjd di tempat ini..."
Kelfin anung,5,5 bulan lalu,"Mengenang para pahlawan..namun jangan lupa mendoakan Korban keganasan PKI, beliau pahlawan yg terlupakan dan snagat Butuh Do'A dari kita semua"
Ryan Rhamadan,3,5 bulan lalu,Tempatnya kurang terawat.
amadda ilmi,3,5 bulan lalu,"Salah satu destinasi wisata sejarah di Madiun, sayangnya perawatannya menurut saya masih kurang, ada yang merawat bersih² tapi secara keseluruhan terlihat agak terbengkalai. Padahal kalau dijadikan prioritas banyak sekali yang bisa …"
Hendika Hendika,3,6 bulan lalu,"Tempatnya aga kotor, kurang terawat,"
Mama Nadia,5,6 bulan lalu,Generasi paham sejarah
restu mumpuni,4,6 bulan lalu,sebaiknya ada guide yg menjelaskan karena tidak semua pengunjung paham srjarah apalagi kita sudah bayar masuk 10rb
Purwanto Nurjanah,5,6 bulan lalu,"Bukti pelanggaran hak asasi manusia dan perikemanusiaan yang tertuang dalam Pancasila khususnya sila ke dua, Kemanusiaan Yang Adil dan Beradab."
Satriono BS Afad,4,6 bulan lalu,Harga masuk kalau dibandingkan dengan layanan yg diberikan tdk sesuai.
fuji astuti,3,6 bulan lalu,Sepi dan biasa saja
Mikoyan Rumengan,3,6 bulan lalu,Bagus utk mengingat Sejarah
Isman Firmansyah,5,7 bulan lalu,Tempat yang cocok untuk belajar sambil bermain dikala liburan
Chandra Adya Anggana,5,7 bulan lalu,Lumayan
Nanda Saputri,4,7 bulan lalu,"Akses untuk ketempat Monumen tersebut sangat bagus jalananya. Tapi sayangnya tempat Wisatanya kurang terawat sepenuhnya, banyak tempat yang rusak dan tidak ada pembaharuan dari pemerintah setempat dan banyak yang membuang sampah sembarang …"
Mulyani Mulyani,4,Diedit 7 bulan lalu,Bisa mengenal sejarah
Alreyakai,4,7 bulan lalu,Asri adem.. Sayang playground tdk terawat kasihan anak2 yg mau main..
Egi Eligius,5,7 bulan lalu,Tempat buat belajar sejarah keganasan PKI di madiun tahun 1948
Anthony Sinatra,4,7 bulan lalu,Monumen bersejarah namun kurang ramai mungkin karena tidak ada promosi maupun inovasi …
Ir. Suparnu,4,8 bulan lalu,Perlu perawatan lagi.
Erwan Muchlis S,5,8 bulan lalu,"Monumen mengenai PKI di Madiun, menjadi edukasi untuk kaum muda, Mari kita doakan dan hormati para pendahulu yang telah gugur"
Nur Said (Nur said),5,8 bulan lalu,Sangat meng Edukasi buat generasi muda
Reza Afrisal,5,8 bulan lalu,"Untuk spot foto lumayan, sekalian mengenang jasa pahlawan. Tempat asri"
