name,rating,date,text
Ninggar Setya,4,3 minggu lalu,"kedua kalinya datang kesini. ada banyak hewan,kolam renang,dan wahana2 seru. bagus untuk edukasi anak. bisa feeding rusa,beli makanannya 5000/pack. minus kebersihan kandang dan hewan kurang terawat"
Febri Ayu,4,sebulan lalu,"area wisata hewannya cukup bagus, kebersihan juga lumayan, tapi mohon maaf untuk area kolam renangnya mohon lebih diperhatikan lagi karena kemarin saya berkunjung kesana dan saya lihat banyak sekali anak² yg terpeleset karena lantainya yg …"
Uzumaki Naruto,3,6 bulan lalu,Kolam dewasa kotor.jenis binatang lumayan banyak.permainan satu paket dg tiket.lumayan bikin anak senang .kamar mandi bawah air menggenang .sangat antri .tolong tambah lagi km mandinya.dan kolam tolong dibersihkan berkala.krn airnya hijau .jijik.
zev,4,2 minggu lalu,"Definisi paket lengkap buat healing tipis-tipis! 🌊 Ada kolam renang, mini zoo, sampe wahana ala pasar malam gitu. Vibes-nya seru banget buat seru-seruan bareng circle atau keluarga. Worth the price banget sih! …"
Immash Pratiwi,3,setahun lalu,"Tempat wisata ini sudah ada sejak saya kecil. Tapi entah kenapa sepertinya tidak banyak berubah 😅. Dari segi penataan taman dan hewan-hewannya. Memang ada beberapa jenis hewan, tapi terlihat kasihan 🥲. Kandang kecil dan kurang bersih. Untuk …"
Syafa Marwah,5,6 bulan lalu,"Tempatnya bagus... Ada kolam renang untuk dewasa dan anak anak, ada mini kebun binatang,, ada beberapa wahana yang bisa kita naikin 😃 …"
RAW,3,Diedit 9 bulan lalu,"Semoga bisa menjadi perhatian bagi pemerintah daerah setempat, donatur/investor, pengelola umbul square itu sendiri untuk lebih mengembangkan kawasan wisata umbul square karena sebetulnya ada potensi bagus.. …"
mustika -,4,8 bulan lalu,"wisata edukasi untuk anak-anak yang dekat dengan pusat kota. mudah dijangkau karena dekat dengan jalan raya. parkir luas. terdapat fasilitas toilet, musola, pendopo yang ada karaokenya. makanan dan minuman terjangkau dan rasa masakannya …"
octavma,4,2 tahun lalu,"Tiket masuk Rp20.000 saat weekend, harga tiket untuk permainan & waterboom mulai Rp5.000 saja. Tempat parkir luas, kamar mandi bersih & disediakan sabun cuci tangan juga, satwa dalam mini zoo juga dirawat dengan baik. Sayangnya air kolam …"
"SEKAR A,R,F",1,4 bulan lalu,Kebersihan dan kurangnya perawatan ..air kolam yang keruh..
Cik Tacik,3,3 bulan lalu,"Datang dipintu masuk disambut patung hewan. Oke banget buat foto.

Masuk bagian hewan² agak kurang suka kebetulan habis hujan jadi bau dan becek. …"
Taqiyuddin Jogja,5,2 tahun lalu,"Tempat bermain yang cukup menarik. Daerah desa, namun dekat jalan raya. Wahana cukup beragam untuk anak. Dari waterpark, kereta mini, komidi putar, Bianglala kecil, rumah Hobit (berisi mandi bola dan wahana mainan anak 1-4 seperti perosotan …"
Wajan Burik,2,Diedit setahun lalu,"Fyi buat yg mau ke umbul, sekarang harga tiketnya naik ya gaes. Weekdays Dan weekend  20ribu. Mau renang bayar lagi 5ribu. Harga yg sangat tidak masuk akal menurutku. Jadi pertimbangakan lagi rencana anda kalo mau kesini. Sekarang …"
sinta yuli,5,sebulan lalu,"Untuk hewanya tolong lebih di perhatikan lagi ya, kurus-kurus kasihan.
Sama Wc lebih di tingkatkan kemarin kesana masa iya ga ada air nya.
Untuk semua nya udah bagus. …"
Umi Nurul,5,seminggu lalu,"Harga tiket yg merakyat,hrg makan minum jg murah. Cuma d bagian satwa kurang bersih."
Rossa Aisyah,4,2 tahun lalu,Hewan dan permainan lumayan lengkap worth to visit buat yg liburan ngga pengen jauh dan buat ngenalin binatang ke anak. Kolam renang atau waterboom luas …
Enzn,2,9 bulan lalu,"pliss buat yang hobi nya nyalain musik gede gede pake sound system suruh pake headset aja sana lah, ini tuh tempat hiburan untuk umum 😹 bukan tempat pribadi bukan di pernikahan orang! …"
Rizqi Hufatul,5,Diedit 3 tahun lalu,"Tiket masuk weekend 20k, weekday 10k. Anak dibawah 3 tahun tidak dipungut biaya tiket. Parkir motor 3k. Ada beberapa mainan dengan tiket yg ramah di kantong pula, 5-10k aja. Pelayanan baik dan ramah. Yuk main kesini sekalian sedekah buat …"
Rey Qilla adnan,5,setahun lalu,"Tgl 12 apr""24
#Htm 30rb dah plus renang &ada mini zoo(pas lebaran 2hari)
#kolamnya bagus,air jernih,wc nya jg bersih …"
Rifqi Ihsanu Najib,5,2 bulan lalu,"Masih sama seperti dulu, bedanya lobi pembelian tiket dan parkirnya baru lebih luas, mungkin hewan²nya perlu diupdate dan direnovasi kandangnya biar lebih bagus lagi, dan wahana prosotan kolam renang perlu dichek atau diupgrade lebih baik lagi, apalagi yang prosotan panjangnya g bisa licin, sangat berbahaya jika anak² main disana..."
Samil Antenk,5,3 tahun lalu,"Seru dan menyenangkan mengisi hari libur bersama keluarga, ada kebun binatangnya, kolam renang dewasa dan anak2, wahana permainan, ada joglo, bianglala, komedi putar dll. Untuk tiket relatif murah. 10.000 hari biasa, 20.000 hari ahad"
Yeni Setio,1,2 bulan lalu,"Apa apaan
Hari biasa katanya tiket 10.000
Inii hari Senin, samasekali Ndak ada wahana yg beroperasi, petugas Ndak ada, …"
Pitria P,5,Diedit 3 tahun lalu,"Cocok untuk piknik keluarga. Masuk bayar 20rb/orang, renang 5rb. Tempatnya luas, nyaman kalo dirawat lebih baik lagi. Kemaren sempet ketemu sama monyet2 yang lepas dari kandang tapi alhamdulilah monyetnya ngga usil hehe."
Siti Mudawamah,4,2 tahun lalu,"Sejauh ini cukup puas menghabiskan waktu bersama keluarga dengan biaya yang relatif terjangkau.
Cukup lengkap dengan wisata edukasi, wahana permainan, dan water Park'nya. …"
raning,4,3 tahun lalu,"Tempat yang sangat cocok untuk liburan keluarga.. Saking banyaknya permainan, sangat menikmati sampai2 tidak sempat berfoto, hihiiii. Sangat direkomendasikan untuk semua kalangan usia, dari anak-anak, remaja sampai orang tua"
SiLfi NaruLita,1,setahun lalu,"Maaf dan ngapunten sanget buat pengelola umbul 🙏🏻 kesana 9 orang pertiket 20k, sampai dalam mau renang udah bayar 5k lagi, alhasil kolam renang g terisi full airnya dan kotor bget, ga jadi renang. . Per wahana masih bayar lagiii. Perlu …"
Geprekin Maospati,5,sebulan lalu,"Tempat yang asik untuk berlibur, sedikit saran sebaiknya perlu diupgrade lagi untuk wahananya agar lebih menarik minat pengunjung, sukses selalu 🫶 …"
F S,5,2 tahun lalu,"Tempat kebun binatang mini plus wahana
Ada aneka rusa,kijang,beruang madu,buaya,burung2,monyet,orangutan,beruk,berang berang,bekantan dll …"
