name,rating,date,text
Nugroho Drs,5,3 bulan lalu,"tempat wisata luas, banyak kukiner"
Meilinda Fitria,4,3 bulan lalu,"Tempat enak, makanan disekitar juga enak
Tapi sayang ketenangan yang dicari hilang, gara2 ada beberapa ibu2 membawa sound system besar dan karaokean. Padahal ke widas mau tenang menikmati suasana. . . Huhuhuhu"
Yudi Imamura,5,5 bulan lalu,Santai bersama keluarga
Hendra Widya Prasetya,5,7 bulan lalu,"Tempatnya asik untuk kumpul bersama keluarga, makan bersama sambil bawa tikar menikmati angin sepoi² di bawah pohon trembesi."
Widodo Pasar,2,10 bulan lalu,ini Info mancing banyak ikannya
Imanuel Krestrianto,5,11 bulan lalu,Cocok buat liburan dan mancing bersama keluarga dan teman
Edo Christianto,3,setahun lalu,"saat kemari cuacanya lagi mendung, tapi lumayanlah dengan begitu bisa merasakan sepoi sepoinya angin dan merasakan pula ketenangan tapi alangkah bagusnya jika sampah2 yang bertebaran itu dibuang ke tempat sampah donk"
Ryant Achmad,4,setahun lalu,"Kesana pas musim hujan. Untungnya pas disana tidak pas sedang hujan. Kalo tiba-tiba hujan dan banyak pengunjung, sepertinya bakal bingung cari tempat buat neduh. Paling bisa berteduh di warung-warung yang ada disana. Karena tidak disediakan …"
AA PWE,5,setahun lalu,"Tempat healing wisata alam dan bendungan yang indah, luas di kabupaten madiun  Terdapat taman bermain bagi anak-anak, parkiran mobil sangat luas. Banyak pilihan ragam makanan yang tersedia di warung warung  yang berada di lokasi. Pilihan menu Ikan air tawar .. menjadi pilihan rekomendasi.
by #dolanKru"
irfan tama,4,setahun lalu,Apa ad waktu tertentu buat mancing atau tanggal yg boleh dan ga boleh buat mancing..?!?
Nurul Fajri,5,setahun lalu,Tempatnya asri
Ima Aim,5,setahun lalu,Setahun paling sedikit sekali k sini karena kerjaan.. hawanya sejuk banget dbawah pohon besar2... jangan lupa mampir d warung2 area waduk... ikan nila bakar mereka enak2 dan sambelnya enak banget... hadah..ngetik ini saya jadi ngiler bayangin sambel trasi mentah dan ikan nila bakar...
Trinanda Oktaviana,1,setahun lalu,"Kalau temen temen gak pandai nego jgn kesini deh wkkw
Minggu lalu kesini bayar 10ribu 1 motor 2 orang
Hari ini kesini lagi kena 25ribu 2 orang 🤣
Katanya buat pembangunan tapi dari dulu gak berubah juga …"
cahyo hendri,3,setahun lalu,"Akan banyak anggaran daerah untuk biaya maintenance maupun pembangunan area yang sangat luas. Sehingga pengawasan dalam hal perawatan, pelestarian dan kebersihan kurang maksimal. Akan lebih baik jika kawasan itu menjadi kawasan konservasi …"
Alester A.,3,setahun lalu,Tergolong mahal untuk ukuran wisata sederhana seperti ini
Novi Kurnia Lestari,4,setahun lalu,Datang pas weekdays udh kesorean jg jdi sepi. Bnyak pemancing. Ada warung jg. Ckup bagus klo lebih dirawat dan dikelola dgn baik.
nanang wijayanto,5,setahun lalu,Suasana sejuk
Rosied Ihsani,4,setahun lalu,"Lumayan bagus untuk refreshing tipis tipis. Ada tempat bermain anak anak yang harusnya lebih dirawat. Banyak warung di dalam nya jadi gak harus bawa bekal.
Untuk parkiran nya nggak jelas disebelah mana, ntah emang model nya bebas parkir …"
Nanda Skak,5,setahun lalu,"Camping bisa, makan² bisa, ajak anak² juga bisa, di maklumi lah klo tmpat umum pasti ada plus minus"
Agak Sakti,5,setahun lalu,"Tempatnya asri sejuk, bisa sambil makan ikan bakar dan degan"
Okziyar Hadafi Achmad,5,setahun lalu,Enak buat cari ketenangan
Shintia Mitra Dewi,5,Diedit setahun lalu,"Luas, tempat mancing favorit
Air sdh naik.. makin cakep"
Bayu Aji Prawito,4,Diedit setahun lalu,"Ngobrol kerjaan, santai, cuci mata, mancing atau hanya sekedar jalan jalan juga cocok.
Ikan bakar segar ditambah es degan. Mantab"
lia qiout'zz,4,2 tahun lalu,Tempatnya kurang terawat terutama bagian area bermain.
Darni Kustiani,5,2 tahun lalu,Indahnya
rofiq ra,3,2 tahun lalu,"View nya sangat bagus, suasana juga tenang, cuma sayang lampu di toiletnya udah putus, dan rusa yang dulu ada sekarang udah gak ada"
vera susanti,4,2 tahun lalu,"Kesini pas kemarau, airnya sedikit dan sepi pengunjung"
Achirotul Annisah,1,2 tahun lalu,Tempatnya lumayan sejuk tapi menu makanannya kurang menarik bagi saya
Tono Ryska HD,5,2 tahun lalu,Sejuk enak buat nyantai bersama keluarga
fitria jhsr,5,2 tahun lalu,"Cakep buat nonton sunset si, kalau cuaca mendukung"
Dwi Lestianingsih,3,2 tahun lalu,"Sepi pengunjung, fasilitas masih sangat perlu ditingkatkan."
Agnisotya,4,2 tahun lalu,"Tempat luamayan bisa buat santai banyak warung makan menyajikan berbagai menu ikan bakar....
Banyaknya pohon sangat enak dibuat santai dibawah pohon sambil menyaksikan orang …"
Churniawati Anuladhani,3,2 tahun lalu,"Disuguhi pemandangan alam yg masih asri, permainan anak masih cukup bagus, banyak warung yg tidak buka efek pandemi."
Gagat Mughni Pradipta,5,2 tahun lalu,Good place
ahmad panjut,4,2 tahun lalu,Lumayan untuk rekreasi keluarga daerah Caruban
wirkadiyo purwadi,4,2 tahun lalu,Tempat yang nyaman untuk healing.
JATI SULAIMAN,5,2 tahun lalu,Lumayan keren
Wahyu 2w,4,2 tahun lalu,"Luas,view asik apalagi waktu sunrise atau sunset"
edi Hak'e hak'e,4,2 tahun lalu,Tempat keren di dalam hutan...
Diva Oktaviana,5,2 tahun lalu,"Fav place to go when i want to see sunset in a good day 🌞 the place is really good, warm, and calming. A nice place to have a short escape or picnic with your beloved peoples …"
Dewono Siswardiyanto (Oni),3,2 tahun lalu,"Kurang dikembangkan lebih baik. Pengelola atau operator harus melakukan inovasi agar wisata ini bisa dikunjungi lebih banyak orang. Misalnya dengan penambahan atraksi yang digemari pengunjung, penambahan fasilitas seperti tempat penginapan dll."
Catur Wahyu,3,2 tahun lalu,Sayang sekali kurang pengelolaan dah gk kerawat
