name,rating,date,text
Dar Manto,2,2 minggu lalu,"tempat gak terawat ,"
puspita hand,5,4 minggu lalu,Tempat wisata sungai yang berada di desa kresek
Nadia Aliya,5,sebulan lalu,Adem
Dyah Puspitarini,4,sebulan lalu,Menyediakan tempat bermain di alam bersama keluarga
Gatauakugabut,4,sebulan lalu,"Makanan dan harga sesuai
Tempat bersih, ada Sungai yg bsa dipakek anak2 untuk bermain
Udaranya juga sejuk"
Winda Lestari,4,sebulan lalu,tempatnya bagus tapi saya tadi kenter dek kali
STUDIO ONE MADIUN,5,2 bulan lalu,Buat maen air sih ok... Tetap dalam pengawasan orang dewasa... Tp wahana yg lain mohon d perbaiki...
Billy Satriyo,3,3 bulan lalu,bersih hanya saja bbrp tempat seperti terbengkalai
Fatah 82,5,3 bulan lalu,Lumyan
Trivena Alidri,5,3 bulan lalu,tempat wisata terbaik untuk di kunjungi dan berfoto foto.
Lala official_story,4,5 bulan lalu,Pengalaman bermain di alam yg ta terlupakan.... Sungai alami yg terletak di deoan dan depan tempat makan yg cukup luas. Rumah makan nya sndri menyajikan aneka masakan rumahan yg beraneka macam dgn hrga terjangkau. Ok bgtttzz
Ali Mursyidin,3,5 bulan lalu,Wahana mainan hrsy diremajain
Kevin Adnan (Kevin Adnan),4,5 bulan lalu,Cukup sejuk dan cukup menarik untuk refreshing di akhir pekan.
Zumar Hafidl Karim,5,6 bulan lalu,"Pagi jam 9 ngobrol santai bersama teman kerja. Lalu makan lalapan, iwak kali, nila bakar, ayam goreng, wedang jeruk anget dan banyak lagi.....diakhiri mandi di sungai"
nanang yogi,5,6 bulan lalu,"Wana wisata yang bisa untuk rekreasi keluarga, dengan biaya yang murah baik dari parkir maupun makanannya. Area parkir cukup luas bisa untuk mobil motor. Di dalam area wisata ada spot kali yang menjadi andalan dengan air cukup bersih dan …"
YDC,5,6 bulan lalu,"Wana Wisata Grape: Liburan Asri dan Kuliner Lezat di Tengah Keindahan Alam Madiun!
Wana Wisata Grape di Madiun adalah permata tersembunyi yang menawarkan kombinasi …"
Fikrie Lazuardi,5,6 bulan lalu,"Tempat jauh lebih terawat dan bersih, juga ada wahana baru."
fuji astuti,3,6 bulan lalu,Bagus sih tapi sayang tidak terawat
Eko Utomo,5,7 bulan lalu,"Mabar dgn keluarga, mantuuuul"
Hemas Farhan,3,7 bulan lalu,tempatnya tidak terlalu terawat
Ridwan M,5,8 bulan lalu,Tempat langganan rest point gowes
Muawan Haqiqi,4,8 bulan lalu,"Bagus..
Indah.."
yudo hermawanto,5,9 bulan lalu,Rame
Fikri Rahman,5,9 bulan lalu,Tempatnya tenang dan cukup bersih. parkirnya mudah untuk mobil. Jalan menuju sini juga relatif mulus.
Andi Wena,2,9 bulan lalu,"Agak bingung sama konsep wisatanya, yang tersedia cm playground anak dan kolam renang. …"
radenarisda,5,9 bulan lalu,"Mampir di tempat makannya, ada sungai alami dengan batu-batu besar dan aliran cukup deras"
rani krisna,5,9 bulan lalu,"Kos kosannya bersih,nyaman,ibu kosnya ramah,ada tempat parkir sepeda motornya juga"
Aprilia Rizky Riadini,5,10 bulan lalu,"Tempat nostalgia. Dulu setiap lebaran aku sekeluarga besar mampir kesitu buat makan ikan wader di gubug diatasnya. Dulu aku masih kecil, suka naik di batu yg paling besar ditengah situ. Terus sekarang aku sudah besar, sudah bawa anak kecil. …"
ANDIKA PRATIKNA,5,11 bulan lalu,"Melayani pembelian mobil baru dan bekas
Cash/ kredit tukar tambah bisa
Wa"
Dwi Kustiono,4,Diedit 11 bulan lalu,"Wana Wisata Grape Di lereng Gunung Wilis, Tempat wisata keluarga, dengan suasana yg sejuk,
Tempat wisata Kuliner, Menu ikan, ayam dll.
Ada tempat bermain untuk anakanak"
themoe coy,5,11 bulan lalu,Pemandangan sawah yg hijau & sungai yg jernih bikin betah
Joko Supriyanto,3,11 bulan lalu,"Kebersihan cukup, diperbanyak spot supaya pengunjung akan pengin berkunjung lagi"
em je,5,11 bulan lalu,enak
Diah Novita Ekawati,3,setahun lalu,Saya kesana dalam suasana hujan jd kurang menyenangkan baiknya kesana pas musim kemarau
Hata Ahmad,3,setahun lalu,View yg bagus
Faizal hermawan,5,setahun lalu,"Salah satu tempat wisata dan kuliner yg ada di kabupaten madiun, Tempatnya yang sejuk dan mempunyai segmentasi tersendiri. Semoga pengelola mampu memperhatikan setiap detail apa yg di butuhkan konsumen. Selalu berinovasi terus dalam rangka memajukan pariwisata yang ada di area tersebut. Semangat pejuang wisata"
Andika Lia,5,setahun lalu,"ngadem disini pas siang hari , sambil makan siang"
Harry Candra Sihombing,3,setahun lalu,Sarana wisata yang tersedia sangat terbatas.
Bedjo_ 99,3,setahun lalu,"Parkir motor 5k
Parkir mobil 10k
Tiket masuk 10k/orang …"
Nabilla Nurtsaniya,5,setahun lalu,"Ada kolam renang, tempat bermain anak-anak (ayunan, perosotan, jungkat-jungkit), ada penjual es krim, pentol, dan jajan lainnya. Ada mushola, kamar mandi depan dekat pintu masuk, bersih (tidak bau pesing) bayar 3000"
anggara aquarista,5,setahun lalu,"Wana wisata yg pas buat bersantai dg keluarga, dimana saya bisa menikmati udara yg sejuk sembari lari² kecil"
Bahrul Mu'in,5,setahun lalu,"🍃 Wana Wisata Grape – Pesona Alam yang Asri dan Menyegarkan

Wana Wisata Grape adalah salah satu destinasi wisata alam yang menawarkan …"
Muhammad Alfian,4,setahun lalu,Keren banget dan keren
Frangky Torar,5,setahun lalu,"Tempatnya enak, harganya murah"
fransisca lena,4,setahun lalu,Suasananya cocok buat melepas penat orang perkotaan
Karina,1,setahun lalu,Terlalu banyak pungli
Dwi Tjahjono,5,setahun lalu,"lumayan makanannya tradisional iwak wader, untuk ngadem bagus"
Tasbikhatuz Zumaro,5,setahun lalu,"Wisata grape ini cocok untuk piknik dengan keluarga. Tiket masuk 8rb, karena rombongan beberapa keluarga jadinya nawar dan akhirnya yang dihitung anak2 saja. Lumayan kan? …"
Kang Guru Yanda Pro,5,setahun lalu,Wisata pegunungan nan sejuk. Rumah makan yang layak untuk di nikmati beraama keluarga.
Garasi Adv,5,setahun lalu,Tempat yang menyenangkan untuk bersantai
Agnisotya,3,setahun lalu,Awal kesini ramai .. tapi terakhir ketmpat ini suasana sepi padahal hari minggu kalo dibanding dg hrga tiket bagi saya tidak sesuai krn kalo bagi org dewasa hanya menyuguhkan sungai gk ada hal yg menarik …
Ana Andriya,2,setahun lalu,Tempat seperti tidak di urus. Menyesal sih kesana jauh2 krn kuliner pun pada tutup semua yg buka cm 1 deket kolam renang. Kolam renang airnya jg kotor bgd. Kalinya jg kotor ada popok2 bekas eeknya bayi di kali jorok bgd pokoknya tidak terawat.
Latifah Asmul,5,setahun lalu,kemenangan kemenangan perlombaan
Ferry Putra,1,setahun lalu,TDK ada sejuknya sama skli efek hutan jati..knp perhutani lbh penting kayu jati drpda resapan air dgn menanam pohon bayur.atau pohon trembesi dll. Hutan dmsna2 mlik perhutani gersang kerontang efek rakusnya perhutani.
HarLang Bird Farm,5,setahun lalu,Bagus dan perlu ditata lebih rapi lagi
Kristiani A.,1,setahun lalu,"Tempat wisata ini kurang perawatan. Seharusnya, dengan banyaknya tempat² wisata baru, Grape harus lebih bisa mengelola tempatnya dengan lebih baik."
Rita Ayu Wijayanti,4,setahun lalu,"Suka dengan sejuk nya sungai dan suara gemercik aliran airnya..sayang nya terganggu dengan suara musik dangdut n jaranan yg sangat keras🥴, untuk pengelola ada baiknya musiknya diganti dengan musik lagu2 kekinian yang syahdu biar lebih sesuai dg tempatnya yg mnyuguhkan pemandangan alam/ sungai yg syahdu n sejuk …"
Haryanto S,4,setahun lalu,"Tempat untuk menghilangkan penat, menikmati persawahan dan kehijauan"
Andra,5,setahun lalu,TEMPAT WISATAKU PAS KECIL🥰🥰🥰🥰 …
Brahmon Savira,5,setahun lalu,Kl yg mau ksna harus hati..kondisi jalan masih diperlebar
Natasya maharany,5,setahun lalu,"Miae ayam super mantul, yang jual juga ramah banget, recommended"
Sing Sing,5,setahun lalu,Enak dan nyaman
Risa Agustin,5,setahun lalu,Tempat sejukk cucok
Sri Winarsih,4,setahun lalu,"Ada tempat makan... Hiburan(dangdut pas kesana) Parkir tarif biasa,, ada tempat pinggir sungai yg bisa buat mancing ataupun sekedar mainan air... Karena pas kesana keadaan sudah kenyang jadi belum sempat mencoba kulineran disana... Kapan2 lagi..."
Eka Maulidzar,4,Diedit setahun lalu,"Tempat liburan bareng keluarga dengan suasana hutan yang sejuk, dingin udara segar."
Firmina Ika,3,setahun lalu,"Tempatnya sejuk,cocok buat ngadem. Apalg jg byk tempat utk kuliner di situ. Sayang sekali wana wisata utk ank2 bermain kurang nyaman terutama utk kebersihannya. Sy gak bisa bayangkan klu lg musim hujan bgm. …"
