name,rating,date,text
maryadi wijaya,5,2 minggu lalu,"2025Des
Libur nataru …"
andrew setiabudi,5,3 minggu lalu,"Salah satu destinasi yang ada di dekat telaga sarangan.. berjarak +-2km dr pusat sarangan
Bisa dilalui dengan jalan kaki …"
Nitha_19,5,4 minggu lalu,"Bagus sekali...asri....view nya ga ada yg gagal sepanjang perjalanan oke banget
👍🥰 …"
Julian Aditya,1,sebulan lalu,"Saya , sangat suka dengan pemandangan air terjun disana , akan tetapi pengunjung waspada sengan kakek ² yang menawarkan titip barang di sebuah tempat/ gubug sebelah kanan arah berangkat , benda saya ada yang hilang saya titipkan kesana , …"
Farhan Fatur.R,5,sebulan lalu,"Dari parkiran motor lumayan jauh,mungkin sekitar 1,5 km...jadi yang mau kesana harus semangatt.."
Rey Kusumo,5,2 bulan lalu,Pemandangan di sepanjang perjalanan dari tempat parkir sangat indah.
Widya97,4,2 bulan lalu,"1. Tantangannya; masuk ke area wisata Sarangan harus bayar tiket 19rb. masuk ke area parkir terdekat dgn loket air terjun dengan mobil sudah perjuangan tersendiri. Ruwet sekali, ada org2 jalan campur sm motor, kuda. Motor & mobil parkir …"
div,5,2 bulan lalu,Cukup sekali deh ya jauh bet buset mana nanjak terus
Gion Aditya,5,2 bulan lalu,"Jarak trekking dari parkiran telaga sarangan -+ 45 menit dengan jalur yg lumayan naik, tapi disepanjang perjalanan menyuguhkan landscape pegunungan yg indah"
Salsabilla,5,3 bulan lalu,"jalannya jauh bgttt woi soalnya ada di ketinggian 1200mdpl an gitu, dan bagus bangettt woiii! tp kurang bagus soalnya gak kesana sm abdul, tp kesana sm temen2 aku overall oke siihh seruuu, aku juga upload itu di YouTube akuuu …"
chiko hiroshi,5,3 bulan lalu,Kala itu pada 30 juli 2011
David Firmansyah,5,5 bulan lalu,Biar foto saja yg menjadi bukti😃😃😃 …
joko smanda,5,5 bulan lalu,air jernih menyegarkan
Bethari Annichlah,5,6 bulan lalu,"lumayan capek pas berangkatnya karena jalan kaki dan agak nanjak, tapi sepanjang perjalanan menyenangkan karena disuguhkan pemandangan sawah yang super cantik. tersedia ojek apabila tidak sanggup jalan kaki. sepanjang perjalanan pun banyak warung yang menyediakan makanan yang cukup murah."
Ribut Ricuh,5,6 bulan lalu,Lumayan jauh tracking nya tapi benar benar terbayar 🍃✨🥹 …
Mohammad Falah,5,6 bulan lalu,Tempatnya bersih dan selama perjalanan menuju air terjun disuguhi pemandangan kebun-kebun warga dan pegunungan yang tampak asri
Elang Zzatoehatti,4,6 bulan lalu,"Airnya jernih, sejuk, dikelilingi bentang alam yg 👍 indah & perkebunan. Jalan ketempat lokasi sudah cukup 👍, cuma agak susah utk anak2 (yg membawa anak kecil). …"
