name,rating,date,text
tika srss,5,18 jam lalu,"treknya full makadam, gada ampun full nanjak🥲 …"
alvian Pratama,5,2 hari lalu,Bagus banget jalu terpendek bisa tek tok
Tekek Alas,5,2 hari lalu,Tempat nyaman untuk camp ground
Febrina Anggri,5,6 hari lalu,"Kesini pas lagi angin kenceng, grimis.
Mampir di Mushola depan , airnya dingin banget, penjaga loket toilet sampai pakai tungku di kaki buat menghangatkan diri."
Wong Agung,5,seminggu lalu,suasana nya adem. bersih. jalan raya seperti di kota
dhanang wap,5,2 minggu lalu,"Cemoro sewu merupakan salah satu pintu masuk resmi menuju gunung lawu, diantar pintu masuk lainnya, cemoro sewu termasuk salah satu yang paling diminati dikalangan pendaki, dikarenakan jalur ini tergolong lebih cepat dibandingkan jalur yang …"
Irawan Tri,5,2 minggu lalu,Sangat bagus
Arfi April,5,2 minggu lalu,Dingin
Luqman Hakim,5,3 minggu lalu,joss
Amalia Yulianingsih,5,3 minggu lalu,"Setelah jalan dr telaga sarangan (naik motor) mw mampir kesini dikit lagi nyampe (kurang lebih dua kilo) tp karena habis hujan dan mungkin Krn sdh sore jam 4.30 cuaca nya dingin banget, tangan sdh mw beku 😅 kami memutuskan untuk turun, mungkin next time bisa ketempatnya yaa, pemandangan menuju kesana ok banget …"
Joko Sumartono,5,Diedit 3 minggu lalu,Asri dan alami ... udara sejuk
Romadhona Dwi Nur Wahyuni,5,3 minggu lalu,Pemandangan yang sangat indah
Dimas Hafidz,3,3 minggu lalu,"Ini sepertinya perlu ada yang mulai protes. Dengan biaya masuk 25.000 okey kami dengan senang hati bayar untuk masuk ke kawasan (milik negara yang dikelola daerah/perhutani/tahura/BUMD). Tapi yang saya tanyakan, dengan biaya 25.000 per 1 …"
Jefry Borneo,5,3 minggu lalu,Bagus
Ryanardian Reza,4,4 minggu lalu,Amazing
Ieiez Tya,5,sebulan lalu,Recomend kalau lagi suntuk di rumah langsung gas ke cemoro sewu udaranya sejuk plus pemandangannya buat mata puas...
Andrew Pratama,5,sebulan lalu,cobain deh lewat basecamp cemoro sewu
Desiyuning Fatimatuz Zuhroh,5,sebulan lalu,"Tempatnya bagus, banyak juga yang jual makanan"
Catur Kuncoro,5,sebulan lalu,Tujuan kalo pas kepanasan di rumah......... Ya CEMORO SEWU ✌✌✌
anwar syaif,5,sebulan lalu,"cantik, keren"
Ning Ning,4,sebulan lalu,Udara sejuk dan anak²paling suka petik strawberry
puji purwanto,5,sebulan lalu,"Menyenagkan dan sop terlaksana, hanya sekedar saran. Di kasih peta pendakian di setiap pos. Terima kasih"
Febri Cola,4,sebulan lalu,"Rute yang terjal kudu persiapan yang betul betul prima.
Tidak hanya fisik, mental juga harus prima.
Hujan, badai yang tidak bisa di prediksi kerap kali menambah dinginnya suhu. Ini …"
Fatimah Suseno,5,sebulan lalu,Tempat terfavorit untuk berlibur
Rizki Akbar,5,sebulan lalu,Puncak tertinggi dr sisi jatim
Fauzan Ayas,5,sebulan lalu,Suasana gunung yang menyenangkan
dwinur aisy,5,sebulan lalu,Sipppppp
Sadewa Lapar Buk,5,sebulan lalu,"Pengalaman mendaki dari Cemoro Sewu selalu berkesan. Staf basecamp-nya ramah-ramah dan proses registrasinya cepat dan teratur. Jalurnya memang terus menanjak, tapi bonus pemandangannya luar biasa indah, apalagi kalau sudah sampai di atas …"
Ariaji Krista_R (rojali_krista),5,sebulan lalu,Suasana yg sahdu
HAULAND N,5,sebulan lalu,Tempatnya menyenangkan
Abe outdoor,5,sebulan lalu,"Jalur terpendek gunung Lawu,mantep"
Anisa Nur.H,5,sebulan lalu,Spot alam yg begitu menenangkan dg kabut dan hawa dingin.
Agustinus Tri,5,sebulan lalu,Ok tempatnya
Arsen Ven,5,sebulan lalu,Banyak pengalaman seru
Dewa Jaya Laksono,5,sebulan lalu,"Basecamp Cemoro Sewu adalah salah satu titik awal pendakian Gunung Lawu yang paling populer, terletak di Magetan, Jawa Timur. Basecamp ini memiliki fasilitas yang cukup lengkap, seperti tempat parkir, toilet, mushola, dan warung makan.¹ ² ³ …"
iwan yulianto,5,2 bulan lalu,Pas dingin dinginnya
aii stay,5,2 bulan lalu,"mantaapppp, coba mental bgt"
Diah Ayu Naviani,5,2 bulan lalu,Cemoro Sewu punya vibe sejuk yang clean dan calming. Barisan cemara dan udara dinginnya bikin tempat ini cocok untuk foto-foto atau sekadar recharge energi.🌿 …
T Dmz,5,2 bulan lalu,Dingin pas hujan enk tempat sejuk
Puts Melia,5,2 bulan lalu,seruuu bangett pemandangan nya bagus tetapi sayang nya pas ak kesana cuacanya lagi kurang mendukung
wahyu prihatmanto (Mas_Wy),5,2 bulan lalu,Muncak Lawu with my boss
cipto suhartono,4,2 bulan lalu,lumayan bagus dan sejuk udaranya
Johari Wahyudhi / Joe James Bon,5,Diedit 2 bulan lalu,"Cerita berawal dari pendakian perdana 24 Desember tahun 1992, masih kelas 1 SMP. Karena minim informasi, secara gear ga masuk sama sekali. Bawa tas travel, jaket bahan jeans, sepatu ala kadar dan tidak bawa jas hujan. Turun dari kendaraan umum waktu itu Colt L300, langsung disambut hujan badai."
Rizka gangsar Priyanningrum,5,2 bulan lalu,Langitnya biru.
nurul afiyah,5,2 bulan lalu,Dingin🥶 …
insinyur tanpa gelar (Mr.Ir),5,2 bulan lalu,Di area ini sudah terasa dinginnya karena 1800MDPL
M Sidiq Ma'ruf,5,2 bulan lalu,sejuk
Lord Tuvaeel,5,2 bulan lalu,Gerbang Menuju puncak hargo dalem
Karlien Karduki,5,2 bulan lalu,Pengalaman yg mengasyikkan jalan berkelok2 naik turun dengan view hutan dan jurang nan indah adem..dan sering berkabut..seneng banget
mifta kj,3,2 bulan lalu,Tidak terawat dan kotor
Ipanipank Jaya,3,2 bulan lalu,Baru pertama kali ber kunjung tapi lumayan
cania s.,1,3 bulan lalu,"“tim evakuasi” sangat meremehkan penyakit saya, sudah minta dievakuasi tapi pihak bc menolak dan disuruh turun ke pos terdekat padahal jarak saya untuk sampe ke pos 2 jam dalam keadaan lemes, muntah2, dan kedinginan. sampe di pos terdekat …"
Apriyanti Sekarningrum,5,Diedit 3 bulan lalu,"Recomended

Cemoro Sewu, yang terletak di Magetan (Jawa Timur), adalah jalur pendakian …"
Alfin Oppo,1,3 bulan lalu,"orang bc nya baperan, ga sengaja jatuhin jas hujan aja dimarahin dikira nyinggung, katanya ga sopan lah, ga menghargai lah, cuma jas hujan lu masalahin pak pak"
deny wijayanto,5,3 bulan lalu,cantik dan keren
Agung Sofyan Darmadi,5,3 bulan lalu,"""Cemoro Sewu adalah destinasi yang benar-benar memukau dan wajib dikunjungi, terutama bagi pecinta alam dan mereka yang mencari ketenangan. Begitu tiba, udara sejuk khas pegunungan langsung menyambut, sangat menyegarkan dan bebas polusi. …"
darsono 0504,5,3 bulan lalu,tempat yg oke utk dikunjungi
Santaitrans Solo,5,3 bulan lalu,Uji myali uji kesehatan fisik...perlengkapan tinggal sewa semua tersedia
Gezanx Triadmaja,5,3 bulan lalu,tempat asik buat nongkrong
baktiyar qurtubi,4,3 bulan lalu,"Bagus, tp jalannya naik2"
Ina Kirana,5,3 bulan lalu,Keren
Supriyanto Huda,5,3 bulan lalu,Oke
Watashi wa Dayat,5,3 bulan lalu,"Basecamp yang nyaman untuk pendaki Gunung Lawu. Fasilitas cukup lengkap, ada tempat istirahat, warung makan, dan musala. Suasana sejuk dan ramah penduduknya. Cocok buat yang mau mulai pendakian dari sisi Magetan!"
Meilinda Fitria,5,3 bulan lalu,Track menuju puncak lawu sangat pedaaasssss
Adi 0426,4,3 bulan lalu,"Gassskan kawan² ku,,, moment yang tak pernah terulang 2 kali,,, persiapkan diri anda taklukkan treknya lewat cemoro Sewu, buktikan kamu kuat melewati tantangan nya."
Muhammad Fuad Mun'im,4,3 bulan lalu,"rute full bebatuan sampe puncak, di sarankan kondisi fit biar siap, registrasi tek tok di buka jam 1. lokasi pinggir jalan raya pas, kamar mandi bersih tapi base camp kecil dan kebersihan kurang, setiap pos ada warung tapi tidak pasti buka kalo week end."
Sony Dhirta Pratama 01,5,4 bulan lalu,Bagus
Alfian Bokhasvili,1,4 bulan lalu,"tidak rekomend, parkir mobil mahal 50k.
udah bc kecil, suruh parkir sendiri, keluar parkir ga ada yg ngarahin. blas ra masuk, ga sudi kesini lagi."
Aletha Nanda Hanifa,5,Diedit 4 bulan lalu,Basecamp sebelum tracking ke atas gunung Lawu
Muhammad Khosim,5,4 bulan lalu,tempat terdingin di karanganyar
Harry CooL,5,4 bulan lalu,"Maaf, tapi ini menyenangkan 😘 …"
