name,rating,date,text
litya tya,5,3 minggu lalu,Good experience dan good memory buat anak kecil. Buahnya banyak meskipun belum terlalu matang. Better kesini pas engga hari libur jadi bisa leluasa. Masuk gratis tapi harus bawa pulang minimal setengah kilo harganya kisaran 65k. Kalau hasil …
Putri Azizah,1,4 minggu lalu,"Setengah kilo 65rbu, pas masuk ga ada sisa stroberi sama sekali yang bisa d petik. Ttp harus bayar 65rbu dan dpt setengah kilo stroberi dr penjual stroberinya"
green Oceana,5,sebulan lalu,Tempat edukasi keluarga untuk petik buah. Merasakan strawberry langsung dari kebunnya. Lokasi indah sekali. Hanya karena berada di tepi jalan utama sehingga perlu waspada bagi pengunjung.
Ayu Dwi mutia,5,sebulan lalu,"Metik dikala hujan, seruu dan harganya set kg 65k 1kg 130k, gatau itu murah apa engga, cuman asikk ya kesenangan sendiri hehehe"
Nak 27,1,2 bulan lalu,Buahe ijo2 okeh simg bosok tidak memuskan
Hadit Fikri,5,4 bulan lalu,"Wisata ambil2 stroberi, parkirnya agak sulittt tapi"
Wulan Sari,4,4 bulan lalu,"Mahal tapi harganya,,,g boleh nyoba lagi,,,yasalam🤭 …"
Septi Fransiska,1,4 bulan lalu,"mohon maaf rating 1, penjual tidak jujur. bukan maksut menjatuhkan usaha orang tapi penjualnya keterlaluan sih menurutku. aku petik sekitar setengah kilo, trs kata penjualnya dikasih yg kecil2 buat bonus trs ditambahi lagi juga yg besar2 …"
Lilik Khazana,5,5 bulan lalu,"Anak anak suka banget, pengalaman seru."
Riska Cahya,1,6 bulan lalu,"Kecewa banget sma penjualnya ..
Udah gak ramahh seenaknya sendirii...
Buah udah busuk gak dibuang malah dicampur jadi satu sama yang dipetikk untuk …"
jeanjenabila,1,6 bulan lalu,"Mahal bgt ya allah
Katanya 1/2 65k
Tapi aku petik bbrp biji timbangannya gatau brp …"
Rizqi Amaliya,4,6 bulan lalu,"Area kebun luas, tetapi ada pemiliknya sendiri-sendiri.
Ukuran stroberi sedang, tidak besar & tidak terlalu kecil.
Kalau mau petik sendiri FREE. Hasilnya ditimbang. Bisa juga beli langsung. …"
Priyan didik,5,6 bulan lalu,Sipppppp
Ndud,4,Diedit 7 bulan lalu,Asik jg
Triyono,5,7 bulan lalu,"Tempatnya adem asri metik sendiri, recommended"
Opi Muhammad,5,8 bulan lalu,"Kebun di sini indah dan bagus, setiap perjalanan mau naik ke atas atau dari atas turun ke bawah melewati kebun ini"
Ayyash DAN,5,8 bulan lalu,Pengalaman bisa metik stroberi sendiri
Gorlami Sugiono,5,9 bulan lalu,"Datang kesini untuk ambil sample foto stroberi buat nggambar, eh malah hujan dan kena kabut. …"
Sulaiman Bin siono,5,9 bulan lalu,kebun strobery yg sangat bagus dan cocok banget untuk wisata petik buah strobery
joksin jogja,5,10 bulan lalu,Indah
Zendy Putra,1,setahun lalu,Dipertahankan untuk pelayanan penjualnya judes banget untuk stand yang paling kanan (berbatasan dengan bangunan)
salma san,3,setahun lalu,"Fresh langsung petik sendiri tapi buahnya sedikit, banyak yg dimakan hama (ulat, keong) juga"
ijal singo,4,setahun lalu,"Ke sini pas belum waktunya panen,rekomndasi salah satu tujuan jika  berkunjung ke sarangan atau tawang mangu, bisa petik strawberry segar di sini"
Mishbah Abdan Hanief,5,setahun lalu,65Rb/ setengah KG. Petik sendiri.. Waktu saya ksana sangat sedikit hasil metik nya karena susah. Nanti ditambahi lg yg udh dipanen supaya dapet minimal beratnya.
MUTAQIM TAQIM,5,setahun lalu,Mantapppppp
Glory Lie,5,setahun lalu,Metik sendiri... 🍓 …
Laras Indah,1,setahun lalu,Sayang sayang.
Wahyu Eko,5,setahun lalu,"masuk gratis, tapi lumayan buahnya banyak"
night furry,3,setahun lalu,Lumayan mahal untuk 1/2kg 60.000
Diara Kharen,5,setahun lalu,"Tempat favorit anakku, meskipun dia ga terlalu suka buahnyaa tapi suka metik- metiknya hihi
Sejuk, kalo pas musim full stroberi melimpah merah-merah jadi seru dan semangat metiknya"
Wahjoe Loekito,4,setahun lalu,"Buah Strawberry dilokasi ini rasanya tdk masam, jd nikmat untuk dikonsumsi langsung, juga tersedia berbagai ukuran, sehingga berbagai harga sesuai  ukuran strawberrynya, rekomended"
Muhammad Ali,5,setahun lalu,Tempat yang sejuk...ciri khas gunung lawu
SEWA ELF “TOUR & TRAVEL BOJONEGORO” BUS WISATA,2,setahun lalu,Tempat enak berada dinkawasan magetan deket telaga sarangan
karya bangsa,5,setahun lalu,Adem.. Tpi buah nya gak ada.
niken dwi wahyuni,4,setahun lalu,"Mantaapp,,,kebunnya luas bisa petik suka2. Harganya worth it, tapi klo mau yg ngak berpanas2an bisa lgsg beli didepan. Harga sama kok"
Bety Ayu Lestari,5,setahun lalu,"Kemarin ke sini pas lagi banyak buahnya. Masuk gratis, petik minimal setengah kilo. Rasanya seger manis. Mayan gede², kalau mau yang lebih gede lagi beli langsung di ibu² penjual deket kebun."
Oemar BGS,5,setahun lalu,"ada beberapa kebun, dan beda pedagang jadi pastikan dulu kebunnya yang mau dipetik yang mana baru transaksi jangan sampai dapat kebun yg buahnya sedikit. kalau untuk rasa strawberry khas disini ya pasti asem."
Murti Ningsih,3,setahun lalu,"Buah nya masih kecil kecil,"
Natasya,1,setahun lalu,"Parahhh, harganya mahal. Dapet buahnya jelek2. Aku beli di pedagang yg paling ujung dr arah bawah. Mau milih ga boleh, katanya nanti ambruk yg udah di tata. Trus kenapa di tata kalo ga dijual"
Andreas Nursery (Asong),1,setahun lalu,To expensive if compared with strawberry on Sarangan lake Market
Imam Setiawan,1,setahun lalu,"Tempat petik strobery yg ad dkt lokasi wisata sarangan,tulisannya petik sendiri buah stroberrynya  pas mau petik gk ad buahnya,bohong kita harus beli dpedagangnya dan harganya mahal tolong dperbaiki lagi baik dr pemuda dan petaninya ,karena …"
mast win,5,setahun lalu,Murah meriah
Cisna,5,setahun lalu,Luas. Anak saya happy metik strawberry. Minimal 1/2kg harga 30k. Tempatnya bersih jg. Sip.
Hari Yanto,5,setahun lalu,Cari pengalaman buat anak edukasi
DwiAri Setyadi,5,setahun lalu,Wisata Petik Strawberry Sarangan Magetan
Iis Waluyo,5,setahun lalu,"Stroberinya ada yg manis.. Kecut.. Nano²
Ada beberapa kebun stroberi beda owner spertinya
Perkilo 120k"
Azizah Nurrohmah,5,setahun lalu,Bagus sekali pemandangannya
Morning glory Flower,4,2 tahun lalu,Tempat parkir kurang nyaman
Rivanza Rivanza,4,2 tahun lalu,Juooss
Jumelan Alle,5,2 tahun lalu,Akhir pekan biasanya strawberry nya habis
Yuwan TV,5,2 tahun lalu,Asik buat liburan.petik sendiri bisa
Maman,1,2 tahun lalu,"Awas ketipu sama penjaganya, bener gak ada tiket masuk, ok gpp buahnya tinggal dikit jadi cuma bisa panen 2 biji, waktu mau beli langsung d tonjok beli 1kg, dengan harga 120rb, padahal d awal boleh beli 1 ons, udah gitu waktu pilih buahnya …"
Alpha Bagus Sunggono,5,2 tahun lalu,Mbeli strawberry di pinggirnya
Afika Khairunisa,5,2 tahun lalu,"Lebih seru ptik langsung, buahnya bagus pas musim panas, musim hujan dimakan keong buahnya"
Mas Andre,4,2 tahun lalu,"Seru sih, cuma stroberinya masih ijo ijo dan kouwecil kouwecil 😂😂😂 …"
heru dwi prasetyo,5,2 tahun lalu,Tawar aja kak kaya roti
Me Me,5,2 tahun lalu,Sayang sekali pas jarang ada buahnya ke sana
Apink Lucu,5,2 tahun lalu,Suasana nyaman bagus
Nurma Nada,4,2 tahun lalu,"Bagus parah view nya, cuman kesana pas sore hari udah mau tutup alhasil metik stroberinya tidak membuahkan hasil karena stroberi yg matang dah habis udah pada dipetik 😭 kebanyakan pada masih muda putih2 gitu dan pada busuk soalnya musim …"
Candra Pamungkas,5,2 tahun lalu,Recommended buat beli stroberi dari kebun nya langsung
Faziel Hammadi,1,2 tahun lalu,"Nggak worth it, kemahalan kalo cuma sekedar metik sendiri. 60ribu woy! Gak usah kesini ya para wisatawan."
Luhur Hertanto,5,2 tahun lalu,Seru buat opsi piknik anak-anak
Umma Ve,5,2 tahun lalu,"Kebun stroberi dan stroberi ditawang mangu emg ga ad obat manis ga asem beli 2,5kg ampe ga kerasa abis dicemil didlm mobil🤭saking enaknya.sumpah …"
