name,rating,date,text
Linda Handayani,5,2 hari lalu,"Sejuk dan nyaman. Pohon yang rindang dan hutan yang terjaga kelestariannya.
Toilet bersih."
Hanifah gunadi,4,4 hari lalu,"Di sini sejuk sekali segar, dino nya mirip, makanannya pun enak.
Hanya saja pengunjung bebas merokok jadi udara segarnya terkontaminasi :(
Semoga pengelola lebih tegas mencegah pengunjung yang merokok"
Daniel Christianto,1,seminggu lalu,"Tempatnya sekarang kotor banyak sampah
& Kurang terawat tidak sesuai ekspektasi"
Adelia Silvy,1,seminggu lalu,"Tidak sesuai ekspektasi dan pelayanan nya minus sekali bahkan makanan pun gaada yg ready cman cemilan n minuman aja, tiket masuk nya mahal pula🤦🏻‍♀️😵‍💫😵‍💫 …"
Arma 27 sportwear,1,seminggu lalu,"Tmpatnya adem dan sejuk, tp tiket masuknya lumayan mahal per orang"
reno sam,3,2 minggu lalu,"Mohon maaf saya rate bintang 3 dulu yaa,
masukan untuk pengurus bisa digiatkan maintenance sarana dan prasarananya. Saat kesana banyak sensor gerak dinosaurus yang rusak dan penataan kurang rapi."
MBOLLOPOZ 77,5,Diedit 2 minggu lalu,Sejuk dan cocok untuk liburan keluarga serta pasti senang untuk anak kecil
Nana Jepara,5,3 minggu lalu,"HTM 35 ribu weekdays tempatnya luas, asri,rindang banyak pohon besar,bisa explore naik jeep,ada replika dinosaurus yang bisa bergerak dan bersuara anak anak jadi suka,banyak juga kulinernya dengan harga yang masih ok."
arbayada Mitha,3,3 minggu lalu,"Sekarang tidak sebagus dulu, huhu.. Banyak dino² yang harusnya udah upgrade, lokasi sudah tidak dress seperti dulu.."
Akun Baru,1,3 minggu lalu,"Pesan kopi susu,teh anget dan pisang goreng isi 8 total Rp 48.000 dan tidak ada struk pembayaran
Harga tidak sewajarnya, wahana wisata pada rusak
Tempat wisata ini tambah parah"
Sefiyana Sefiyana,4,3 minggu lalu,Dijam2 tertentu ada atraksi dino nya dan juga ada live musicnya
Bisnis Sukses,1,4 minggu lalu,Untuk jalan pintu keluar tolonglah diperbaiki. Udah batu itupun tidak rata
Rey,1,4 minggu lalu,"Penitipan helm caranya ngga gitu juga kali, masa langsung diambilin helm2 ditaro kotak penitipan. Org mau plg liat motor kaget helm gaada smua dikira ilang.memang tertulis bayar seikhlasnya cmn caranya salah"
Febri Ariyanto,5,4 minggu lalu,"Kami sekeluarga menghabiskan waktu liburan Tahun Baru dengan berkunjung ke Mojosemi Forest Park. Meskipun jaraknya cukup jauh dari Surabaya, perjalanan terasa terbayar lunas setelah tiba di lokasi. Udara sejuk khas pegunungan dan suasana …"
