name,rating,date,text
Gacrex,5,seminggu lalu,"Spot Gacor, cek gelombang dlu klo ksni"
ibnu ichsan,5,2 minggu lalu,"Tempat wisata, healing, refreshing, yang asyik sejuk dan nyaman. Kalau sempet, bisa sekalian naik ke gunung kendil."
fuji astuti,5,2 minggu lalu,Sangat dingin.
Tukino Pakeadam,5,2 minggu lalu,namanya unik
Bayu Adi Perwito,2,3 minggu lalu,"HTM : free,,banyak infrastruktur yg rusak,banyak spot foto yg kurang,sangat kurang diperhatikan dan dikelola dengan baik"
jetho channel,5,3 minggu lalu,Tempat nya sejuk nyaman asri
Galih Aji,5,sebulan lalu,Tempatnya adem dan tidak terlalu ramai cuma kayak kurang terawat aja tempatnya
abdoel aziz,5,sebulan lalu,"Salah satu rekomendasi liburan keluarga
Tempatnya asri bersih dan sejuk, banyak fasilitas yang tersedia dan bisa dibilang masih sangat oke untuk dinikmati meskipun ada beberapa fasilitas yg sudah …"
Ferdianto Adi,5,2 bulan lalu,Alhamdulillah nyaman
Djawa Trans & Tour,5,2 bulan lalu,Udara dingin.
Venda Yanema,5,Diedit 2 bulan lalu,"Tenang dingin dan nyaman fasilitas lengkap, fiuw juga ok liburan,kegiatan outbond,LDK,maupun kepramukaan Ok"
Mauliawati Rohmah,5,3 bulan lalu,asri dan ena buat main. tapi mainnya lebih seru kalau agak siang soalnya kalau sore sepi dan suasananya agak mencekam
Mbah Warsi,5,3 bulan lalu,Tempat yg indah untuk rekreasi bersama keluarga
Mas Andre,5,4 bulan lalu,Keren 👌🏻 …
Kabar Timur Gunung,5,4 bulan lalu,"Cocok banget buat weekend, family trip, kid's fun. Ada playground, camping ground, cafetaria, suasanya yg alami, sejuk dan dingin khas pegunungan. View ke utara melihat puncak lawu, dan view ke selatan melihat puncak mongkrang. Hati2 kalau …"
Hari adi,5,5 bulan lalu,Mantab
Kus Diah Puspaningrum,5,5 bulan lalu,"Liburan kmrn camping di sini dan paginya ngajakin anak² summit di mt. Kendil.
Kakak² di basecamp ramah².
Kamar mandi di area camp dan taman bermain bersih dan air mengalir. …"
Taufiq Nur Hidayah,5,5 bulan lalu,bagus dan murah
tauvik andi,5,Diedit 5 bulan lalu,"Sangat direkomendasikan buat keluarga. Banyak jual makanan tempe mendoan, pisang goreng, nasi goreng, dll..."
Bandung Djatmiko,5,6 bulan lalu,"Daerahnya sejuk posisinya di bawah atau sebelah Timur sebelum naik menuju tempat wisata Telaga Sarangan, tepatnya setelah pasar sayur Plaosan lurus ke kanan sedikit ada traffic lights belok kiri dan turun tajam"
Bangkit,5,6 bulan lalu,"Cocok untuk segala kegiatan fasilitas lengkap, udah bolak balik acara kesini terus"
Rachmawati Galuh,5,6 bulan lalu,"wisata genilangit wisata yang bagus banget emang cocok kesini sama keluarga sih,seru ada ayunan dan spot fotonya bagus,ada kolam renangnya enak bisa renang sama adik😍😍 …"
djohn piero,5,6 bulan lalu,"Mampir kesini pas mudik...
Pagi hari..
Asri... …"
SEWA ELF “TOUR & TRAVEL BOJONEGORO” BUS WISATA,5,6 bulan lalu,Tempat wisata yg culup baik taman dan tempat camping
Kinan Magetan,5,6 bulan lalu,"Wisata alam dengan harga tiket terjangkau, termasuk murah sih. Ada outbond, hiking (fasilitas disediakan dengan harga murah). Tempat parkir luas, tempat wisatanya bersih, banyak kamar mandinya, ada mushola, kantin."
Aruming Tiyas,3,7 bulan lalu,"Waktu awal parkir ada toko tempat jual baju, souvenir dll waktu dideketin ternyata digembok. Padahal mau beli baju disitu. Kamar mandi deket toko airnya ga nyala. Wahana sepeda gantung, ayunan seperti sudah tidak layak. Tidak ada yg naik. …"
Boykier BDC,5,8 bulan lalu,"Bagus dan sejuk,bersih dan ramah di kantong"
Bianicle,5,9 bulan lalu,"Adeemmm, ke sana hari ini, sabtu. Jadi sepi dan nyaman buat sekedar duduk2 dan menikmati alam dengan udaranya yang sejuk. Banyak spot foto menarik dan ada playground+ kolam renang anak2.
Parkir mobil & motor luas. Htm 10rb /orang."
Bang Yos,5,Diedit 9 bulan lalu,Sejuk . Cocok untuk nyantai bersama keluarga
Sri Yaniku,5,9 bulan lalu,Tempatnya cocok untuk ngadem pikir
Saputra Harahap,5,9 bulan lalu,Destinasi yang sangat indah
Nunik Endang Sulistiowati,5,10 bulan lalu,"Tempat wisatanya worth it untuk sejenak rehat, makanannya murah dan enak, untuk sekelas tempat wisata harga makanannya terjangkau. …"
Bowo Ardianto,5,10 bulan lalu,"Destinasi wisata alam yang menyajikan pemandangan hutan dan pegunungan. Hawanya sejuk, adem, menyegarkan. Suasananya alami. Menghirup oksigen yang fresh, bersih jauh dari polusi. Banyak spot foto yang menarik. Istilah anak gen z : …"
RAHARTO Vlog,5,Diedit 11 bulan lalu,Mantap..Asri dan baguss bgtt... luar biasa
Mita Kookie,5,11 bulan lalu,"Ini merupakan taman yang asri dan udara yang sejuk. Begitu pula dengan pemandangan serta pengelolaan tempat wisata yang bagus
Ini sangat rekomen buat di kunjungi. …"
Zahroni Siti Muthmainnah,5,11 bulan lalu,"Cantik taman-tamannya, masuknya juga murah meriah"
Nono Parsono,5,setahun lalu,Cuaca dingin
Dino Priyono,5,setahun lalu,"Indahnya alam pegunungan, asri, sejuk dan alami"
Nike Agusningtiyas,5,setahun lalu,Tempatnya bagus. Hari minggu dtg sore jam 4 view nya cakep. Kabut mulai turun. Foto2 juga sepi jadi benar2 bisa menikmati tempat wisata dg baik.. Bisa foto dg sewa baju adat juga loo.. Cobain cuma 20k per baju. Dan fotonya per file cuma 5k
Yaya Syaufa,5,Diedit setahun lalu,Hari libur
Indriana Wulandari,5,Diedit setahun lalu,"Lokasi luas dengan banyak warkop, tempat duduk, dan spot foto

Dear pengelola, sepertinya beberapa kursi perlu dibenahi karna ada yg kayunya …"
Phe'y Anggoro,5,setahun lalu,TEMPAT YG BAGUS
