name,rating,date,text
Abdul Qodir Jailani,5,13 jam lalu,Makanannya enak stafnya ramah
Hanny Kesya,5,2 minggu lalu,Kami kesini 10 januari 2026 ketika hari libur namun sepi pengunjung dan sangatlah di rekomendasikan karena pemandangan ketika diperjalanan sampai coban sangatlah memanjakan mata. Untuk total parkir masuk 4 orang/ Rp80.000 termasuk dengan …
Miko&Leli,5,2 minggu lalu,"Tempatnya bagus bangett!!
Pemandangannya sangat adem, asri, dan sejuk sekalii☘️
Btw ini tempat firstdate kitaa🤗🤍 …"
"Lone wolf, introvert",4,2 minggu lalu,"Naik per 6 Januari 15 rb per orang, belum sama parkir.
Jalan nya licin bangat banyak lumut hati hati..
Aku saranin ke sini pakai motor karena kalau pakai mobil parkirnya jauh. …"
sandyyse_,5,3 minggu lalu,salah satu coban yang perlu tracking jauh
vina rynnn,5,3 minggu lalu,seruuu bgttt jalanyaa jugaa oke bgttt nexttt kesinii lagiiii🥹🫶🏻🫶🏻🫶🏻 …
rydh-one fauzy,5,3 minggu lalu,Pengelolaanya baik dan penjaganya ramah- ramah
Andrijan Mindjaja,4,Diedit 3 minggu lalu,"Cocok utk yg suka alam yg sedikit liar, utk orang muda yg fisiknya baik. Tidak cocok utk Orang yg berumur dgn body besar Krn jalan yg ditempuh cukup jauh n extrem dan paving berlumut n licin saat hujan, biarpun ada ojek yg bisa. …"
Dina Sari,5,3 minggu lalu,"Karena bawa mobil maka parkir di atas, bisa ngojek sih tapi aku milih jalan kaki,, ternyata capek yang terbayarkan, view bagus, alami, dan ada permainan anak2"
Elmi Aristia,5,sebulan lalu,"Bintanggg⭐️⭐️⭐️⭐️⭐️ (5/5)
Coban Pelangi ngajarin kalau keindahan alam nggak selalu kelihatan dari kamera. Begitu sampai dan ngelihat langsung, suasananya adem, tenang, dan bikin hati …"
Guntur Irawan,4,sebulan lalu,Pemandangan nya bgs bgt
Feerenza,5,sebulan lalu,"COBAN PELANGI, MALANG.
Buat kalian yang ingin mengunjungi air terjun yang sudah dimanage dengan baik, maka kalian bisa cobain ke sini. Berikut adalah reviewku : …"
syaiful rizal,3,sebulan lalu,"Lingkungan asri alami, pegangan tangga msh banyak yg rusak. Parkir motor lapang, parkir mobil kurang.
Tiket masuk = A. …"
Nur Hasanah,5,sebulan lalu,Bagusss..
Shinta Maulidya,5,sebulan lalu,"tempatnya syahdu sekali, jalan ke air terjunnya tidak jauh sekitar 15mnt jalan santai. jika membawa mobil harus jalan sangat jauh, tp tenang ada ojek harga 15-20k kalo tidak salah. ada playground jg jd cocok jika membawa anak2"
KucingBaik 67,5,sebulan lalu,"Asik tempatnya, fasilitasnya juga banyak memudahkan para pengunjung"
24 Nadzifah Amira,5,sebulan lalu,"The view is very beautiful. The atmosphere is also cool. It's suitable for you to vacation when you're bored. The place is also suitable for photos. I've been here once and want to come again. But if you come here, don't come during the rainy season because it is very dangerous."
andik st,5,sebulan lalu,Destinasi wisata di wilayah gubuk klakah
Abdul Halim,5,sebulan lalu,Pemandangan yg sangat indah ada ojeknya jadi gk capek
sylvianita Widyawati,5,2 bulan lalu,Coban Pelangi sangat indah. Treknya cocok kok buat manula. Masih aman. Datang kesana sebaiknya jangan terlalu siang. Apalagi sekarang musim hujan.
Caroline Jørgensen,5,2 bulan lalu,"Beautiful waterfall, easy access with a clear path (maybe 3-400 m). You can also get a scooter most of the way with a little walk the last bit (maybe 100 m). Nice people are hanging out and working at the entrance. Nice area before the waterfall with a garden and playground and people camping. Would recommend."
ulfa mareta,5,2 bulan lalu,"Akses k air terjun mudah dan aman
Jalan kaki hanya 15 menit dri parkiran motor"
Titania Elytra Yalanti,5,2 bulan lalu,"Bagi yang suka alam tapi newbie seperti saya, Coban Pelangi ini sangat indah dan recommended!
👣 Jalur menuju air terjunnya cenderung aman, gak curam, dan pastinya refreshing …"
pipitt cantikk,5,2 bulan lalu,"first trip kitaaa maen ke curuggg,capeeee tp senengg,next kl kesanaaaa lg pgn maen aeeer sepuasnyaaa🥹🫰🏻 …"
awaludin wahyu,5,2 bulan lalu,Mantab banget
Aulia Wati,5,2 bulan lalu,"bagus, saya terburu²"
Athallah Muhammad Zaidan,5,2 bulan lalu,"Akses motor sudah mudah sampe turun, ada warung dan playground, juga arena camp dan river tubing, akses ke air tejun juga aman"
Cindy Febrianti,5,Diedit 3 bulan lalu,"adaa playground,track nya gmpangg,turun dikit lgsung nyampeee,minusnya jalur motornya tikungannya tajem😭,ada warung sm musholla jugaa
tp over all 9/10 …"
Rezky Hasan,5,3 bulan lalu,Air terjun pelangi merupakan yang layak dikunjungi karena benar benar real indah dan segar sesuai namanya ada pelangi yang selalu muncul jika terkena sinar matahari
-%%%%%%%%%%%%%%,5,3 bulan lalu,gunakan perawatan wajah guna dan menjual produk yang paling sering ditemukan dan benar sesuai keinginan yang maksimal dan benar yang dikatakan orang lain yang baik untuk itu untuk membatalkan wudhu adalah yang baik dan menjual barang baik …
Kin Aozora,3,3 bulan lalu,bagus ngi
Fan,5,3 bulan lalu,On the way back from our Bromo tour we were able to stop at this place. The walk downhill to the waterfall takes about 20-30 minutes and is mostly downhill. The waterfall is beautiful and has a rainbow in it when the sun is directly shining …
Hanum Dini maulina,5,3 bulan lalu,"Wkwk datang cantik pulang burik, basah kyk habis renang, tapi sukaa😘😘😘 …"
Andi Kristiawan,4,4 bulan lalu,"Utamakan kondisi kendaraan prima, minimal sistem pengereman, karena akses ke air terjun turunan."
Rifki bagus Asmoro,5,4 bulan lalu,"Berkunjung di hari minggu, suasana penguncung cukup sepi, parkiran mobil di sebelah jalan raya sedang kan motor bisa turun mendekati area air terjun.
Setelah membayar tiket anda harus jalan sekitar 20 menit dg jalan beton yg bagus …"
Christina Kukasch,5,4 bulan lalu,"Air terjun ini merupakan bagian dari perjalanan sehari ke Gunung Bromo. Sungguh menakjubkan berjalan menyusuri jalan setapak menembus hutan kecil menuju air terjun, lalu menyaksikannya di ujung, dengan segala ukuran dan kekuatannya."
