name,rating,date,text
kira,5,sebulan lalu,"Datang ke sini waktu weekend lumayan ramai, tapi dari siang ke sore sudah mulai sepi. Tempatnya rapi dan bersih, banyak penunjuk jalan dan papan keterangan, serta akses ke air terjunnya juga mudah. Selain itu banyak warung makanan juga. …"
yohanes haryadi,5,2 minggu lalu,"Salah satu tujuan wisata di daerah batu, skr sdh banyak akomodasi disana seperti bobo cabin dan kanana..tempat nya lebih tertata rapi dan banyak spot parkir...
Kalau menginap di kanana maka free masuk ke spot air terjun nya.."
Annisa Ushsholihak,5,3 minggu lalu,"Ke sini pas weekday di hari senin pagi, dan habis hujan hahaha jadi beneran sepiiiii. Trus karena habis hujan tuh bikin suasananya lebih sejukkk dan segerrr banget. Cuma kalo habis hujan harus hati-hati kalau mijak di bebatuannya karena …"
Wiwin 088,5,sebulan lalu,"Air terjunnya tidak jauh dari tempat parkir, tiket masuk 25 rb/orang dan parkir 10 rb. Menuju ke tempat parkir dari pos tiket lumayan agak jauh, banyak tenda tenda di area tertentu. …"
Dee,5,Diedit sebulan lalu,"Salah tempat wisata di Batu Malang.

Karena kami berkunjungnya Jumat siang, jadi tidak terlalu ramai. Tiket masuknya …"
Tutiek D Minantie,4,seminggu lalu,"Maksud hati pengen ke coban Talun, salah pesan gocar malah ke coban rondo. Datang hari sabtu. Ternyata mau gocarnya antar sampai dalam. Weekend 3org+mobil gocar kena 115rb tiket terusan katanya. Didalam jalan cm 100meter datar ketemu air …"
Raden Sanjaya Kediri,5,sebulan lalu,"Coban Rondo juga dikenal dengan keindahan alamnya yang asri dan udara sejuk khas daerah pertanian.
Ada juga penginapan yang berupa glamping ada juga tempat buat berkemah. …"
Venny Aprilia,5,2 bulan lalu,"Wisata alam yg berada di Pujon Malang
Tempat nya indah , sejuk , bersih , nyaman
Air terjun nya sangat deras jd tdk diperbolehkan untuk turun sampai ke bawah krn …"
Axelle Xavier,5,sebulan lalu,"Air terjunnya bagus banget, dekat dengan parkiran, jadi nggak jalan jauh, saran saja kalau kesini bawa payung/jas hujan/topi boleh juga jaket, kebetulan hujan rintik, sehingga anginnya kencang dan dingin."
Miftahul Arif,5,2 bulan lalu,"Masya الله, the waterfall is truly beautiful, and the surrounding environment is well-preserved with lush greenery and natural charm. The last time I visited was more than 20 years ago, yet now it still looks pristine, well-maintained, and …"
Wendrari Adventurous,5,2 bulan lalu,Tiket masuk 25 ribu. Dari pintu masuk tidak terlalu jauh. Sampai parkiran ke air terjun hanya 100 meter. Jalannya mudah. Air terjunnya sangat tinggi masya Allah🤲 …
Muhammad Rafli,5,4 bulan lalu,"Terakhir kesini thn 2011 an. Sudah 14 tahun yg lalu. Banyak perubahan di air terjun nya. Dulu masih bisa mandi di air terjun. Sekarang sudah tdk bisa. Tempatnya nyaman, sejuk, tapi tolong buat para pengunjung agar menjaga kebersihannya. …"
De,3,2 bulan lalu,"Tiket masuk per orang 25, parkir motor 5k.

Ketika aku ke sini, kondisinya mungkin bisa dikatakan 85% terawat. Beberapa …"
Joni P,5,5 bulan lalu,"Kedua kali kesini,terakhir sekitar th 2013 an,skrg kesini lg dg org istimiwa yaitu istri. Tdk jauh berubah,suasana tetap sama sejuk dingin asri dan ada bbrpa perubahan di tempat menuju air terjun nya. Suka sekali,smoga bisa kesini lg 😍 …"
ajeng anggella,5,sebulan lalu,"Wisata alam yang tenang nyaman dan pemandangan luar biasa. Cocok untuk menenangkan diri, ga bisa langsung berenang di bawah air terjun tapi bisa main air di aliran sungainya, tempat bilas dan kamar mandi disediakan cukup banyak dengan …"
rima nareswari,4,4 bulan lalu,HTM 40k utk weekend dpt tiket terusan 3 wahana.. jarak track dari parkiran deket banget. Toilet ok. Ada gazebo.. salah satu tempat wisata masuk dalam list econique. 👌 …
Lina Sari,5,5 bulan lalu,Wisata air terjun di kota Batu Malang Jawa Timur. Tiket masuk per orang 45 ribu. Dari gerbang masuk masih jauh jaraknya. Taman tertata rapi dan masih banyak monyet2 berkeliaran disekitar tempat parkir. Ada beberapa warung penjual makanan …
yusrin nasrillah,4,5 bulan lalu,"Tempatnya nyaman dan bersih sebenernya, cuman sayang ditempat wisata alam maunya hirup udara segar tapi banyak yang ngerokok. Tempat wisata ini juga tidak ada rambu larangan merokok. Jadi ya.. mau gimana lagi, tapi overall tempat ini …"
Novia denis Mahdalena,5,4 bulan lalu,"Wisata air terjun yang ramah untuk segala usia karna jalan kaki tidak jauh dari parkiran menuju air terjunnya,,, di perjalanan kita disuguhi pemandangan yang indah, ada taman labirin dan permainan lain yang membuat anak2 betah"
cel,5,3 minggu lalu,"htm nya 25k per orang, banyak monyetnya😭😭😭😭 …"
J. Bijsterbosch,3,6 bulan lalu,"Coban Rondo Waterfall in Pujon, Malang, was a mixed experience. The waterfall itself was pleasant but felt more like a tourist attraction than a natural marvel. …"
Lina Miftahul Jannah,5,7 bulan lalu,"pertama ke coban rondo tahun 1994. kembali setelah 31 tahun sangat membaik aksesnya. bersih dan cukup nyaman. ada beragam fasilitas toilet, musholla, dan ruang menyusui. Ticket 35 rb per orang sdh dapat utk permainan panah dan masuk labirin juga. berhubung anak2 sy sdh besar, maka saya hanya fokus di air terjun saja."
yayan arifin,4,6 bulan lalu,"Selain air terjun, ada banyak wahana: Taman Labirin, ATV, flying fox, paintball, panahan, tubing, berkuda  . …"
Prasetya Natalia,5,4 minggu lalu,"Fasilitas lengkap. Cocok buat liburan. Air terjun nya indah banget
Cobain sate kelinci kalo kesini."
Abiyyu Raihan Putra Wikanto,5,9 bulan lalu,"Air terjun di Batu dengan taman hijau yang asri ‼️🏞️🌲😱

Tempatnya lumayan jauh dari gerbang meski menggunakan mobil untuk datang kesini, …"
