name,rating,date,text
Cacaca,5,5 jam lalu,Beberapa kali kesini dan lumayan untuk refreshing.. tempatnya luas dan sejuk
frans gonti,5,1 hari lalu,Suasananya nyaman dan sejuk
Baron Goris,5,seminggu lalu,Bagus ...bnager
Sondag Stefanus,5,Diedit seminggu lalu,Tempat yang bagus untuk penyembuhan. Sejuk dan nyaman.
Nadiah Diani,5,2 minggu lalu,"konsep dari desa wisata ini adalah pemberdayaan masyarakat lokal, ini terasa dari awal, setelah parkir terus menuju tiketing seharga 15/orang dan akan dikasih tiket gelang buat dipake dan terdapat voucher untuk pembelian nanti ketika beli …"
Anna Octavia,5,4 minggu lalu,"Tempat nya sejuk.
Banyak spot foto.
Si kecil betah disini 🤣 HTM juga terjangkau …"
Shazwi Razak,5,4 minggu lalu,Sama seperti Cameron Highland Terbaik
Ria Rohmawati,5,sebulan lalu,"Tiga kali ke sini. Terus berbenah. Pemandangan addicted, suasana tenang, cucok buat yg penat dg hiruk pikuk kota & kerja. Makanan enak & harga standar. Pelayanan ramah."
Ummi Lilik,5,sebulan lalu,"Bagus pemandangan
Cocok buat rekreasi bersama keluarga tercinta"
Soraya Ocktavia,5,sebulan lalu,Kesini pas baru sampai sudah hujan jadi belum sempat mengeksplor banyak
budinurtjahjo66 Nurtjahjo66,4,sebulan lalu,"Lokasinya Jauh dari jalan raya pujon, terlihat sepi, rasa masakannya standart tapi harganya bikin kaget"
Arfandi Sutendy,4,sebulan lalu,Pemandangan yg bagus untuk bersantai
PARADISO JATIM,4,Diedit sebulan lalu,"Desa wisata yang di kelola baik sayang ada penurunan pengunjung, harus di tingkatkan lagi terutama kafe sawah kalau bisa di usahakan budget yang lebih bersahabat untuk group wisata. agar kembali ramai pengunjungnya."
Soleh Sugianto,5,2 bulan lalu,Parkir Luas
JQW Smartrader,5,2 bulan lalu,"Udara sejuk, pemandangan indah sepanjang mata memandang, lingkungan bersih."
Supri Ono,5,3 bulan lalu,Sangat indah
Quincy Nicholas,5,3 bulan lalu,Mayan tp tmbh sepi skrng
Rahma W,5,3 bulan lalu,Seru bareng keluarga
Dwi Paitusta,4,3 bulan lalu,Paling adem liat pertanianya
vikes BTS,5,4 bulan lalu,"Di sini semua makanan murah,oleh"" seperti strawberry,alpukat juga murah, tempatnya bersih,asri dan pemandangan indah"
oki chandra nagara,5,4 bulan lalu,Menarik banyak sayurannya dan murah murah..
Titien N.,4,4 bulan lalu,"Pemandangannya menakjubkan... suara mesinnya cukup mengganggu. Ya, penggemar quad, ATV, dan motor lainnya pasti akan senang di sana... Saya datang untuk Café Sawah... Tapi pemandangannya, pegunungannya... wow!!"
Tinantiar,5,5 bulan lalu,"- view pegunungannya dapet banget, udara sangat sejuk 😊
- tempat wisata tertata rapi, sangat menghibur. cocok buat refreshing 👍😊
- menu makanan di Cafe Sawah nya menu jawa (nasi jagung, nasi putih, urap-urap, …"
Ichsan Luqmana,5,5 bulan lalu,"Nyaman, asri, adem...penar hilang seketika"
