name,rating,date,text
Handy B,5,5 hari lalu,Tmpt yg penuh perjuangan saat kesini namun percaya semua lelah itu setimpal dg keindahan nya
Albert Lim,5,seminggu lalu,Beautiful beach with easy access from the local office. Cheap scuba rent. Recommended
Lord Hendrik,5,4 minggu lalu,Mantab bintang 5.
Syahri Honorofking,5,sebulan lalu,Ada yg tahu CP nya sewa tenda di pantai 3 warna kah?
HERI PURNOMO,5,sebulan lalu,Pantai paling bersih yang ada di Kabupaten Malang terletak di desa sumbermanjing Wetan tepatnya di sebelah Pantai Sendang Biru yang harus reservasi sebelum datang ke sana dan harus ditemani oleh pemandu karena lokasinya melalui perkebunan masyarakat
rizal dwi permadi,5,sebulan lalu,Boleh ngecame di sana.?
Joko Irawan,5,2 bulan lalu,Cantik banget....
Wage Yanto,3,2 bulan lalu,3 warnanya dimana? Kebanyakan biaya. Guide 150 belum naik perahu Krn jalan dari pos 2 ke 3 warna jauh. Wisata bisnis parkir motor 8 RB. Mobil 12 RB. Semua pantai sama lah
Yurika Aprilia,5,3 bulan lalu,"Baru pertama kali ke sini ternyata bagus tempatnya masih asri, ga nyesel walaupun jalannya cukup jauh. Disana juga ada warung yg harganya terjangkau,, tapi memang harus pakai tourguide kalo kesana karna masih area konservasi"
Wahyu Dwipayana,5,3 bulan lalu,"Pantai Tiga Warna benar-benar menakjubkan! 🏖️ Air lautnya jernih dengan gradasi tiga warna yang indah — biru, hijau, dan toska 🌊. Suasananya masih alami, tenang, dan bersih tanpa sampah 🌿. Cocok banget untuk snorkeling, menikmati keindahan …"
Defi Paramita,5,3 bulan lalu,"Pantai nya tenang bisa untuk berenang ataupun snorkling. Akses jalan mudah, dari loket ke pantai butuh jalan kaki sebentar."
achmed anggriawan indrapraja,5,4 bulan lalu,Cocok untuk bersemedi
Jihan Rizka,5,4 bulan lalu,"Pemandangan yang sangat indah dan memanjakan mata, sayang sekali melewatkan kesempatan untuk diving. Eksplore keindahan Alam Indonesia tidak akan mengecewakan 🌊🦀🫧 …"
Joo Imaduddine,1,4 bulan lalu,"Minggu lalu mau liburan kesini ga bisa. Berhenti deket pos katanya harus reservasi dulu. Tanya ke suami katanya bayarnya sekitar 100an per orang. Akhirnya mutusin buat gajadi, akses kebawah (menuju pantai) juga kek curam, diantar guidenya …"
Abimanyu Danu,1,4 bulan lalu,"emang landscape dan geografisnya pantai ini bagus bgt, well-built juga ada gazebo, warung, properti foto seperti terlampir. …"
katon widodo,5,5 bulan lalu,Nice beach
Anne-Sofie Benoit-Hébert,1,5 bulan lalu,We are very disappointed. Pantai Tiga Warna Beach is full of trash on the beach and in the water. It is difficult to swim without touching trash. The guided tour is not worth the trip or the price.
April Wualndari,5,5 bulan lalu,"⭐️⭐️⭐️⭐️⭐️
Pantai 3 Warna cakep banget! Airnya ada tiga warna, keren buat snorkeling. Trekking 30 menit, tapi pemandangannya worth it. Tempat bersih, murah, dan cocok buat healing. Recommended!"
yuni awwalur,5,6 bulan lalu,"pantainya landai, pasirnya lembut dan halus, ombaknya juga tidak terlalu besar, cocok unt bermain air bersama keluarga ....
3x kami kesana"
Strattos,5,6 bulan lalu,"Pantai yang dikelola dengan cukup baik. sebelum ke pantai, harus ke pos 1 dulu untuk pembelian tiket (10 ribu per orang) dan  pengarahan oleh pengelola (semua barang akan dilist dan semua sampahnya wajib dibawa kembali). …"
zaim muhammad,1,7 bulan lalu,Kalo mau ke sana gmn cara ny apa hrs boking dlu
Ayai,4,Diedit 7 bulan lalu,"Belum sempat masuk ke area pantainya. Hanya mengantar tamu ke sana.
Jadi saya akan coba mereview dari sudut pandang saya pribadi tentang area parkir mobil serta fasilitas apa saja yang disediakan di sana. …"
Ravi Fahsa,4,8 bulan lalu,"Originally en route to Teluk Asmara, we were redirected by a local driver to Pantai Tiga Warna—a hidden gem tucked within a conservation area. Access is limited to preserve the ecosystem, so advance reservation is highly recommended; we …"
Kharisma Indah Safira,5,8 bulan lalu,"Pantai yang indah , private , ada guide 120k apa lupa buat 10 orang warnanya biru ombaknya cukup tenang sepoy ,, jalan dulu 1 jam an , guide nya seruu"
Arif Mansyuri,5,8 bulan lalu,"Pantai Di selatan pulau Jawa Yang Berada Di kabupaten Malang Selatan...
Untuk Akses Masih Dalam tahap pembangunan.
Kemarin dari Jombang Ke Lokasi/Pantai Tiga Warna Berangkat Jam 3 Sampai Lokasi …"
Yovi Tri wulandari,5,8 bulan lalu,"Bagus, pantai pasir putih nya halus. Ingat ya kl kesini sampah harus dibawa pulang"
ANEKA TRANSINDO,4,8 bulan lalu,Biasa saja tak seindah dulu
Irfan Mahfudzi,3,Diedit 9 bulan lalu,Good place
Anna Suryani,4,9 bulan lalu,👍🏻👍🏻👍🏻👍🏻 …
Joedo Ichwandono,5,10 bulan lalu,"Pantai dengan deburan ombak sedang, pemandangan indah ke lautan dan pulau Sempu... Ditambah gugusan beberapa pulau karang. Jumlah pengunjung yang dibatasi 100 orang  tiap hari dan pembagian jam kedatangan per 2 jam, dengan tujuan untuk …"
Rizky Saputra,5,10 bulan lalu,Mohon informasikan cara reservasi nya dong
Widya Prajna,5,setahun lalu,"Salah satu pantai terindah di selatan Malang.

Jarak dari Kota Malang yang lumayan jauh sekitar 70km, dapat ditempuh …"
Aquillah Yasenda,4,Diedit setahun lalu,"Karena pantai ini termasuk dalam wilayah konservasi, maka ada beberapa peraturan.
- sebelum kesini pastikan harus reservasi terlebih dahulu, karena ada batas …"
Nanda Riko,5,setahun lalu,Bagus
Bilqis tourtravel,5,setahun lalu,Pantai yg sangat indah di kota malang
Indra Nawayites,5,setahun lalu,"Pantai yg memiliki konsep lain dari pantai² yg lain. Dengan mengontrol sampah dan jumlah pengunjung
Apalagi ada guide yg berkalung asbak untuk mengontrol puntung rokok pengunjung …"
Bas Kopi,5,setahun lalu,Petualangan seru di pantai dan hutan manggrov.
Kelik bramanto,4,setahun lalu,Baguss
Mas Yayan,5,setahun lalu,Tempatnya bagus sayang kemarin pas hari minggu lagi surut
Ayu Umairoh,5,setahun lalu,"Pantainya bersih, Jalannya emang agak effort ya tapi the view is amazing si.. wajib banget menjadi salah satu wist list liburan..local guidenya juga ramah,,meskipun waktu di Pantai Gatra ditinggal balik tanpa ngomong yaa😂…harus banget ke sini karena ada aktivitas air yang seru🌊🌊 …"
didik waskito,5,setahun lalu,"Pengalaman 1 snorkeling disini, luar biasa indah...harus dicoba lagi nh tempat"
Maimun Najib,5,setahun lalu,mantul 👍🏻 …
Anda Langit,1,setahun lalu,"Tidak sesuai harga, total tiket dan guide terlalu mahal tidak sesuai kebersihan dan pemandangan pantai. …"
Tutikkk Tuttt,5,setahun lalu,seperti nya bagus sekali bikin penasaran
Zendhi Saputra,2,setahun lalu,"Hari jumat tgl 28 juni 2024 mengawali kunjungan ke CMC tiga warna. Pertama trip sampai pos 1 konfirmasi booking, karna kalau ke pantai 3 warna harus booking dulu. Ini batas parkir mobil, parkir motor bisa masuk ke pos 2 proses pembayaran …"
Iwan Cahyono,1,setahun lalu,Sangat indah
Hany Kristian Prabowo,1,setahun lalu,"Pihak CMC tidak professional,

Sudah Booking H-7 untuk visit, tetapi: …"
Devana R.A,4,Diedit setahun lalu,"view gausah diraguin lagi ini cakep banget, airnya biruuu bersih dan terjaga. minusnya track masuk ke wisatanya lumayan jauhh dan harus booking+pake guide."
iqbal nurullah,5,setahun lalu,"Salah satu pantai terbaik di malang selatan
Pasir putih dan halus, air jernih dg gradasi warna yg menakjubkan"
dwi pa,5,setahun lalu,"Pantainya keren, bersih, masih sangat terjaga 👍 …"
xavier natalia,1,setahun lalu,"setelah liburan ke pantai 3 warna terkait kebersihan pantai buruk,biaya guide mahal (mahal karena cuma nganter jalan saja, tanpa nilai tambah gak worth it) bisalah dipangkas biayanya sama pengelola dengan memasang petunjuk arah yang ingin …"
Muhammad Alfarizi,4,Diedit setahun lalu,Pantai Tiga Warna berada di kawasan Clungup Mangrove Conservation. Jalannya sangat jauh tetapi sekarang dapat diminimalisir dengan memanfaatkan perahu dan ojek. Di kawasan ini kami dapat mengesplore beberapa pantai dan mangrove. Salah …
Khanaya Nayaa,5,setahun lalu,bagus keren mantap
Обучение для главбухов,3,setahun lalu,Pantainya menjijikkan. Kantong plastik dan botol berserakan di mana-mana. Airnya kotor dan tidak ada yang membersihkannya.
Dewi Novita Rachmayani,5,setahun lalu,"Pantai baguss, terjaga kebersihannya
Tour guide ramah, perjalanannya bener bener jauh buat aku yg gk pernah jalan kaki hehehe …"
Noor Asmara R,3,setahun lalu,"Barusan kami liburan ke pantai 3 warna, apa yang kami ekspektasikan terkait kebersihan pantai tercoreng, karena ketika kami ingin mengambil dokumentasi kami tidak bisa maksimal karena banyak sampahnya ... tolong bagian terkait segera di …"
Zainul Arifin S8,5,setahun lalu,Mantab
Nadiya Amelia Putri Hariyanti,5,setahun lalu,Belom pernah kesana😂 …
eka Yuliana,1,setahun lalu,Guide gak ramah..ditanya baik2 malah bentak..bagus sch pantainya
Farisian,5,setahun lalu,"Pantainya bersih, kesana pas lagi musin panas kemaren jadi pemandangannya bagus banget. Ke pantainya ada dua jalur dari sendang biru ataupun pantai gatra juga bisa. Kalau dari gatra jalan kaki sekitar 1 km tapi bisa juga nyewa kendaraan …"
Waskitho Wee,5,setahun lalu,"Cantik, warna air lautnya biru jernih. Gradasi warnanya keliatan apik, mungkin karena itu dinamain tiga warna. Gak rugi trekking jauh ke sini (sekitar hampir 2km)"
