name,rating,date,text
Naufal Al fahri,5,4 jam lalu,Bgus
muhammed uji,5,seminggu lalu,Untuk swastika
Alifta Yahya,5,2 minggu lalu,reallyyy nice view!!
Wahyu Siahaan,5,2 minggu lalu,"Bagus, viewnya tenang"
Fatamorgana,5,3 minggu lalu,"Pantainya indah, bersih & nyaman cocok buat liburan beserta keluarga. untuk anak² kecil mungkin lebih cocok mainan air dekat jembatan wisata Balekambang airnya lebih tenang & pantai nya agak landai.. …"
Putra Pribumi,1,3 minggu lalu,Untuk mobil modif RENDAH harus pikir ulang masuk kesini...jalan rusak parah ...
roful watik,5,3 minggu lalu,"Alkhamdulillah libur nataru yg menyenaangkan di balekambang, tempat nya asri bersih, toilet dan mushola aman, petugas ready 24 jam lagi...pokok nya recommended👌 …"
Novie Snoopy,4,4 minggu lalu,Pas kesana pas ramai banget
Wahyu Tri Ananda,4,4 minggu lalu,"Salah satu pantai paling populer di Kabupaten Malang dengan daya tarik utama berupa pura di pulau di tengah laut. Selain itu, pantai ini juga sangat luas dengan berbagai fasilitas wisata yang cukup lengkap dan baik. Meski demikian …"
Andra Ramadhan Putra,1,4 minggu lalu,"Pantainya kotor, banyak sampah berserakan. Ditambah bukan suara ombak yang terdengar malah truk pembawa sound system di kanan kiri dibiarkan begitu saja. Not recommended."
Agung Khuluq,4,sebulan lalu,Pantai yang ramai pengunjung saat liburan di Malang selatan. Pasir putih dan ombak yang tidak terlalu besar. Makanan dan minuman disini juga harganya juga wajar. Ada pura di tepi pantai yg bisa diakses melalui jembatan oleh pengunjung.
Nain Rain,5,sebulan lalu,Bagus alas semesta yg indah
Rickynizam Rickynizam,5,sebulan lalu,Pas tahun baru rame banget
Nurul Qomariyah,5,sebulan lalu,setiap th kesini karena seindah itu pantai nya
jeny nurika,5,sebulan lalu,"Pantainya bersih, ombak lumayan besar"
North Usa,5,sebulan lalu,"Amazing view, higher tide when afternoon come, I mostly recommend you to visit in sunny day, plastic trash everywhere and that's not okay for this beautiful beach"
Sendy Wardhana,5,sebulan lalu,"Pantai yang bagus, akses jalan mungkin sudah bagus juga"
Keno Daniel,5,sebulan lalu,Alhamdulilah pantai nya bagus bersih
rizal dwi permadi,5,sebulan lalu,Boleh ngecame di sana.?
D Ded 93,5,2 bulan lalu,"Bersih dan ramai
Hargai dan sopan santun ya gaes ada pure"
