name,rating,date,text
Bj Cell,5,20 jam lalu,pantai paling wort it
sri Wahyuni,5,3 hari lalu,Jasa proyek
Andri anto,5,2 minggu lalu,Pantainya cukup berombak. Tidak boleh mandi di pantai ini. Sering mengadakan event juga di sini. Lokasinya berada di wilayah Malang Selatan. Saat ini sudah tidak seramai dulu karena sudah banyak pantai lain yang dibuka. Ada penginapan juga dan banyak penjual di sini.
ukie rampage,5,2 minggu lalu,"Pantai dng udara yg segar n alami, kesejukan n keindahan sangatlah memanjakan mata n suasana yg begitu syahdu"
Helmi Gufran,5,Diedit 3 minggu lalu,Mantap/sangat bagus
Safira Rahmafitria,5,3 minggu lalu,"Masyaallah Indah banget, pasirnya putih, Dan banyak spot² foto yang bagus. Cocok yang mau healing bareng keluarga atau teman-teman. Jangan lupa nanti ke Teluk Putri juga yaa guys, gak kalah bagus view-nya 🫶🏻 …"
wanus suryanto,5,3 minggu lalu,Bersih dan nyaman pemandangan segar dan indah
Talita Azizah,5,3 minggu lalu,"Pantai nya bersihhh, bagus banget pokoknya. cuma sayang aku dateng pas lagi hujan"
Agus Djava,5,3 minggu lalu,Bersih dan nyaman. Akses dari wlingi jalan bagus.. kalau lewat bantur agak rusak jalanya..
Lisa H.K,5,3 minggu lalu,"It was so pretty and full of happiness 💕✨️
Kesana hari minggu, dimana hari sabtunya ada issue buaya di pantai ngliyep. Memang pilih pantai itu krn pasti lebih sepi setelah issue itu. Bener aja pengunjung …"
nuruddin fauzan,5,sebulan lalu,Pantai nya lumayan bersih dan bisa untuk berkemah
Dicky Setyawan,5,sebulan lalu,"dua hari ke pantai Ngliyep, hari pertama dan pertama kali ke pantai Ngliyep menikmati keindahan pantai Ngliyep :D walaupun agak ada sampah2 di pantai padahal sudah ada tempat sampah nya disana :( , ada banyak spot disana, memancing jg ada …"
