name,rating,date,text
Susi Galih,5,1 jam lalu,"Ini tempat seru banget bagi anak-anak maupun dewasa yang ingin bermain air mengalir, teman-teman bisa bermain ban apung bisa sendiri tapi berkelompok jauh lebih seru. Cocok sekali untuk merefresh otak dari banyak pikiran🫰🫰🫰 …"
Sentot Hartono,5,1 hari lalu,Keren
Ayza Abdillah,4,Diedit 1 hari lalu,"Airnya juernihh polll, Banyak penitiban barang, jadi ga usah khawatir  klo mau ditinggal main air, jalan aksesnya masuk ke pemukiman warga ntar ada bnyak rumah warga yang sediakan jasa parkir"
zhain Ajha,5,1 hari lalu,seru banget..
CHaris,5,1 hari lalu,Bagus dan nyaman tempatnya.
Zahirah Aisyah,5,3 hari lalu,"Suasana Korea banget, makanannya juga recomended banget, jadi nggk usah jauh-jauh ke Korea Hi Hi hi ☺☺"
Safira Aulia,5,seminggu lalu,Gak espek banyak kucing di sana lupa ga bwa makanan kucing dri sana kepikiran mau bawa pulang🤣 …
Dwi Apriyaten,4,seminggu lalu,"Wisatanya bagus, pemandangannya juga asri. Bener-bener wisata alam yang recomended. Hanya saja tidak disarankan datang diwaktu libur nasional karena bakalan susah menikmati suasana. Fasilitas sudah lengkap. Untuk penjaga area river tubing …"
Yunias Wahyu,5,seminggu lalu,"wisata murah meriah ,cocok untuk bersantai bersama keluarga"
Isrina Syifah,5,Diedit seminggu lalu,Seru banget
Kinara Alifha,5,seminggu lalu,"Tempat yang asik untuk bermain air. Tiket masuk yang murah, kita bisa bermain air di coban atau bermain dg arus sambil naik ban di sepanjang aliran sungai. Kita bisa bawa bekal dan alas dari rumah ataupun beli makanan si tempat. Aneka …"
Siti Lailatul,3,seminggu lalu,Airnya jernih. Cuma kurang nyaman melihat pemandangan pengunjung wanita lain yang bajunya terlalu terbuka ketika renang. Kamar mandi yg kami pakai sempit
Bariq Ibrahim,5,2 minggu lalu,Libur nasional pasti rameee
Viko Al Fatih,4,Diedit 2 minggu lalu,"Saran Kalau bisa di area kolam renang dibersihkan, Sering kaki kena baru, cor beton untuk got di area sekitar pemandian yang ada permainannya."
choiro umma,5,2 minggu lalu,"Tempat wisata keluarga yang seru, murah, dan ramah"
Alfan Huda,5,3 minggu lalu,Seru dan bikin seger buger
endro susanto,5,3 minggu lalu,Tempat rekreasi keluarga murah terjangkau. Buat refreshing Di Sungai
"Darwati Kaos Anak, Hijab, Herbal, Villa, Kos-kosan",5,3 minggu lalu,"Ke sini tanggal 2 Januari jadi ramai normal
Pas bada sholat jumat asik
Mainan air view sawah hijau yang cantik …"
Piere Vyeriwan,5,3 minggu lalu,"nemu ibu2 yg jaga toilet umum bener2 ramah  bintang 5 buat ibu nya, paling seneng di hargai sama orang asli"
Aldo Official TV,5,3 minggu lalu,"Tempat yang sangat cocok untuk keluarga, ada tempat khusus anak kecil, makanan juga enak2"
fakhrul islami,5,3 minggu lalu,"Tempat sejuk menyenangkan , banyak jajanan desa
Airnya bening bin jerning hehee"
Yulia Dewi,5,3 minggu lalu,"rekomendasi banget😍, bisa buat santai liburan bersama keluarga, air sungai yg mengalir deras cocok buat rilex sejenak✨ …"
Herman Satriaduta,5,3 minggu lalu,"Seru  banget
Cocok  untuk  liburan  keluarga..."
Ezra Said,1,4 minggu lalu,Bagus tapi g punya teman
Nina Naufray,5,4 minggu lalu,"Awalnya tak ada rencana ke sini. Ehhhh sekalinya ke sini,, balik lagi dong... Permainan di air nya seru,, cemilan dan kopi ga ada lawan.... Kamar mandi tersedia banyak... Persewaan BAN yg besar 10k & yg kecil 5k"
Ageng Suranjaya,5,4 minggu lalu,"Disana bner2 bagus banget. Makanan sm souvenir nya terjangkau, bisa nikmati wahana, air kolam renang jernih, pegawai nya baikk, pemandangan nya baguss, seger sm asri gitu. Rekomen banget buat datang, minusnya jauh dri rumah hehe, pngen kesana lagi😄😄😄👍🏻 …"
Soekma SD Digital,5,4 minggu lalu,Cocok buat main air dan liburan rame-rame. Sewa ban nya murah meriah.
Giar Saerya,5,4 minggu lalu,Wisata yg menarik
AHMAD BARIZI (Ebook Premium),5,Diedit sebulan lalu,Alhamdulillah Bahagia Tanpa Batas
AQUATIC MEMORIES,4,sebulan lalu,"Dg dana yg minim di akhir tahun cocok banget buat ngisi liburan ,walau sempat dipalak kang ojek buat turun / naik dr area parkiran ke loket masuk ,suasana asri ,sejuk ,musholla dan kamar mandi cukup bersih ,bapak bapak yg njaga area Arum …"
Moh. Taufan Affandy,5,sebulan lalu,"Tempat nya keren, murah meriah, tapi gak cocok bagi disabilitas"
Suhadak Giri purba,4,sebulan lalu,Bagus. Perlu rest area yg bkn warung
Zuli Astuti,5,sebulan lalu,"Wisata river tubbing Murmer untuk keluarga yg lumayan seru,, ini lebih rekomen kl kamar mandi nya plisss dibersihkan,,"
Purnomo Almalik,5,sebulan lalu,"Sangat Bagus...untuk keamanan.harus diperhatikan
A.Tempat sangat licin
B.Sewa ban..harga terterah Rp 5000..ada yg nawarkan 10000
C.Rafting petugas benar mengawasi"
syahera banu,5,sebulan lalu,"Tiket masuknya murah cuma 10 rbu, sewa ban 5 rbu, cemilan murah2 ada yang jual makanan berat. Saya sarankan lebih baik ke sananya jam 7 pagi biar gak rame 😆😆😆. Lebih enak ke sana nya rame2, bawa bontot, bawa tikar sendiri, berangkat nya lebih pagi sekitar jam 7 an. …"
Zainuddin Anwar,5,sebulan lalu,Seru banget sumber maron. sorenya hujan deres tapi untung kami sekeluarga sudah main air. Kami nongkrong di Warung Naura pegaweinya ramah
Lasca Aira,5,sebulan lalu,"Maa sya Allah tempat wisata murah, menyenangkan, masih asri, alami"
Hanung Kusuma,5,sebulan lalu,"Wisata air seru dan murah meriah, sya dtng di peak seasson hrga tkt msk 10rb, sewa ban pelampung 10k, untuk yg belum pernah dtng bisa sewa pemandu (harga nego) dpt 3x putaran. Saran saya pakai sepatu sandal sebab dasar sungai penuh dengan …"
Rahajeng Suryani,4,sebulan lalu,"Tempat sangat sejuk, nyaman, dan airnya jernih, tempat luas namun jalannya agak licin jika hujan"
lailiyah masrifah,5,sebulan lalu,"Tempat rafting ala ala dg harga yg ramah dikantong seru dan menyenangkan hanya saja rutenya terlalu pendek
Air sungai nya jernih dan segar"
Ikkun Kaitothesea,5,sebulan lalu,"Tempatnya oke banhget buat healing dan main air bocil, tubing pake ban bareng bocil dan keluarga. Sayang ke sana pas hujan belum sempat nyoba kolam mata air yang di atas. Airnya bening dan dingin seger banget. Tiket masuk 10 rbu/orang dan …"
aox maftuh,5,sebulan lalu,"Sumber maron, wisata yg sangat ramah buat wisata keluarga. Ada pengalaman Kacamata hilang pas main Air , naik ban,pasrah aja dan ternyata dibantu dg petugas pengamanan, namanya Mas Amir, MasyaAllah baik banget, ditemukan & Ramah sekali, semoga kebaikan njenengan dibalas Sama Allah, lancar selalu rezekinya..🤲😇👍 …"
Wawan Noko,4,sebulan lalu,Destinasi wisata alami malang yang murah meriah rekomen buat yang suka renang dan kuliner
Bapak Awa,5,sebulan lalu,Sangat bagus
Yusuf Oppo,4,sebulan lalu,Bagus tempatnya sejuk dan banyak toko sepanjang jalan jadi gk usah repot nyari toko tapi di kolam atas airnya dingin bgt aku baru masuk langsung kedinginan kalo di bawah gk dingin
