name,rating,date,text
Child of God,1,1 hari lalu,"Cuma orang kampungan aja yang berwisata kesini berulang kali. Bayar ini bayar itu, cuma untuk masuk ""pasar rame"" dekat air terjun. Alam yang mana, yang bisa dinikmati? Selain hanya sekedar pasar rame yang penuh polusi udara dari rokok dan …"
Lailil Farokhah,5,1 hari lalu,"dingin, sejuk, tenang nya dapet karena suasana nya asri bisa buat deeptalk sm pasangan, seruwww"
Roikhanatin Nafisah,5,2 hari lalu,"Disini dinginnnn tapi uwenakkk poll, suasananya tenang jadi bisa healing dari hiruk pikuk kotaa"
uut sutiaaa,5,2 hari lalu,bagusss tapi ramee bgtt mungkin karena weekend yaww😔 sayang gaada foto bareng pacarkuuu huhu …
Sabda Senja,5,2 hari lalu,"Air Terjun Dlundung terasa sejuk dan menenangkan. Kami makan bersama sambil merendam kaki di air yang dingin, menikmati suasana, lalu saling bercerita dengan santai. Momen sederhana, tapi hangat dan berkesan."
AVRILLIA VICKY NILAM SARI,5,seminggu lalu,"baru kemarin kesini, sayangnya di mucim hujan jadi belum puas buat foto foto dan nikmatin air terjunnya. but overall oke sih tempatnya bersih, ga banyak sampah. di air nya ada ikan kicik kicik, suka bgt, mau ambil tpi gabisa huhu. kesini sm pacarku yg tersayang tercinta yg selalu nurutin aku mau kemanapun yg aku mau 💟💟 …"
Bambang Wijonarko,3,seminggu lalu,Tiketnya masuknya terlalu mahal. Pilihan makanan n minuman segar jg kurang bervariasi.
christi java,5,Diedit 2 minggu lalu,"Indah view-nya ,sejuk hawanya,tetap waspada untuk keselamatan,Gak boleh mandi di bawah air terjun, menghindari ada batu besar jatuh dari atas"
Andi Aprilianto,5,2 minggu lalu,Cocok buat keluarga apalagi membawa anak² karna bisa main air
Ira Meliani,4,2 minggu lalu,"Salah satu tujuan wisata alam di Trawas .
Akses jalan nya bagus tidak terlalu jauh dari jalan raya ketapan rame. …"
Rizky fajryah,5,2 minggu lalu,jauh di pucuk
Eko Wibowo,4,2 minggu lalu,"Pertama masuk fasilitas parkir luas dan tertata, namun saat menuju lokasi air terjunnya mungkin terlalu berat untuk lansia. Medan tidak terlalu menanjak dengan jalan dasar semen cor, bisa diakses dengan jalan kaki 10 - 15 menit atau naik …"
"Heru Soeroso ,",5,2 minggu lalu,"Wisata alam dengan view air terjun dan  aliran sungai yang bebatuan ,
Banyak warung2 dengan makanan mie ,bakso, gorengan dll dengan harga yang standart , …"
dwi kartini,4,2 minggu lalu,"Lebih cocok untuk wisata keluarga. Air terjunnya ga tinggi-tinggi amat.
Ga perlu takut kelaperan karena banyak jajan disini, ada makanan berat juga.
Dilengkapi dengan musholla yang letaknya kayak ditengah kolam, tapi sayangnya …"
Nur Sofiah,5,2 minggu lalu,"Tempatnya sejuk, bersih, dan ada cafe di atas, dekat air terjun"
erwin ahai,5,2 minggu lalu,Semoga harga tidak naik
Sudarmi,4,2 minggu lalu,"Air terjun ini ramai saat hari libur, disini anak2 bisa mandi atau main air. Untuk akses jalan ke air terjun sangat bagus. Kita hanya perlu persiapkan kendaraan yg fit krn jalan menanjak. Dari area parkir sepeda motor kita masih harus jalan kaki ke tempat air terjunnya. Tiket masuk 10 ribu dihari biasa."
Maulana gumilang rizqy pratama,5,2 minggu lalu,Good
Sondag Stefanus,1,Diedit 2 minggu lalu,Pengalaman buruk. Harga tiket mahal. Harus bayar untuk toilet. Jangan makan di kafe karena mahal dan rasa serta porsinya tidak sesuai dengan harga. Tempat duduk terbatas. Bayar dua kali lipat untuk parkir. …
Idris Efendi,5,3 minggu lalu,"Pertama kali kesini tahun 2010, kesini lagi karena kangen rawon pak yit.

Kelebihan: …"
salwa azzahwa,1,3 minggu lalu,"ga banget pelayanan nya. Aku pesen minuman dari jam 9 sampe jam 11 belom dateng dateng? lama banget. Padahal disitu posisi nya ga rame rame banget, bahkan pas udah rame pesenan nya belom dateng dateng. Harga juga overprice banget, saya protes tentang minuman saya ke kasir juga mba nya cengengsan aja, bad attitude bgt jir"
tio mahdi,5,3 minggu lalu,Sudah jauh beda dengan 15 tahun yang lalu
M Amirul Mu'minin,5,3 minggu lalu,Tempatnya syahdu untuk sekedar melepas penat
Hadi Powo,5,4 minggu lalu,Tempat nya asik semoga di kelola dengan lebih baik lagi
Dicky Febrin,1,4 minggu lalu,"Sangat² tidak ramah yg jaga loket, ngomong sak omong tolong dijaga"
Adinda Tara,5,4 minggu lalu,Sejuk dan asri sekali.
Kevin Satya,2,sebulan lalu,"baru pertama kali kesitu buat cafe di benah i lagi untuk pelayanan nya, menurutku harga snack/minuman segitu dengan pelayanan waktu penyajian kurang worthit sii saya pesan 2 jam lebih belum di layani, jadi buat pekerja tolong di benah i lagi"
