name,rating,date,text
Agung Pribadi,5,4 hari lalu,"Candi Bajang Ratu di Trowulan merupakan destinasi sejarah yang sangat direkomendasikan karena kemegahan arsitektur gapura paduraksa setinggi 16,5 meter yang tetap kokoh berdiri sebagai simbol kejayaan Kerajaan Majapahit. …"
Kevin Moore,5,2 minggu lalu,An historic site easy to reach from the port
Papa Dion,5,3 minggu lalu,Baguss poll
Verry Kurniawan,5,3 minggu lalu,"Tempat bersejarah, bisa untuk piknik dan belajar"
Rudi Purwanto,4,Diedit 4 minggu lalu,Bagus
Bunda Dien,5,4 minggu lalu,Situs peninggalan sejarah yang harus dilestarikan
Agus Pramoe,4,sebulan lalu,"Situs peninggalan Majapahit sepi pengunjung tp ada petugas jaganya ., tiket masuk 4rb,parkir mobil tarifnya 5rb.."
Emil Nur hanifah,5,sebulan lalu,"Bajangratu kerenn sekalii, bangunannya besar dan megah, tamannya rapi dan terawat best lahh... Next pengen kesini lagii"
Putra Bahari,5,sebulan lalu,Sejarah Mojopahit mojokerto
Komang gede Nara Utama,5,sebulan lalu,Candi terawat dengan baik.
Heni supartini,5,sebulan lalu,Sangat indah taman astri
Fabio Falcao,5,sebulan lalu,"Cagar budaya yg ada tiket masuknya, 8000 per orang, cuma pas kesini mushola di kunci mungkin pas weekday, kebersihan area dan toilet terjaga"
Tri Chandra Putra,4,sebulan lalu,Luas bersih
Febrys Cell,5,sebulan lalu,Tempatnya bagus sekali...indah...rapi...mari kita jaga & lestarikan
Agoez Kry,5,sebulan lalu,Candi bersejarah
Budi Lenthoe86,5,sebulan lalu,"Bagus
Taman ok
Candi ok
Bayar 8k 2 orang"
Dewi anjani,5,2 bulan lalu,"Tempatnya bersih dan asri, tiket murah"
Rizky Ramdhani,5,2 bulan lalu,Salah satu spot wisata sejarah di Trowulan Mojokerto yang patut disinggahi
Eron Kamaludin Arief,5,2 bulan lalu,Mantap
Febri Cola,4,3 bulan lalu,"Gapura bajangratu ini terletak di desa temon trowulan mojokerto jatim.
Salah satu wisata candi yang ada di mojokerto.
Tidak hanya untuk umum, dapat juga dijadikan referensi sebagai wisata edukasi …"
Aminingrum,5,3 bulan lalu,Katanya pegawai pemerintah dilarang kesini percaya enggak? Kl kesini akan kena nasib sial
Mohamad Soleh,1,3 bulan lalu,"Blum slse photoshot
Diusir pdhl boleh smpe jm 4
Qt mw pulg ada yg datang diem"" Aja"
rahmalia fannesa,5,3 bulan lalu,Apakah ada kontak yang bisa dihubungi untuk tanya-jawab mengenai biaya untuk foto?
Mbolang Culinary,5,3 bulan lalu,"Candi Bajang Ratu bukanlah candi seperti pada umumnya, melainkan pintu gerbang sebelah selatan dari kompleks istana Kerajaan Majapahit."
Rita Kusuma,5,4 bulan lalu,"Candi Bajang Ratu adalah salah satu bangunan bersejarah di Jawa,yang berlokasi di jalan Candi Tikus no.9 ,Pelem ,Temon , Kecamatan Trowulan, Kabupaten Mojokerto,Jawa Timur.Candi & gerbang terbuat dari bata merah berusia ratusan tahun dengan …"
MiMhy Licious,4,4 bulan lalu,Buat acara yoga cucok sih viewnya baguss..cuma agak siang dikit panasnya ampuunnn 🤭 …
Oshin Liangto,5,4 bulan lalu,"Ikut mendampingi Prof. Agus Aris Munandar. Beliau pakar Arkeologi Klasik Hindu Buddha. Kami banyak belajar.
Juru pelihara di Gapura Bajang Ratu juga sangat ramah, baik dan murah senyum. Kebersihannya tidak diragukan lagi."
