name,rating,date,text
Bunda Dien,2,4 minggu lalu,Situs sejarah yang harus dilestarikan
Naning Naning,5,sebulan lalu,Wisata sambil belajar mengenalkan ke anak2 sejarah kerajaan majapahit
Berta Ryza Harsativa,5,sebulan lalu,"Area candi tidak terlalu luas
Terbuka dan banyak area berumputnya
Anak-anak sangat menikmati karena bisa bermain …"
Nurul,5,sebulan lalu,"Selalu suka sama candi! Ini tempatnya di pinggir jalan jadi sebenernya masih keliatan dari luar. Kalau mau masuk, usahakan jangan siang karena panas polll"
Eddy Ishariadi Soekardi,4,Diedit sebulan lalu,tempat bersih dan rapi
Budi Lenthoe86,5,sebulan lalu,"Bagus tapi
Taman ok
6k 2 orang"
Xim A2,2,2 bulan lalu,saat itu saya liburan kesana tempatnya bersih sejuk dan banyak spot foto yg cantik dan saya kesananya bersama rombongan dari keluarga menuju candi
pipay,5,2 bulan lalu,"cantik views nya.
ada gazebo dan banyak tempat duduk. lesehan di rumput rumputnya juga bisa banget. …"
Slamet B. Santoso,5,2 bulan lalu,sisa-sisa majapahit yg perlu dilestarikan dan dikenalkan pd generasi muda.
Febri Cola,4,Diedit 3 bulan lalu,"Sudah pernah kesini?

Kalau belum, sempatkan untuk datang kesini …"
Evan Waskhita,5,3 bulan lalu,"Candi yang masih terawat dengan baik, bangunan nya masih kuat

Hari biasa, biasanya ada studi tour dari sekolahan untuk pengenalan akan budaya …"
nur chasanah,5,3 bulan lalu,Tempat yang nyaman dan penuh dengan history of mojopahit
Karya Ravira,5,3 bulan lalu,"Indah,bersih dan rapi"
Aminingrum,5,3 bulan lalu,Duduk di batuan merah di depan candi … rasanya hangat ke seluruh badan .. katanya candi tikus ini dulu pertama ditemuka. Oleh orang belanda isinya tikus… krn itu dinamai candi tikus … dulu sebelum masuk ke majapahit orang yg akan datang diminta mandi disini dulu
aji gogon,5,5 bulan lalu,Tempat yang nyaman dekat dengan rumah sebagai peninggalan sejarah kerajaan majapahit
Nurul Azizah20,5,5 bulan lalu,"baguuusss bgttt, sempat kukira kecil ternyata benar benar tidak seperti bayangan, petirtaan nya cuantikkk bgt dan kumayan besar, jaladwara nya juga bener bener bagus dan banyakkk, amaze!"
Pungki tech,5,5 bulan lalu,situs bersejarah peninggalan Mojopahit
Ulva Rizal,5,5 bulan lalu,Salah satu area situs kuno...cukup terawat dan bersih mungkin pemerintah harus lebih berinovasi utk daerah sekitar supaya lebih berkembang dan menarik banyak wisatawan lokal maupun internasional
HNR Mustaqim,5,6 bulan lalu,"Candi Tikus – Petirtaan Suci Warisan Kerajaan Majapahit

Candi Tikus adalah salah satu situs bersejarah peninggalan Kerajaan Majapahit …"
Rangga Dio Alfian,5,6 bulan lalu,"Saya baru saja mengunjungi Candi Tikus di Mojokerto, dan tempat ini sungguh memukau, jauh melebihi ekspektasi. Begitu memasuki area situs, saya langsung merasakan aura historis yang kental. Candi ini unik karena letaknya yang berada di …"
Briva bagus p,5,6 bulan lalu,Harga tiket masuk murah meriah. Cocok untuk wisata sejarah untuk anak anak. Saran kalau kesini pagi hari atau sore hari ( tempat berteduhnya terbatas ). Untuk makanan lebih baik bawa bekal. Sedikit yang berjualan disini
Paul Pearson,4,7 bulan lalu,Hot and humid 🥵. Very well maintained. Impressive! …
Yuni Indah Putri,5,7 bulan lalu,"Tau tempat ini dari google, tempatnya dekat dengan candi bajang ratu penasaran akhirnya kesini. Ternyata tempatnya bagus,asri, candi terletak dibawah dan ada air nya, mungkin itu air hujan. Akses jalan mudah, penjaga ramah. Tiket masuk …"
Ferdhi Anshori,5,7 bulan lalu,"Bagus untuk edukasi sejarah kepada anak, lokasi bersih dan rapi"
Jai Haka,4,8 bulan lalu,Bagus dan bersih
9J-25-Shiny A.,5,8 bulan lalu,bisa banget buat pecinta sejarah
SUMAR channel,5,9 bulan lalu,"Candi Tikus berada di kota Mojokerto.. Suasana sejuk dan rapi bersih, tiket 4000 dewasa, 2000 anak2.. Parkir tersedia u mobil dan sepeda motor.. Semoga tetap terawat dan dijaga agar anak cucu kita bisa menikmatinya warisan leluhur kerajaan Majapahit  🙏🙏 …"
Fiqri Ihsanurrahman,5,9 bulan lalu,"Suasananya adem, nyaman, sejuk, dan asri. Suasana yang seperti kembali ke zaman kerajaan dulu. Sangat cocok untuk bertamasya biasa atau sekaligus belajar sejarah kehebatan nusantara."
Muhammad Yusril,5,9 bulan lalu,"Tempatnya bagus, bersih, Nyaman, di penuhi tetumbuhan & pohon² skaligus berdirinya bangunan Bersejarah yaitu candi Tikus yg membuat tempat smakin Estetik & indah"
Dondup Sherab Дондуп жарма шрп,5,9 bulan lalu,Tempatnya terawat
Dian Setiawan,5,9 bulan lalu,Sangat rapi tempatnya dan parkiran luas petugas ramah dan murah senyum dalam customer service
Arivananthan Periakaruppan,5,10 bulan lalu,"1. Candi Tikus, a 14th century bathing place in Majapahit empire capital city, Trowulan Archaeological Park, East Java, Indonesia.
2. Based on information from Wikipedia, this Candi probably built in the …"
Stephanie S,5,11 bulan lalu,"Candinya bagus, suasananya bersih banget, rindang dan tiket masuk semua sama ya 4rb/candi."
Achmad Zazuli,5,11 bulan lalu,Sayangnya pas kesana blm buka
Nmax Rider,3,11 bulan lalu,Murah n bagus
Tunggal manik sri kantil,5,Diedit setahun lalu,Luas.... hijau.... bersih.... tiket masuknya murah... ada tempat parkirnya....  lokasi masih di sekitar candi bajang ratu
NENG MAMA,4,setahun lalu,"Tempatnya bagus terawat, biaya tiket masuk masih murah terjangkau, namun saya berharap Pemkab bisa lebih memantau pengelolaan retribusi/tiket masuk dengan memberikan ""lembar tiket masuk per orang"" bukan sekedar lembar kuitansi yg ditulis …"
Venusrentcar Surabaya,5,setahun lalu,Kalau mengerti sejarahnya akan lebih keren lagi
