name,rating,date,text
Akmal Syakib,5,1 hari lalu,"cocok untuk pemula 🗿 tpi bukan untuk frist time hiking, hoki dapat lautan awan udh 3× ke sini dan masih candu …"
Arif Buddiman,5,seminggu lalu,Rumah kedua
Miko,5,2 minggu lalu,"Gn. Penanggungan
gunung di jawa timur yang indah dan menarik untuk dikunjungi, suasana khas pegunungan jawa timur, vegetasi cukup terbuka, apalagi di puncak yang sama sekali …"
Jamil Pujianto,5,Diedit 2 minggu lalu,"3 jam 45 menit perjalanan dari post tamiajeng,"
Firgiawan Achmad,5,3 minggu lalu,"Selama tahun 2025 uda 3X naik tapi gagal terus sampe puncak ada aja kendalanya cuaca yg ga bagus lah,fisik yg tiba"" drop d track next lain waktu bisa menggapai puncaknya"
adin cempakaputri,5,3 minggu lalu,"JOLOTUNDO, KUNJORO, KEDUNGUDI MANTAP LAH, CUKUP BUAT KAKI GETER-GETER"
Sapto P. Santoso,5,4 minggu lalu,"Perjalanan mengasikan meskipun HANYA 10 jam, terima kasih adik adik dari sby dan sda, yang bersama dan mengawal saya..."
Aditya AS,4,4 minggu lalu,cocok buat pemula apalagi via kedungudi
Micin Official,5,4 minggu lalu,Track penanggungan tidak pernah mengecewakan
Muhammad Ghozali,5,sebulan lalu,"kembali berapa kali pun pasti ga nolak. tapi, keknya ga cocok buat yg katanya pemula😭 …"
Arlene Nettya Ibrahim,5,sebulan lalu,"seruu sekaliii hiking disini, warga diarea basecamp juga sangat humble dan ramah, lingkungan nya sangat asri sekaliiiiiii, wajib datanggg kesini yahh"
Vicky Eka,5,sebulan lalu,Gunung penanggungan... Dari puncak penanggungan kliatan jelas gunung arjuno ya ... Yang kurang jelas cman hubunganmu sama dia 😔 …
Yu Spectate,5,sebulan lalu,tempatnya bagus tp saya belum kesana
Syil4zahra,4,sebulan lalu,"Gunung penanggungan, yang terletak di perbatasan mojokerto dan pasuruan, Jawa Timur, menawarkan pengalaman mendaki yang menantang sekaligus bersejarah. Meskipun memiliki ketinggian hanya 1.653 mdpl, jalur pendakian ke puncaknya cukup terjal …"
Dwi Jayanti,5,Diedit sebulan lalu,"Gunung yg selama ini viewnya top bangeett, sunrisenya bagus bangeett, gak sia-sia perjalanan ke sini, dapet banyak temen juga"
Dila Nurhidayah,4,2 bulan lalu,"Extreme sih buat pemula. Jangan percaya ini buat oemula, diawal landai tapi makin ke atas curam juga"
elvira daf,5,2 bulan lalu,"puncak yang menjadi saksi pendakian pertama aku❤️✨sebelum kesini pastikan siap fisik, mental, ilmu, dan logistik. …"
garda putra,5,2 bulan lalu,"Bangga bisa mengikuti launching Via Sumber Lumpang tgl 15/11/3025
Amazing Penanggungan👍🏻👍🏻👍🏻 …"
Lai Lee,5,2 bulan lalu,asuransi sahabat
Hadyan F. Hawali,5,2 bulan lalu,Seberapa mudah untuk naik dan turun?
Memet4No,5,2 bulan lalu,cocok buat pemula🤭 …
an Rosyid,5,2 bulan lalu,Pemandangannya sangat bagus dan bersih
Muhammad taufik Taufik,5,2 bulan lalu,Perjalan menuju Gg.Penanggunan bagus dan masih alami
Ervan Fachrul,4,3 bulan lalu,cocok untuk pemula
Aikun Yonggi,5,3 bulan lalu,"2nd hiking of Mount Penanggungan, with thorough logistics preparation with my two friends. Thankfully God, we're get maximum view of the sea of clouds.
I'm so lucky. Jul.23"
Selly Rizkiyah,5,Diedit 3 bulan lalu,"Best experienceee! Pertama kali hiking, kesini. Penanggungan punya banyak jalur, lokasinya strategis di trawas, ikonik, tapi lumayan panas. Kesini via tamiajeng. Viewnya bagus, lumayan oke banget buat pemula."
Salman Shan,5,3 bulan lalu,Tempat yang indah
Mas B,5,4 bulan lalu,Jangan tertipu MDPL nya.. sangat cocok bagi yang ingin mulai mendaki
TAUFIQ Alghazali,5,4 bulan lalu,Alhamdulillah
Heri,5,4 bulan lalu,👍🏿 …
ilma zadia,3,4 bulan lalu,"peraturannya wajib pakai sepatu dan dilarang pake sandal, walaupun sandal gunung, tp sepanjang jalan banyak banget lihat orang pake sepatu yang ngasal bukan sepatu hiking pake sepatu sekolah / sepatu modelan converse. …"
NUB PROJECT,4,4 bulan lalu,peratama kali kesini untuk menutup 10 summit mojokerto. berangkat dari basecamp habis subuh langsung mulai perjalanan. jalur lumayan landai sampai pos 2. menuju pos 3 sampai puncak bayangan full nanjak tapi masih aman. setelah puncak …
frontal gaming ff,1,5 bulan lalu,Banyak sampahnya sehingga saat mendaki harus tutup hidung
Dhani Rizquna Aldino,5,5 bulan lalu,Cantik banget view sunrise dan sunsetnya
ERIKCA CUNCUN,5,5 bulan lalu,"Orang-orang di basecamp pada ramah, simaksi 15rb, parkir motor 10rb. Naiknya masih oke, turunnya kek mau mati 😭🤣 …"
ridi ridi,5,5 bulan lalu,cocok untuk pemula
Ardika Prasetya,5,5 bulan lalu,"Mt. Penanggungan dengan beberapa puncak yang ada
Puncak tertinggi (Pawitra) lebih dekat dijangkau via Tamiajeng
Jika ingin 3 Puncak (Bekel, Sarah Klopo, Pawitra) bisa trekking via Kedungudi/Jolotundo"
15_Nur Aniqotul Qolbiyyah,5,6 bulan lalu,"Perjalannya MANTAB
dari sini saya belajar bahwa, kalo saya takut, saya akan stuck di situ saja, tapi jika saya melangkah pelan² saya akan mencapai puncak💫 …"
