name,rating,date,text
Akbar Mahendra,5,1 hari lalu,Sudah lebih bagus daripada 8 tahun lalu saya berkunjung kesini. Banyak informasi yang tertera. Banyak peninggalan yang bisa diamati. Kereen.
Fizz Trader,4,2 hari lalu,Layak dikunjungi utk edukasi. Perlu dilengkapi tour guide dan atau rekaman narasi sejarah/ diorama. Toilet perlu direhab shg lebih baik kdpn. Thanks
Agung Pribadi,5,4 hari lalu,"Museum Majapahit di Trowulan merupakan destinasi edukasi yang mengesankan karena menyimpan ribuan artefak autentik dari salah satu kerajaan terbesar di Nusantara. Pengunjung sering memuji koleksi terakota, arca batu seperti Arca Airlangga, …"
Hilda Shinta,5,2 minggu lalu,kebetulan dateng pas bgt pkl. 12:00 jd hrs nunggu selesai istirahat (pkl. 13:00) baru bisa masuk ke dalem. jd ngadem dulu di gazebo dan musholla dekat loket. cocok bgt buat wisata sekaligus mengenal sejarah. energinya lumayan kuat ya klo …
Pakngah Fakhri,5,2 minggu lalu,"Menarik... jika Anda tertarik pada artefak, sejarah... apa yang dipamerkan sangat menarik... jika Anda tidak tertarik pada artefak, benda-benda bersejarah... jangan datang"
Deny33 Susanti,5,2 minggu lalu,seru sekali
Hari Maz,5,3 minggu lalu,Tempat mengenang sejarah
eddy junaidy,5,3 minggu lalu,"Walau lumayan jauh dari Tol tapi bagi pecinta sejarah, Museum ini tidak boleh dilewatkan"
Papa Dion,5,3 minggu lalu,Cocok bagi siswa
deddy septyawan,5,3 minggu lalu,Museum dengan koleksi benda purbakala jaman Majapahit cocok untuk wisata edukasi
Dhonojoyo,5,3 minggu lalu,Menambah wawasan
Whisnu Setiawan,4,3 minggu lalu,"Museum dengan koleksi tentang majapahit yang lengkap. Banyak candi dan artefak menarik. Sayangnya perlu dipugar, revitalisasi, serta ditata ulang agar pengunjung dapat menikmati semua koleksi yang tersedia."
James Chen,5,4 minggu lalu,"Museum yang bagus, tetapi tahap kedua terhenti."
Alya Dhiqta Elfalah,4,4 minggu lalu,"Ke sini tgl 25 Desember 2025 dari Sidoarjo. Ternyata tutup. 😌

Banyak yg datang trs balik lagi krna gatau museumnya tutup (di gmaps statusnya …"
Toru Aizawa,5,sebulan lalu,"Museum Trowulan, tempat yang nyaman untuk belajar sejarah bersama keluarga.

Saran : mungkin tiap akhir pekan diperlukan semacam guide untuk menjelaskan …"
Rizal Aditya,4,sebulan lalu,"baru sempat rating sekrang
*2 Januari 2025"
Lintang Dianiratri,5,Diedit sebulan lalu,Seruuu bgt belajar tentang sejarah majapahit
Putra Bahari,5,sebulan lalu,Sejarah megah kerajaan majapahit
Berta Ryza Harsativa,5,sebulan lalu,"Museum cukup bersih
Banyak artefak dan benda2 bersejarah
Area tidak terlalu luas jadi cukup menyenangkan karena tidak menguras tenaga …"
Mas Roy,5,sebulan lalu,Terlalu murah tiket masuknya untuk ilmu pengetahuan yg luas harusnya harga yg dewasa jng terlalu murah
Komang gede Nara Utama,5,sebulan lalu,Tempat belajar tentang kerajaan Majapahit
Anwar mBatu (AnwarmBatu),5,sebulan lalu,Terbaik. Jaya Jaya Jaya Nusantara
Ketut Putrawan,5,sebulan lalu,Jgn pernah melupakan leluhur sdh tangkil bbrp x langsung di tuntun dgn penjaga
