name,rating,date,text
Dania firdausi,4,6 jam lalu,Lumayan
Ainur Hakam,1,23 jam lalu,"Tiket masuk murah
Loket pertama di hitung per kepala Hari biasa 13ribu per kepala, kalo sabtu minggu atau tgl merah 16ribu per kepala, anak kecil umur 3thn lolos, loket masuk …"
Dedi Kristanto,2,seminggu lalu,"Baru masuk kawasan bayar 33.000 sdh plus motor 2.000
Untuk masuk kolam bayar lagi 10.000 dewasa anak anak 7500.
Bayar 2x. di dlm motor bayar lagi parkir 5000."
Alvin Fabregas,1,seminggu lalu,Banyu e pelan😡 Saya mau shampoan jdi lama nunggu airnya🤦‍♂️ sampe perih mata saya😬 jauh² kesana malah kayak gitu tempatnya.. ga lagi² kesitu deh.. taekkk😒 …
Medyna Dyna,4,seminggu lalu,Saya pernah kesini dan bagus sekali tempat nya
Jo C.W,3,2 minggu lalu,"Kolam pemandian air panas kecil,air agak keruh"
Tani Unggul,3,2 minggu lalu,Vip harga 300 RB lurr tempat sederhana sekali
Debby Chintya,4,2 minggu lalu,"Untuk renang dsni sudah 3 kali, kmrn ngajak anak tp pas kolam nya jadwal d kuras jadi hanya di kolam anak2 saja.. saran untuk kamar mandi sering di bersihkan agar tidak licinn"
Arif Fauzi,2,2 minggu lalu,B aja.. gak istimewa
Andika Christianto,1,2 minggu lalu,"Kumuh,kotor,mahal,"
angga pamungkas,4,3 minggu lalu,"Sudah 2x ke sini, sejauh ini cukup puas. Andai ditambah fasilitas bilas dengan air hangat pasti jadi bintang 5."
juli suprijanto,4,3 minggu lalu,Private buat costly
Ngalap Pakerti,5,3 minggu lalu,Bodoh
Surono -,4,3 minggu lalu,"Sangat membuat suasana hati menjadi tenang. Tatkala menyaksikan pemandangan alam yg begitu asri.
Di tambah ada pemandian air panas nya, bisa untuk merelaksasi tubuh dan fikiran …"
Erica Noveliya,1,4 minggu lalu,Kolam renang air dingim tutup tapi tidak dikasih tau sebelum bayar. Nyesel banget!
Eko Hardianto,4,4 minggu lalu,"Nice view, but too many gates too entry and buy tickets"
Hanaris Moedjis,4,4 minggu lalu,Parkir diminta untuk cuci kendaraan meski bilang seikhlasnya tpi tetep bikin g nyaman
Kiki Oscar13,2,4 minggu lalu,"Masuk Parkir mobil kok seisi mobil d ssuruh bayar semua
Goblok peraturane"
Sendik Aja,5,sebulan lalu,Nyaman
nurul hidayah,2,sebulan lalu,"Gerbang turis berbayar, Anda harus membayar untuk masuk ke kolam renang, tetapi dari era A sampai era Z jalan aspal menuju kolam renang belum diperbaiki. Membayar terlalu banyak di loket, perbaikan jalan tidak akan dilakukan keesokan harinya. 🤑🤑🤑🤑 …"
Ayudyah Putri Permatasari,1,sebulan lalu,"Zonk bgt tempat wisata ini, kelihatan bgt tidak terawat, kyk ga niat mengelola tempat wisata, mulai dr paving yg pada rusak, dinding berlumut, sampai pegangan besi di dalam kolam yg berkarat, tempat bilas ada 2, dg masing-masing tempat …"
