name,rating,date,text
ghia anindita,3,2 minggu lalu,"Kurang niat dalam penataan, kalah dengan jolotundo"
Desy Nurhayati,5,2 minggu lalu,"Cocok buat nyari udara segarr, cukup sepi tempatnya"
Fearst zuwib,5,4 minggu lalu,Tmpatnya cocok buat ngadem☺️
Alfan Farid,2,sebulan lalu,Bayarnya mahal per orang wisata dalam proses pembangunan dan terbengkalai kolam renang sama kebun binatangnya kalau bisa tiket masuknya di kurangin
MR BE RIFF,5,sebulan lalu,Bersyukur.
Widodo TG,5,2 bulan lalu,"15 rb per orang
Parkir 10 rb
Jalan kaki ke atas 150 meter"
Dicky Pratama,4,2 bulan lalu,"Dulu rame, sekarang relatif sepi, mungkin karena kalah pamor sama jolotundo.. Tiket 15rb per orang kalau gak salah.. Fasilitas lumayan lengkap, ada mushola dan toiletnya, parkiran juga lumayan luas.."
hendrik lukis,4,Diedit 3 bulan lalu,Tempat nyaman. WC kurang bagus. Masih ada sampah . pemandangan lumayan indah
tomas mulyosuharjo,3,3 bulan lalu,"I visited Roro Kuning Waterfall during the dry season, so the water flow was quite low. Even so, the place was peaceful and surrounded by beautiful green scenery. It’s a nice spot to relax, take photos, and enjoy the fresh air. …"
Harjuna Sosrobahu,5,Diedit 3 bulan lalu,Alam yang indah dan udara yang sejuk
wahyoo biant,2,4 bulan lalu,"Sayang banget wisata yang dulu jadi andalan saat ini nyaris terbengkalai.

Tiket masuk yang lumayan terbilang mahal tidak diimbangi fasilitas didalamnya, …"
Khrisna wahyu,4,4 bulan lalu,"Kesnini skitar th 2015, dlu masih sepi banget dan jarang banget wisatawan yg datang, skr sepertinya sudah mualai tertata bagus dan ramai"
Mohammad Zakarya,1,6 bulan lalu,"Tempatnya kurang terawat , air kolam kotor"
Violet Evergarden,4,6 bulan lalu,"Biaya masuk 15k/orang. Biaya parkir mobil 10k. Suasana sejuk enak....tp beberapa spot seperti kurang terawat terutama bagian tempat bermain. Kesana pas weekend, area roro kuning tidak begitu rame, karena banyak wisatawan yg mampirnya ke jolotundo."
Januar Jack,4,7 bulan lalu,"Tempatnya sejuk, 1 arah dengan jolotundo glamping,.
Dulu cukup ramai, tapi sekarang sudah sepi"
