name,rating,date,text
Richardus Baharun,1,2 tahun lalu,Lebih baik tidak dikunjungi belum ada pengunjungnya masih belum selesai proses pengerjaanya
lucia widyarini,5,Diedit 2 tahun lalu,"Tempatnya sangat sejuk,nyaman, tp kalo kesini harus bawa bekal krn waktu sy dtg kesini blm ada penjual makanan.. mungkin masih kepagian jalanan menuju ke tempat ini beraspal bagus tp menanjak ,pemandangan alam sepanjang perjalanan sangat indah.."
Maschurun 23,2,2 tahun lalu,Panas
Rofi Alfida,4,2 tahun lalu,"Yang mau ke wisata ini silahkanya,akses jalannya sudah diperbaiki kok,dan wisatanya juga banyak yang baru,ada kolam renangnya juga untuk anak2 dan orang dewasa,kali buat nongki juga menarik kok,tapi belum sepenuhnya jadi soale belum ada …"
You_C,4,2 tahun lalu,"Sepertinya belum selesai pembangunannya. Sebetulnya jika dikelola dengan serius, tempat wisata ini cukup berprospek bagus. Didukung udara yang sejuk dan pemandangan yang indah. …"
dilah Ae,1,2 tahun lalu,𝙎𝘼𝙇𝙅𝙐 𝙆𝙊𝙉𝙏𝙊𝙇𝙇𝙇𝙇... …
zaenal fuad,5,2 tahun lalu,Tempatnya syahdu
bustanul arifin,5,2 tahun lalu,👍 …
Dona Arisandy,5,2 tahun lalu,Sebenarnya bagus tapi sayang tidak terawat
riyanto afgan,2,3 tahun lalu,Jln sdh aspal hingga tujuan. Tp sayang masih mangkrak
KOPI INSPIRASI CHANNEL,5,3 tahun lalu,Sangat keren dan cocok untuk yg cinta alam dan penjelajahan ngecamp
Anang Dwijo Suryanto,3,3 tahun lalu,"Bukit yang sejuk dan indah pemandangannya. Meskipun jalan menuju lokasi sudah banyak yang tidak mulus. Efek pandemi yang menjadikan lokasi tidak dikunjungi membuat terlihat tidak terawat, namun keindahan alaminya masih nampak kental terlihat. Semoga setelah ini segera pulih kembali. Aamiin."
Soni Harsono,5,3 tahun lalu,Dijamin terpuaskan
Nyai Hemi,5,3 tahun lalu,👍🏻 …
pipiet hendhar,5,3 tahun lalu,Persiapan dengan dinginya hutan pinus
Saya Pak,3,3 tahun lalu,"Tolong jalan ke arah bukit salju di perlebar, takut pas ketemu mobil lain susah, lagian minim pembatas jln, sebelah jurang dan tebing dan arah ke bukit juga minim papan arahan atau dena.  Alternatif di sediakan ojek motor gitu buat pas naik, daerah juga dekat sama perkampungan. Kalau bisa di kasih ojek motor.🙏🏻 …"
Hanik Hanjura,3,4 tahun lalu,Adem
JOKO TARUB,3,4 tahun lalu,Cukup bagus....buat bersantai udara sejuk.
Di Thuk (Hai),4,Diedit 4 tahun lalu,"Jalan menuju salam judeg sering rusak, diperbaiki tak lama rusak lagi, akses menuju taman bukit salju jalanya rusak parah, perawatan taman terkesan seadanya, tidak ada inofasi"
Arif Wibowo,5,4 tahun lalu,Sejuk
Diyah Sulis,1,4 tahun lalu,"Kesana tgl 19  september 2021 , tempat wisata bukit salju ternyata sudah tutup, tidak terawat, terkesan seram, akses jalan untuk mobil tidak nyaman."
srigala terakhir,3,4 tahun lalu,kurang terawat
ayahe lubbyfaiz,5,4 tahun lalu,oke
Iswoyo,5,4 tahun lalu,Akses jalan cukup bagus cuma fasiltas kebersihan belum ada.
Juni_toki14 Nganjuk,3,4 tahun lalu,suasana sejuk dan indah
Saman Sareh,3,5 tahun lalu,Masih sepi
JZ13EII 234,5,5 tahun lalu,"Tempat yang sejuk dan alami, cocok bagi yang rindu suasana gunung.."
illy nadia,5,5 tahun lalu,"Kalo kesana mending sore, bagus banget pemandangannya, dikelilingi kabut berasa twilight"
Martawidjaja,5,5 tahun lalu,cocok banget buad camp groud area bebas dari hiruk pikuk kota
Fredy Turang,5,5 tahun lalu,Tempat yang sejuk dan masih alami..
gus mik 27,5,5 tahun lalu,damai
zulfikar rahmad,5,5 tahun lalu,Sangat menyenag kan
Ahmad Rofik,5,5 tahun lalu,Tur bukit salju adalah pemenangnya
Bang Toro,5,5 tahun lalu,"Suasananya sangat tenang, damai dan sejuk."
