name,rating,date,text
Hobi Apa saja,4,2 bulan lalu,"Tempatnya sejuk,  asri"
Ajeng Zazabilla,4,Diedit 2 bulan lalu,Datang kesini mengantar anak² outing class (belajar diluar ruang kelas). Kami datang pukul 12 siang. Tidak ada tiket masuknya. Hanya mengisi buku tamu saja. Sebetulnya bagus sekali ini ada situs peninggalan sejarah. Tapi sayangnya tidak ada …
riyan saputro,5,3 bulan lalu,"tempat bersejarah di kabupaten nganjuk, adem, asri, enak buat merenung"
eddy wibowo,5,4 bulan lalu,Tempat yg tenang dan sakral utk sembahyang maupun puja bhakti
Rizal Doel Gabus,4,5 bulan lalu,"Lokasi Candi Lor berada Jl. Panglima Sudirman, Candirejo, Kec. Loceret, Kabupaten Nganjuk, Jawa Timur 64471
Meterial Candi Lor dari batu bata merah yg besar2. Candi ini rusak parah & dipeluk oleh pohon kepuh."
Neni Puji Artanti,5,8 bulan lalu,"Meski keterangan di google Maps buka 24 jam, namun pintu gerbang digembok demi keamanan. Jam 8 pagi sudah dibuka. Di gerbang, tersedia nomor HP  penanggung jawab jika memang diperlukan. Suasana sangat asri karena berada di dekat hamparan …"
Yefa Tan,5,10 bulan lalu,"Candi lor merupakan salah satu  bangunan  peninggalan pu Sindok dari masa kerajaan Mataram kuno sebagai symbol kemenangan atas Melayu di Anjukladang. Lokasi candi deket jalam raya sehingga mudah dijangkau. Taman disekitar candi sangat asri dan terawat. Fasilitas ada tempat parkir, toilet, dan mushola."
Harmadi Harmadi,4,11 bulan lalu,Ikuti saya.
Nur Lailatus Sa'adah,5,setahun lalu,"Suasananya sejuk, rindang, dibawah candi bagian belakang ada tempat duduk yang bisa melihat pemandangan sawah, pernah ketemu sama rombongan camping keluarga juga merek bawa tikar dan makanan. Nampaknya ini bisa jadi tempat liburan yang gratis hihi"
chamim93 1917,5,setahun lalu,"Situs yg perlu dijaga dilestarikan sebagai cikal kab Nganjuk
Lokasi mudah dijangkau kebersihan terjaga
Mari jaga kelestariannya agar anak cucu juga bisa menyaksikan kekayaan budaya bangsa kita"
Aceel Sebastian,4,setahun lalu,Ayooo ke Candi Lor
agus suher,3,setahun lalu,"Candi lor, dengan akses yang mudah dijangkau, letaknya juga tepat di pinggir jalan."
Barokah Channel,5,setahun lalu,Lokasinya strategis barang murah banyak discount
Pisces love,5,setahun lalu,"Mei 2024: padahal sering lewat tapi baru kali ini berkunjung. Suasana adem dan tenang. Baru tau kalau akarnya sebesar itu melilit tubuh candi. Kemungkinan candi ini sangat besar, tapi kini tinggal reruntuhan.  Ada 2 makam suami istri …"
Yuri Mas,5,setahun lalu,Menakjubkan
Hedro Kasidin,5,setahun lalu,Situs icon kabupaten nganjuk yang masih tetap terjaga sampai saat ini
Rumi's Father,5,setahun lalu,Bisa masuk secara gratis
CHANEL NAZEE FARSY,4,setahun lalu,tempat bersejarah yg suasanya sangat asri.
