name,rating,date,text
Bekti Galan,4,3 minggu lalu,"Harusnya diopeni, makam Hayam Wuruk lho ini btw"
Eko Blangkon,5,sebulan lalu,"salah 1 bangunan candi bersampingan dengan masjid tertua di ngetos.
dan salah satu tempat penyebaran islam"
Linda cipit2,5,sebulan lalu,Candi ngetos hampir berubah jadi al atos yaman
abd rochman l,5,4 bulan lalu,"Disebelah barat candi ada makam wali, banyak juga penziarah yg berkunjung dari luar kota"
Rio Wahyu,5,Diedit 4 bulan lalu,Terbaik
Mas Dito,5,6 bulan lalu,Karena di kecamatan saya
jafar fathoni,3,7 bulan lalu,Candinya bagus. Tapi sering ditutup. Jadi tidak bisa masuk
Siswanto,5,8 bulan lalu,Goes Kediri Nganjuk
Mukayat,5,8 bulan lalu,Bukti sejarah yang dipelihara dan dijaga keasliannya
Naura Jaya,5,9 bulan lalu,Bangga masih bisa melihat candi bersejarah peninggalan jaman kerajaan mojopahit
RAja Coin digital,5,10 bulan lalu,Tempat bersejarah kerajaan mojopahit di candi ini sebagian abu jenazah raja Majapahit ke 4 raja Hayam wuruk bersenayam
01 Aurelia Febby,5,setahun lalu,"Kalo mau ada yg jelasin harus izin dulu biar dibukakan gerbangnya. Untuk nomor juru kuncinya tidak diletakkan di area candi, jadi bingung. …"
arizma bayu life with story,5,setahun lalu,"Peninggalan Sejarah Majapahit areal pekuburan Raja Hayam Wuruk Alhamdulillah masih berdiri meski tak sempurna lagi. semoga bisa dipugar, dan jadi bagian kurikulum lokal wisata Candi di Nganjuk, agar anak2 bisa mengetahui leluhurnya"
M. Shohibul Mighfar,5,setahun lalu,Antara agama dan budaya yang berkaitan erat
Adit RejoWilis,5,setahun lalu,Istimewa...
Fardhan Agusta Rizky Ramadhan,5,setahun lalu,"Bagus ,baik"
latif ashari,4,setahun lalu,"Joss, buat nambah pengetahuan"
green adventure,5,setahun lalu,Patokan untuk ziaroh ke malam Syekh Malik Al Attos
Yobby Tri,5,setahun lalu,Peninggalan prabu brawijaya
atok fauzi,5,setahun lalu,"Sangat bagus maharnya,  sangat puas pesan ditoko sini gak nyesel pokoknya, responnya sangat baik, penjual ramah dan pembuatannya juga sangat cepat🥰👍 istimewa gk nyesel pokoknya …"
Legendary Goldlaik,5,setahun lalu,sippppp
iyung yusuf,5,setahun lalu,"JasMeRah
Jangan Pernah Melupakan Sejarah"
Faizah Aliyah,5,2 tahun lalu,Candi ini merupakan salah satu candi bersejarah pada saat kerajaan Majapahit terletak di desa ngetos kecamatan ngetos kabupaten Nganjuk dan memiliki hawa sejuk sebab berada di daerah pegunungan
Yoga Nganjuk,1,2 tahun lalu,Sedikit berusaha
Basir Ari,2,2 tahun lalu,Pagar nusa ngetos luar biasa
Nur Fajar Arief,5,2 tahun lalu,Salah satu situs sejarah
Gajah Abuh,1,2 tahun lalu,"SANGAT MENGECEWAKAN !!!

Tiba di sini sabtu jam 9 pagi. Gerbang candi terkunci. Tidak ada penjaga. Tidak …"
A. Robbi Yulianto,5,2 tahun lalu,"Salah satu peninggalan sejarah di bumi Nganjuk, tepatnya di wilayah kecamatan Ngetos sama dengan nama candinya"
Dewi Khom,5,2 tahun lalu,Candinya terletak di perkampungan penduduk.
Adit Pramana,5,2 tahun lalu,Situs cagar budaya warisan leluhur yg wajib kita jaga demi kelestarian.
Ahmad Rofi Uddin,4,2 tahun lalu,"Candi dgn hiasan kepala kala yg unik dan menarik, sayang sekali kondisi candi ini seperti kurang terawat padahal salah satu ikonik Kab Nganjuk."
Fajar Vianto,5,2 tahun lalu,Bagus bersih tempatnya
Reno,3,2 tahun lalu,Tempat yang tenang
Eko purwanto,4,Diedit 2 tahun lalu,"masih natural, sayang sekeliling candi tidak ada penghijauan ."
Sigit Purwadi,4,2 tahun lalu,Suasana segar di lereng gunung
Yahya Kebunpao,5,2 tahun lalu,Tempatnya indah dan lokasinya di dataran tinggi
mux mux,5,2 tahun lalu,"Candi ngetos, candi yang terletak Desa. Ngetos Kecamatan Ngetos atau sekitar kurang lebih 12km dari Kota Nganjuk, dibuat pada abad ke-15 yaitu pada zaman kerajaan (Majapahit). Dan menurut perkiraan, candi tersebut dibuat sebagai tempat persemayaman abu jenazah Raja Hayam Wuruk dari Majapahit."
SAYAKTI HADIAN,5,2 tahun lalu,Candi kuno yang bagus.
Lita Zahra,5,3 tahun lalu,Takjub pemandangan indah nya
Nofdy wd30,5,3 tahun lalu,Salah 1 ikon bersejarah Nganjuk peninggalan jaman kerajaan setelah Candi Lor
Djoni Gaffar S.,5,3 tahun lalu,situs candi yg terbuat dr batu bata
Nugroho 703,5,3 tahun lalu,"Peninggalan sejarah yg perlu dilestarikan
👍👍👍 …"
KOPI INSPIRASI CHANNEL,5,3 tahun lalu,Pemandangan Candi Ngetos yang eksotis perlu di Jaga nampak tilas kesejarahannya...
Rudy Prayitno (Rudy SP),5,3 tahun lalu,Candi yang merupakan peninggalan kerajaan Majapahit ini dengan ciri terbuat dari batu bata merah dengan tinggi 10 meter. Candi ini merupakan penyimpanan abu jenazah raja ke-empat Majapahit yaitu Hayam Wuruk. Kondisi hiasan candi tinggal …
