name,rating,date,text
Dadang Setiawan,5,3 hari lalu,"Bagus,jalan sudah enak"
Bayu Nugroho Adi,5,2 minggu lalu,Sejuk...fasilitas ok..
Service Elecktro Pak Gun gunawan,4,2 minggu lalu,"Air terjun yang indah dan tinggi, tapi penuh perjuangan untuk sampai tujuan jika naik MOTUBA"
Tina Widyaningtiyas,5,2 minggu lalu,"Datang ke sini saat hampir gelap,  tapi diberi tahu klo di bawah masih ada orang.  Meskipun kami tidak bertemu siapapun,  kecuali petugas.
Tempatnya mudah diakses dengan mobil,  dan jalur jalan kaki sudah bagus. …"
audry Rafikarani,5,2 minggu lalu,Destinasi yang tak pernah sepii 🥰 …
keyndy,4,2 minggu lalu,"Tempat sejuk, makanan juga harganya terjangkau. Tapi tempatnya sepertinya perlu di maintenance karena lantainya sudah berlumut dan bahaya kalo pas lagi hujan.."
sake sakoera,5,4 minggu lalu,"Pengalaman yang menyenangkan
Sayang datang pas hujan"
Naraya Kirana,1,sebulan lalu,"disuruh parkir jauh dari lokasi (± 2 km) mana jalannya naik , dan ada ojek tp gabisa dipanggil untuk jemput , buruk bgt (1 januari 2026)"
Ai Suryani,5,sebulan lalu,"Perjalanan menuju Air Terjun Sedudo ini berkelok-kelok.
Tapi begitu sampai, MaasyaaAllah dari parkiran mobil di atas aja sudah kelihatan. Tinggi air terjunnya.. dingin sekalii airnya."
Rinda Kharisma,5,sebulan lalu,"Air Terjun Sedudo merupakan salah satu destinasi wisata alam yang terkenal di daerah Nganjuk. Keindahan air terjunnya menawan, dengan aliran air yang jernih dan deras, dikelilingi pemandangan alam yang hijau dan asri. …"
Arif Nur,5,sebulan lalu,"air terjunnya istimewa, tinggi bangeeett. pas di bagian atas ada kabutnya, sumpah itu keren bgt, kayak g ada ujungnya 👍👍.
perjalanan cukup menantang, ada 1 tanjakan yg lmyn ekstrim. weekend g terlalu …"
lina nuvita,4,sebulan lalu,Tempatnya nyaman bagus..rame kalau kesini mesti yg dcari nasi jagung sama gorengan 😍 …
Reyllen afrylla Reyllen,4,2 bulan lalu,"Wisatanya sih bagus. Cuma makanan sosis bakar itu aja sih yang mahal banget, masa 3 tusuk sosis 50 rb. Entah beneran harganya atau di mahal mahallin"
Sita Innah,5,2 bulan lalu,Seruuu bngett dingin sejukkk enakkkk pokoknyaa jadi pngen kesini lagiiii
Suswanto Trinugroho,5,2 bulan lalu,"Tempatnya keren, poll."
Adit RejoWilis,5,2 bulan lalu,suasana sangat sejuk dan terawat..
Hanis Ary,5,2 bulan lalu,Viewnya baguus
Mimin Qhusnul,5,3 bulan lalu,"tempatnya sekarang banyak di bangun y gaes.. lebih aman kalo mau mandi ..ada kolan d utara pas air terjunnya .. makananya jga enakk2 ,mulai menu desa sampai makanan instan"
Apriyanti Sekarningrum,5,Diedit 3 bulan lalu,"Recomended

Air Terjun Sedudo bukan sekadar air terjun biasa—ini adalah destinasi yang …"
Mung Amarindro (Munks mung),5,3 bulan lalu,Kendaraan dan driver harus fit dan pengalaman
Putut Setiadi,5,3 bulan lalu,"Bagus tapi sayang sudah ga boleh masuk air terjun, di Pagari jadi malas main lg"
Dian Eko Susilo,5,3 bulan lalu,"Masya Alloh air terjunnya indah banget, tinggi dan suasananya masih alami. Tenang bisa pakai kendaraan kok sampai ke air terjunnya. Jalannya aspal dan mulus"
Yusuf Gunawarman,5,3 bulan lalu,@Nganjuk.
Umaroh,5,3 bulan lalu,"مشاالله
keren dan indah"
netizen pd,5,3 bulan lalu,"Air terjun nuansa supranatural 🙂 terletak di Desa Ngliman Kecamatan Sawahan, Kabupaten Nganjuk, Jawa Timur. Jaraknya sekitar 30 km arah selatan ibu kota kabupaten Nganjuk. Berada pada ketinggian 1.438 meter dpl, ketinggian air terjun ini …"
Ivan Prayoga,5,Diedit 4 bulan lalu,"Air Terjun Sedudo memiliki pemandangan indah dengan air yang jernih dan udara sejuk. Suasananya tenang, cocok untuk melepas penat. Aksesnya mudah dan bisa menjadi pilihan wisata keluarga. 👍🏻 …"
Bambang Pujir,5,Diedit 4 bulan lalu,Bagus suka merasa bersyukur
bagus lukito,3,4 bulan lalu,"Jalan menuju lokasi sdh bagus,pgn ngajak renang anak saudara tmn tp syng pembagunan blm clear"
Riski Rama,1,4 bulan lalu,pelayanan sangat tidak ramah🙏🏼 …
kayo,4,4 bulan lalu,"kesini gara"" bete sama orang .. dan ternyata emng akga bisa nikmatin air terjun"
Delfa Oktaviana,1,4 bulan lalu,"untuk air terjunnya sqngat bagus , cuma org"" yg jualannya ky memaksa jd kurang nyaman"
Rahul Mahara,5,4 bulan lalu,Kuis
Efan Adian,5,5 bulan lalu,"Wisata air terjun yg cukup mudah dijangkau, kendaraan bs sangat dekat masuk ke area ini."
asror bangsri,5,5 bulan lalu,Hawa  sejuk..sayang  sudah  diperbolehkan mandi
Noviana Nur Padwinda,4,5 bulan lalu,"terakhir kali saya kesana tempat nya bersih, sejuk, disana banyak jajanan dri warlok² murah² juga. monggo dilarisi"
Febry E Wahyuni,4,5 bulan lalu,"Jalan menuju lokasi berkelok2 dan menanjak, disuguhi pemandangan indah
Sepii banget pas kesana cuma beberapa pengunjung sja
Masih dlm proses perbaikan jd tdk bisa main air
Tiket masuknya 10rb/orang + parkir mobil 5rb"
Maulina Damayanthi,5,5 bulan lalu,"Kesini habis ada acara kondangan di saudara nenek ku di nganjuk, tempatnya dingin, vibes nya alam, harganya murah, pokok e penakk makanan atau snack di area sedudo murah lagi.."
Andri Cahyono,5,5 bulan lalu,Udara segar... mampir minum jahe panas Joss.. tambah ubi goreng mantap
Arif Mansyuri,5,5 bulan lalu,"Air Terjun Sedudo Sekarang sudah bertransformasi menjadi wisata alam yang lebih baik dan tertata rapi.
Lebih baik dari yang ada di malang/coban rondo. …"
Andrey,5,5 bulan lalu,Top
Demy Allam Sahati,4,6 bulan lalu,Sayang kurang penerangan
Iman auliadin,1,6 bulan lalu,beli kaya gini doang habis 60 ribu mending beli diluar air terjun nya aja hati hati kalo mau beli makanan yang gaada daftar harganya mending Tanga harga nya aja sampe di jawab saya kemarin hari Sabtu kesana tanya harga buat Makana sam minuman nya baru di jawab setelah tanya 3x baru di jawab
Holy,5,6 bulan lalu,"Air terjun nya bagus banget, banyak kuliner nya juga"
oktania yefa putri,5,6 bulan lalu,"Awal juni 2025, akses ke sini jalan cukup bagus tapi ada jalan yang menikung sambil menanjak jadi harap berhati-hati, akses dari parkiran ke air terjun ada tangga menurun yang cukup lebar dan tidak terlalu jauh di area air terjun banyak …"
Riky Raya,5,6 bulan lalu,Cukup di atas 😁 mau turun takut ga kuat naik.. long trip.. jakarta _ nganjuk …
Abidin Sby,5,6 bulan lalu,"udara nya sejuk, air nya bersih .. enak banget sekitar nya masih alami.. cuma rute nya aja yg agak was"" apalagi pas musim hujan.. smoga tambah bagus pengelolah nya.. pokok nya wajib mampir kalau lagi liburan di ganjuk.."
Putri Diana,5,6 bulan lalu,"untuk sampe ke air terjun ga perlu perjalanan lama, kebawah langsung tepat depan air terjun , bersih"
restu mumpuni,5,6 bulan lalu,Tempat wisata recommended di nganjuk. Pemandangannya indah dan adem.
Guris Setiawan,5,6 bulan lalu,airnya jernih sangat bagus...mantap untuk tempat rekreasi
Nià Lyonerè,5,7 bulan lalu,"air terjun sedudo sangatlah bagus, rekomend bgt buat kalian yg mau ke sana"
yuli Ramelan,5,7 bulan lalu,"Perhatikan kondisi kendaraan yang dipakai menuju lokasi ya, harus kuat tanjakannya yang ekstrim."
Jessica E,5,7 bulan lalu,"Air terjunnya sangat bagus, jalannya sudah sangat mudah hanya saja tangganya lumayan tinggi. Udaranya sejuk, nyaman, bawa anak 1 tahun juga aman, banyak orang jualan makanan di sana"
najwa Az,5,7 bulan lalu,"setelah hampir 7 tahun baru kesini lagi ternyata udah banyak kemajuan, dan lagi asi jagungnya enak dan murah pwollllllll"
zahrayara,4,7 bulan lalu,"kesini karna ortu pengen muter2 ga jelas dan berakhir nyari air terjun, awal ke sini deg deg an karna ya jalannya seperti biasa naik turun (biasa gunung) dari tempat parkiran mobil sama air terjun lumayan jauh jadi harus nyewa sepeda motor, …"
Ripan Ripan Aditiya,1,7 bulan lalu,"Pemandangan bagus , tapi penjaga di locket sangat tidak ramah"
Ahmad Faruk,5,7 bulan lalu,Yuk dibuka lagi yukk gerbangnya biar pedagang pada semangat jualan
Ahmad Ma'mun Daroini,5,8 bulan lalu,"Sangat sejuk, sangat cocok sebagai tempat menghilangkan rasa penat bekerja dan meresapi keagungan ciptaan tuhan."
Ari Anti,4,8 bulan lalu,"HTM 10K ojek 30K (naik-turun) bagus pmandangan y air trjun jg sgt indah
tapi sayang yg dibawah biasa buat anak"" main air itu tempat ny sangat licin sangat mbhyakn kmrn orang dewasa sj bbrp ada yg trpeleset fasilitas toilet cukup bersih harga mamin trjangkau"
MYusufMaulanaH Yusuf,5,8 bulan lalu,"Sudah berkali2 kesini dan ngga bosen, aksesnya bagus, lokasi air terjunnya sangat dekat dengan area parkir, saran jangan berkunjung waktu hujan deras dikarenakan rawan longsor"
Ohm Bas,5,8 bulan lalu,Air terjun fenomenal di Nganjuk..yukk gass nasi jagung dan nasi jagung ada disini juga..
Kartika Putri,5,8 bulan lalu,"di tempat ini hasil fotonya sangat bagus dan memuaskan,serta lokasi nya yang sangat strategis"
MMF,5,Diedit 8 bulan lalu,"Berikut adalah review dari kunjunganku ke Air Terjun Sedudo, Nganjuk.

Kelebihan : …"
Dap Ady,4,8 bulan lalu,Air terjun yang sudah terkenal di kabupaten Nganjuk dan sekitarnya. Akses ke lokasi juga mudah. Di lokasi banyak pedagang makanan dan minuman. Namun harap hati-hati terutama di musim penghujan.
Ahass WADUNGASRI,5,8 bulan lalu,Cuaca dingin yang bagus
Titin Bjn,5,8 bulan lalu,air terjun bagus tempat nya sejuk pemandangan indah
Mbah Jin,5,8 bulan lalu,Cuman bisa buat selfee atau foto2x aja
nicky minaj,5,8 bulan lalu,"Air Terjun paling populer di Nganjuk, tempatnya bagus dan sudah modern, sangat cocok bagi orang yg suka mager. Jalannya bagus sampai ke parkiran, dari parkiran uda kelihatan air terjunnya, tinggal menuruni sedikit anak tangga uda sampai di …"
G. Gunawan,5,9 bulan lalu,"Baru kemarin sekeluarga besar main ke sana karena kebetulan ada acara di dekat Sedudo, pakai hiace dan XL7, selama perjalanan menuju parkiran mobil jalanan naik turun cukup curam tp masih bisa di lalui, setelah parkir sudah terlihat air …"
Mash Mun,5,9 bulan lalu,Sejuk
Subiyanto Bian,5,9 bulan lalu,Untuk yg cari suasana sejuk dengan pemandangan alam bisa kemari
Bombom fernando,4,9 bulan lalu,"Tempatnya sudah mulai suram dan ga seindah di tahun 2021 pas aku kesana, dan arah watu lawang juga dulu indah buat foto2 sekarang kaya ga keurus"
Sagitarius -,5,9 bulan lalu,"Ngak bisa mandi di air terjun ,jauh jauh dilarang"
Mara,5,9 bulan lalu,"jalannya udah bagus mulus, ga terlalu nanjak kaya dulu. 1 motor 2 orang bayar 34k. warung banyak banget, murah-murah juga. if it's cloudy I won't suggest going here because once it's raining you'll be stuck for hours until it stops."
Hermansyah Emir Faisal,1,10 bulan lalu,"Many stupidity smoker in this place, dont bring child under 1 years. Please bring umbrella and rain coat sometime rain cant be predicted in this please."
Yuni Indah Putri,5,10 bulan lalu,"Waktu mendekati lokasi cuaca dingin dan berkabut, air terjun bagus, ada ambulance, polisi serta petugas lainnya, selama menyusuri lokasi tidak melihat sampah berserakan, sepertinya dikelola dengan baik. Harga makanan agak mahal, tapi it's …"
aksal Zilhamsah28,5,10 bulan lalu,Mas mau tanya kalo mau ke sedudo bawa mobil kecil sigra bisa sampe ke atas gak ya takutnya gak kuat nanjak
Rizky Ardiansyah,5,10 bulan lalu,Tempat wisata alam unggulan nganjuk
Fauzan Rifqi Nugroho,5,10 bulan lalu,"Minggu akhir di Maret 2025
Rasa penasaran untuk mengunjunginya sejak tiga bulan yang lalu. Akhirnya kesampaian walaupun suasana masih puasa. Alhasil sepi pengunjung, malah ramai penjual …"
Emi Suyono,5,11 bulan lalu,saya pernah ke sududo naik montor kehujanan makasih su
Dany Kurniawan,5,11 bulan lalu,Pemandangan bagus dan asri
Riski Eka,5,11 bulan lalu,Bagusss pisan e
Nopinta Sigit Widodo,5,11 bulan lalu,Satu2nya tempat wisata recommended di nganjuk
Muhammad Abib,5,setahun lalu,Enak banget sejuk tempatnya saat di pagi embun nya bikin syahdu rekomended banget buat pariwisata bagus sedudo love banget
wanmill22 sweetblack,5,Diedit setahun lalu,Dingin...oke
Aud Silahuddin,5,setahun lalu,Tempatnya dingin.
Ulfa,5,setahun lalu,"Air terjun ini memiliki ketinggian sekitar 105 meter. Suasana asri, ada tempat untuk nongkrong, atau kalau mau duduk di bebatuan besar di sekitar situ juga bisa sembari main air. …"
zidane anggara,4,setahun lalu,View e buagus walau akses e agak sulit dikit
Arfan Riyansah,5,setahun lalu,Pertama kali kesini langsung terkesan dgn suasan nya disana
Anis Diah,5,setahun lalu,Tempatnya sangat sejuk dan menenangkan
Muhammad Tazakka,5,setahun lalu,"Hawanya Sejuk Pollll, harga makanan dan minuman Tidak mencekik ... Selisih dikit itu wajar ...."
Budiono Setio,5,setahun lalu,Keren 👍 …
Lili Irawan,4,setahun lalu,"Bagus tempat nya, harga makanan nya cukup terjangkau juga. Tapi jalan nya serem cuy + kamar mandi nya agk kotor. Sosis bakar disana agk mahal menurut ku krna 15k/sosis …"
SUMINTO UNTUNG,4,setahun lalu,sejuk..bersih...nyaman....
No name Una,5,setahun lalu,Joss dg hiburanya
Nova Sri Hartati,4,setahun lalu,"Belum sampai di air terjun karena jalan utk mobil ditutup, kebetulan musim duren jadi cukup cicipi duren kang heri"
Uswah Khasanah,5,setahun lalu,"Rute menuju air terjun sudah mulus, makanan murah2, penginapan bersih. Kpn2 pasti akan datang lagi"
Xerxath Adagioo,5,setahun lalu,"Kesana pas habis lebaran 2024. dulu th 2018 masih boleh mandi dibawah air terjunnya, sekarang udah dibatasin, infrastrukturnya udah bagus, cuma pas masuk kedalam lagi tempat-tempat semacam ruko buat jualan banyak yg terbengkalai, mungkin …"
salih erdem,5,setahun lalu,Kamal and supervisor Jamal services by amazing ❤️👌 …
Mbuh copo,4,setahun lalu,"Kesana pas hujan jadi agak sepi,tp tetap menyenangkan😊 …"
Saiful Arif,4,setahun lalu,"Lumayan bagus dan nyaman buat refresing, sego ampok e ngangeni"
iswanto Sudrajat,5,setahun lalu,setelah kejadian ada yang tertipa ranting pohon ditutup tidak boleh masuk
Makhfud Khoirudin,5,setahun lalu,"Airnya jernih, banyak ruko² pedagang. Bersih"
Afiat Sukmaraga,5,setahun lalu,air terjunnya ini akan menjadi lebih baik daripada gak tau juga atau besi beton polos yang paling banyak digunakan dalam proses pengembangan bisnis sampingan di dalam waktu singkat Anda perlu tahu tentang pintu kamar di dalam pdip unggul dari ribuan di Indonesia
Rio Wahyu,5,setahun lalu,Beli obat 😃😁 …
Pleng Iyaa,5,setahun lalu,Bagus banget adem sejuk banget mandi di sini sering berkunjung di sini
muntiani muntiani,5,setahun lalu,Bagus pemandangannya
Wibowo Family AEKAKA,5,setahun lalu,Sejuk.air terjun tinggi banget ketinggian 106 M.ada kolam buat mandi atau berendam. Jalan menuju lokasi cukup menantang.
Agth Elisa,4,setahun lalu,"Kesini di hari Kamis sekitaran pukul 06.30, jalannya sedang diperbaiki jd saya sangat berhati hati mengendarai motor saya. Sedikit kecewa karna gate nya baru dibuka sekitar pukul 07.20 an. Tiket masuk 24.000 untuk 2 orang, sudah termasuk …"
Pujo Suprapto,5,setahun lalu,Representative
Yeyen Fitria,5,setahun lalu,tidak bisa semedi mencari ilham dibawah air terjun s perti dulu lagi
Febby Cristina,5,setahun lalu,Baprik sangat memuaskan custumer
Suharno Ngetren,5,setahun lalu,Sejuk
lutfi isnanto,5,setahun lalu,Asik
Indah Yuliatin,5,Diedit setahun lalu,Bagus
Alfathir Ageng Pranata,5,setahun lalu,"Tempatnya asri & alami , sejuk indah banget , saya suka berkunjung kesini , meskipun tempatnya jauh , tp keren 👍🏻👍🏻👍🏻👍🏻 …"
az har,3,setahun lalu,"Datang blm ada yg jaga,pas keluar ditarik uang tanpa dikasih karcis"
Farid Muhammad Iqbal,5,setahun lalu,Suasana di sekitar Air terjun sangat sejuk dan tenang sambil menikmati jajanan yg di jajakan penjual di sekitar air terjun yg harganya terjangkau.
Gebriyan Gebriyan,5,setahun lalu,Nice 👍 …
Rama Setiawan,5,setahun lalu,Bagus
Kiki Fatmawati,5,setahun lalu,"Masih tetep asri kaya dulu,cuma weekend kemarin agak sepi kisaran jam 9-11siang, untuk kuliner harga terjangkau juga cuma banyak yg tutup ya🙁HTM 17.000/orang dewasa, sarannya jagan bawa kendaraan motor metic beat/scoopy yg ga kuat buat …"
HK KOTA BAYU NGANJUK HAMKA CHANEL,5,setahun lalu,Asik. Adem. Sejuk. Nyaman
Yusfrina Apri Puspita Sari (Frina),5,setahun lalu,"Masih sangat alami, suasana segar, ada stand makanan tradisional di sekitar air terjun. Tangga menuju lokasi tidak terlalu jauh dan curam."
Novi Kurnia Lestari,5,setahun lalu,"Datang pas weekend, hari sabtu. Sampe sana siang, masih ga terlalu rame menjelang sore lumayan bnyak pengunjung. Bagus tempatnya, tpi sayang gerbang yg mau mendekat ke air terjun ditutup dan digembok. Alhasil harus mlipir2 lewat pinggiran …"
Asminah As,5,setahun lalu,Mamtap
Seno Limbuks,5,setahun lalu,Recomended buat ngadem
iwan budianto,5,setahun lalu,Keren....sipp
Abdul Wakhid,5,setahun lalu,mantab hawane dingin airnya segerrr
Aiyra Aiyska,5,Diedit setahun lalu,Tempat wisata yang sangat alami indah dan penuh tikungan tanjakan
Fadlie ED,5,setahun lalu,Air terjun alami nan indah
Moh Irvanto,5,setahun lalu,Istimewa
Riyah Fahriyah,5,setahun lalu,Sejuk
Aris Roker,5,setahun lalu,Enak banget
Bambang Wiyono,5,setahun lalu,Suasana asri dg air terjun yg memanjakan mata.....suuueger seeejuk ws tho pokokE Juuuooo.....s tenan Nda 👍👍👍 …
Y H,5,setahun lalu,View air terjun sangat bagus
Achmad Puguh,5,setahun lalu,"Tempat yg Asri Damai, Tentram dan menenangkan. di iringi suara gemricik nya air jatuh dari gunung liman."
Nanik Sulastri,5,setahun lalu,"Setiap 1 suro selalu ke sini, karena memang se cinta itu"
