name,rating,date,text
Avin Rulia,2,sebulan lalu,"Yang jualan cuma 1. Ngantri nya poll.. males jadinya. Dah capek"" turun eh ngantri bgt"
Wawan Wantooo,5,sebulan lalu,"mantapp, joss lah pokonya"
Emanuel Kurniawan,5,sebulan lalu,Oke
Wawa ceria,5,sebulan lalu,"Bisa live musik

Makanan Terjangkau
Masuk 10 k"
Fitrohtuz Wystaputri,4,2 bulan lalu,"suasananya masih asri, airnya jg segar, cocok untuk berolahraga kardio. bagi yg >60thn tidak direkomendasikan karena tangganya curam, naik turun butuh kaki dan jantung yang kuat. minusnya, pemilihan lagu di warung bawah yang kurang. lagunya sound horeg gak cocok sama sekali dengan suasana yg asri."
Didik Yulianto,5,Diedit 2 bulan lalu,"Di sarankan dari mana saja arahkan map ke ngrambe dulu
pake maps mode mobil...bila tidak pengen nyasar...
Karena banyak yang nyasar pake mode motor"
Doyok Doyok,5,2 bulan lalu,Dari mana saja arahkan map ke ngrambe dulu...baru ke air terjun pengantin...kadang kalau langsung bisa keblasuk....
Ari Sabri,5,2 bulan lalu,"Tempat ini sangat bagus, bersih sungguh suatu rahmat dari Alloh SWT"
Supriatin Supriatin,5,3 bulan lalu,Jogorogo ambil arah ngrambe terus ke hargomulyo  baru ke air terjun pengantin...jangan sampai keliru✋✋
Heru Kuswantoro Kuswantoro,5,3 bulan lalu,Tempat terindah dan ternyaman selalu di hati
Insyii,4,3 bulan lalu,"bersih, karena hari biasa jadu sepii"
Reizki Fitriani,3,3 bulan lalu,Sepertinya kurang pemeliharaan...
Fadillah Fauzy A,5,3 bulan lalu,"KERENNN
tempat pertama kali aku bisa berenang, ayo gays ke sini tempatnya bagus udaranya sejuk poll"
anisa salamah,5,4 bulan lalu,"Akses perjalanannya baik, naik turun tangga sekalian olahraga 👍
Tempatnya bersih, sejuk & asri 🍃
Harga tiket & makanannya terjangkau 🫰 …"
Aditya Prihtanto,5,4 bulan lalu,Tempat yang sejut. Damai. Cocok untuk melepas penat dan kejenuhan...
Hajar Setiawan,5,4 bulan lalu,Sejuk nuansa alami
Robbani Ac,4,6 bulan lalu,jalan menuju lokasi cukup ekstrim .tapi asyik
