name,rating,date,text
Bayu Wiratama,5,17 jam lalu,"Bangunan bagus, klasik sayangnya buka ga ontime"
Ze,5,1 hari lalu,"Bangunan bersejarah yang sudah direstorasi, rapi&bersih, saat masuk langsung terbayang suasana jaman dahulu 😃 Tempat parkir luas. Tersedia toilet di dalam benteng. Tiket masuk @ 10 rb. Tersedia jasa sewa baju adat untuk berfoto. Banyak spot foto estetik. Ada cafe di dalam. …"
Rahmawati Dewi,4,seminggu lalu,"Bagus tertata rapi tempatnya mudah di jangkau tiket masuknya weekday/weekend sama saja, pengunjungnya lumayan ramai"
Diah Ayu Widiastuti,5,seminggu lalu,Suka banget ke sini bareng keluarga
Unun Kholifah,5,2 minggu lalu,"Tempatnya bagus, Deket banget dr tempat bude. Pas kesana hari Minggu pagi tidak terlalu ramai, tp pas mau pulang ternyata banyak yg baru Dateng. Ada tempat nongkrong jg didalem, habis keliling haus n capek BS santai dulu smbil pesen makanan n minuman. Tiket KLO g slh 10k."
Sarwono 88,5,2 minggu lalu,"Berkunjung pada hari Minggu 18 Jan 2026 tidak terlalu rame, HTM 10.000/ orang untuk parkir sepeda montor 2.000"
Prima D. P,4,2 minggu lalu,"Salah satu bangunan lawas yg berhasil direnovasi dan diolah dgn bagus oleh Kab. Ngawi. Bangunan dan sekelilingnya tertata rapi, estetik. Lingkungannya asri dan sejuk, cocok untuk sekedar jalan-jalan. Bangunannya terbilang luas dengan banyak …"
Ben Beno,5,2 minggu lalu,Kebayang jaman dulu Belanda membangun benteng itu untuk apa? Tempat rehat sekaligus mengawasi pejuang RI
Ef Ndi,5,2 minggu lalu,"Resik, terawat
Masih terasa aura zaman kolonial dan perjuangan para pahlawan2 bangsa Sang pemberani"
devi nurmarlianti,5,2 minggu lalu,"Tempatnya bersih nyaman cocok buat mengenal sejarah, disini juga ada tempat penyewaan baju dan fotografer"
dhana p,5,2 minggu lalu,Panas sekali ya 🤣 …
endro wiyono,5,3 minggu lalu,Salah satu situs peninggalan sejarah milik bangsa yg perlu dileatarikan
Harri Purwanto,5,3 minggu lalu,"Salah satu tempat mempelajari sejarah, benteng militer dan barak tentara Belanda jaman dulu yg megah. Sudah direstorasi di tahun 2022."
Alia Isvi,5,3 minggu lalu,"Bangunannya sudah direnovasi tentunya. View-nya bagus, aesthetic untuk foto-foto, dan ternyata bangunannya banyak dan sangat luas."
Agung Pribadi,5,3 minggu lalu,"Mengunjungi Benteng Pendem Ngawi memberikan pengalaman unik menyatu sejarah kolonial dan modern, terasa seperti melangkah kembali ke masa lalu lewat lorong-lorongnya yang eksotis, lengkap dengan suasana mistis peninggalan Belanda yang kini …"
Asep Saifudin,5,4 minggu lalu,Best Place in Ngawi
Bagus Raditya,5,4 minggu lalu,"Benteng Van den Bosch di Ngawi adalah salah satu destinasi yang mungkin terlihat sederhana dari luar, tapi justru menyimpan pengalaman yang surprisingly menyenangkan dan penuh konteks sejarah. Begitu tiba di area benteng, kesan pertama yang …"
Tri Antini,5,4 minggu lalu,Peninggalan sejarah jaman belanda.Bagaimanapun bangunan2 peninggalan belanda selalu membuat takjub kita sampe detik ini.apalagi menyusuri benteng ini membuat kita bisa membayangkan kehidupan dan kegiatan d sana di masa lalu
puspita hand,5,sebulan lalu,Cocok untuk wisata bersama keluargadengan suasana  bangunan jaman belanda
Ninad Deshpande,4,sebulan lalu,Very well maintained and restored to original facade. Great to imagine the glory of this fort.
Harris Wibowo,5,sebulan lalu,Bagus & bersih. Tujuan wisata sejarah yg relatif baru u masyarakat sekitar Ngawi.
Fitri rahmawati,4,sebulan lalu,tempat oke untuk rekreasi. banyak spot foto dan tentunya bisa menambah wawasan disini
Suparman Supatmi,5,sebulan lalu,Sangat indah sekarang
Retno Prasetyo,5,sebulan lalu,Bagus
ratih dwilestari,5,sebulan lalu,Tampak bagus sekali setelah direnovasi...
Aulia,5,sebulan lalu,"Beberapa tahun lalu kesini masih bangunan lama. Dan kemudian akhirnya di penghujung 2025 saat mudik dari Jakarta, mampir bawa anak2 Benteng Van Den Bosch. Banyak banget perubahannya 😍. …"
Eshan Izdihara,4,sebulan lalu,Bentengnya jadi bagus setelah di revitalisasi. Di dalem isinya foto2 semua tapi tetep kerasa nuansa kolonialnya. Diluar banyak warkop kalau laper.
Ananta Kharismadi,5,Diedit sebulan lalu,"Pemugaran cukup berhasil mengembalikan bentuk asli benteng, tempat menjadi lebih nyaman. Tempat di luar benteng masih perlu diperbaiko"
Nurvita Sari,5,sebulan lalu,"bagus, bersih dan murah meriah"
Alfiani Nurfitrotin,5,sebulan lalu,serasa flashback ke masa pemerintahan belanda. aksesnya sangat mudah dr kota. fasilias didalam ada rental foto beserta kostum. ada coffeshop. tempatnya sangat estetik bisa buat foto prewed atau sekedar  photoshoot keluarga
Joe Rembang,4,sebulan lalu,"Bagus, blm lengkap"
Novie Rurianingsih,5,sebulan lalu,salah satu peninggalan sejarah yang dilestarikan dengan baik. tiket masuk 10rb per orang dan parkir mobil 5rb. buka jam 8 pagi masih agak sepi.
Shyntia Primasari,5,sebulan lalu,"Super keren ..
Bangunan kuno yang benar-benar dirawat dengan baik .. …"
Raymond Maulany,5,sebulan lalu,Bangunan bersejarah yang wajib di kunjungi. Sudah di renovasi tahun 2019. Menjadi tujuan wisata sejarah dengan bangunan kuno yang unik.
har tiyo9,5,sebulan lalu,"sangat menyentuh hati .. hindiq belanda sangat perfeksionis, kalau konoha perfect merusqknya"
Permata Sari Dyah,5,sebulan lalu,"Tempat yg bagus utk foto², ada persewaan baju adat atau noni belanda, cafe nya menyediakan minuman hangat, jus dan bbrp camilan serta makanan berat.."
Ray Maulany,5,sebulan lalu,"Wow. Sudah direnovasi dwngantbaik. Bisa jadi tujuan wisata sejarah edukasi. Tempatnya keren dan nyaman, mana deket dengan tol Jawa"
