name,rating,date,text
nadin putri nabila,5,3 minggu lalu,"tempat langganan buat bakar bakar sama sirkel agg, joss bgt tempatnya adem😋 …"
Egiksagitta22,5,3 minggu lalu,"Suasananya sangat keren, ya?"
aim Story,5,sebulan lalu,keren bagus
Lulu Izahrotul Istiqomah,5,5 bulan lalu,kak kalo ngecamp bisa gak ya?? kalo bisa  biayanya berapa??
Elmi Aidah Nasution,5,7 bulan lalu,"Tempatnya masih sangat asri, ada air terjun, sungai , pepohonan pinus, terdapat fasilitas mushola, kantin² dan wc umum."
Tiana Kusumaningrum,5,9 bulan lalu,Ada kolam renang dan spot foto
Sanim Mulya,5,Diedit 10 bulan lalu,Tempat yg nyaman...😊🙏🏻 …
Win Narto,5,10 bulan lalu,Indah dan Asri
santo _86,5,11 bulan lalu,Suasana alam terasa asri
dinis bena,5,setahun lalu,"Alam yang masih asri dan alami
Bisa untuk camping"
Hilmi Uulul Azmi,2,setahun lalu,"Kurang dikelola dengan baik, petunjuk menuju air terjun tidak jelas/tidak ada"
Siti Khotijah,5,setahun lalu,"Bagus koq tempatnya  ..ada kolam renang anak"" yg jelas tempate adem"
ibranesa nissreyasa,3,setahun lalu,"bersih tapi dr segi keindahan kurang menarik. kurang eye catching.

tapi ya karena murah jg sih ya, tiket masuk hanya 3000 rupiah per orang. dan untuk tiket masuk ke tempat berenang hanya 5000 rupiah per orang."
Q Demank,5,setahun lalu,Tempat yang indah untuk dikunjungi. Sejuk dan cocok untuk menenangkan pikiran.
Achmad Andi,5,setahun lalu,"Htm murah. Terdapat kolam renang, toilet, warung makan dan minuman, gazebo. Sering digunakan untuk acara kemah sekolahan"
Linda Kristiana,3,setahun lalu,"Jumlah toilet tidak sebanding dengan kapasitas pengunjung, cukup merepotkan.
Tempat ibadah kurang terawat."
Ismiati Ismiati,5,setahun lalu,"Tambah bagus, ada kolam renangnya jg, bedajauh dgn dlu thn 2000 an"
Althaf Gentenar,5,setahun lalu,"Adem ayem sungai yg jernih.
Alhamdulillah."
edi supangat,5,setahun lalu,Seloondo adalah tempat yang keren.
rahma new yearika,5,2 tahun lalu,"kesini buat camp waktu jaman SMA, seruuuu kgn bgttt"
7428 Bayu Tri Prasetyo,5,2 tahun lalu,"Baguss
Nuansa hutan pinus yang asri dan ditambah kolam renang dengan air yang dingin asli dari sumber, sangat cocok untuk berlibur bersama keluarga ataupun pasangan
Ditambah sekarang ada kursi nyeni dan atv walau belum ada rute yang permanen"
hanif prasetya,4,2 tahun lalu,"Tempat wisata yang menyediakan area ""hutan pinus"" dan kolam renang. Masuk area hanya 3rb per orang. Masuk kolam renang tambah 5rb per orang. Airnya segar, dingin. Ada area parkir untuk mobil dan ada penjaja makanan juga. Lumayan bagus. Ke depan perlu optimalisasi layanan parkir dan kebersihan area kolam."
Kabar Timur Gunung,5,2 tahun lalu,Family vacation
Rian Kecil (Ryan Honda),3,Diedit 2 tahun lalu,Event
RIAN JUNIANSYAH,5,2 tahun lalu,destinasi selanjutnya untuk esok hari
nawa intiariska,5,2 tahun lalu,"Tampat sejuk, asri. Cocok buat ngumpul ngumpul, bisa camping juga"
Novria Dedy Asihanto,5,2 tahun lalu,"Ada taman bermain, ada sungai buat keceh, haha."
Survive Outbound,5,2 tahun lalu,Cocok buat kegiatan outbound & fun games
Kang Zee,5,2 tahun lalu,"Tempatnya sejuk dan asri
Berada di pinggir sungai besar aliran dari gunung lawu"
GAMADI PARWATA,5,2 tahun lalu,"Lokasinya asik untuk keluarga apalagi yg suka berenang.
Di sediakan kolam renang untuk anak dan orang dewasa.
Tempatnya sejuk dan HTMnya juga tidak menguras kantong."
Nita sari,4,2 tahun lalu,Tempatnya bagus
wathieq mitaa Nabilah assaffa,5,2 tahun lalu,Seruu
