name,rating,date,text
Nini Borneo,5,4 minggu lalu,"Kebun Teh Jamus di Ngawi adalah destinasi agrowisata yang menawarkan panorama hijaunya lereng Gunung Lawu, udara sejuk, dan fasilitas lengkap seperti jembatan kayu untuk berfoto, area bermain, kolam renang, glamping, serta tur ke pabrik …"
Gorlami Sugiono,5,3 bulan lalu,Tempat wisata berupa perkebunan teh. Masuk bayar 15 ribu tapi sudah dapat fasilitas cukup bagus dan tidak perlu bayar parkir lagi. …
Ida wara Harimurti,5,4 minggu lalu,"Kebun teh Jamus lereng gunung Lawu tempatnya sejuk dingin . Enakk jugaa buat nongkrong² sama teman ,keluarga .
D kebun selain itu menyediakan ada kolam renang,tenda dan penginapan . …"
Reny Damayanti,4,2 bulan lalu,"Wisata kebun teh berada di area Ngawi, untuk masuknya anda akan dikenakan tiket masuk seharga Rp.15000 dan akan diberikan produk teh hasil produksi Jamus. Terdapat banyak area terbuka untuk menikmati pemandangan dari ketinggian. Terdapat …"
Evan Waskhita,5,3 bulan lalu,"Lumayan jauh kalau dr madiun
Tp akses jalan sampai lokasi sudah bagus, papan nama petunjuk juga mudah ditemukan …"
Sefiyana Sefiyana,5,3 bulan lalu,"Viewnya 😍 kalau malam dingin banget. Glamping 350rb include HTM, sarapan dan spot wisata di Jamus. Sangat worth it sekali …"
Widya Pratini,5,2 bulan lalu,Bagus tempatnya sejuk banget. Biaya masuknya 15k sudah free 1 kotak teh jamus
Insani Miftahul Janah,5,7 bulan lalu,"Masuk sini bayar 15 ribu. Di dalamnya ada kebun teh, pabrik gula (tidak boleh masuk), glamping, kolam renang, penangkaran rusa tutul sama sumber air. Untuk harga segitu dengan area wisata yang cukup luas lumayan worth it. Tapi pas dari …"
Dewi Wahyuni,5,3 minggu lalu,"Kebun teh yang ada dilereng gunung Lawu. Tempatnya adem, sejuk, airnya nyesss adem banget. Kapan2 nyobain camping disitu."
Ruang Alim,5,4 bulan lalu,"Sudah dengar sejak dulu kalo Ngawi ada kebun teh
..akhir ny kesampaian juga kmren sama teme2 kesana di luar ekspektasi siiih tempatnya camping sangat sejuk , nyaman, indah, adem, bersih n yang pastinya bisa memberikan ketenangan..Insya Allah ain kali pasti saya kesana lagi.."
Eka Anggraini Puspitasari,5,sebulan lalu,"Untuk naik kesini jalannya cukup curam, jadi pastikan kendaraan dalam keadaan baik.
Udaranya sejuk, banyak penjual makanan, warga sekitar ramah banget. Kapan2 pengen balik kesini lagi."
Bethari Annichlah,4,6 bulan lalu,"parkiran cukup luas, cocok untuk bersama rombongan. sayangnya, di area kebun teh yang ada jembatan kayunya agak gersang. selain ke kebun teh, disini juga ada kolam renang untuk anak-anak dan konservasi rusa. suasana disini menyejukkan sekali dengan pemandangan yang cantik."
Jihan Tsabita,5,6 bulan lalu,Rekomended untuk yang mau camping dan bikin acara kekeluargaan. Suasananya asri banget dan suasana sejuk hampir dingin. …
Deby Firnanda,5,2 bulan lalu,"Tempatnya nyaman, disarankan berkunjung pas tidak musim hujan"
Rahmadhani Magfiroh Fitamami,5,6 bulan lalu,"Sudah dari smp berkali2 kesini nggak pernah bosen 😅 padahal sekarang sudah punya anak 1, semakin berkembang kok, syahdu banget menikmati pemandangannya disini, kesini hari jum’at-minggu insyaAllah rame ada temennya, tp kalau hari aktif …"
Diana Masykuriyah,5,sebulan lalu,"Rekomended sih bagi orang yang pengen refreshing, soalnya tempatnya bikin suasana jadi adem dan nyaman, apalagi klo datengnya bareng temen-temen satu kelas. Seru pokoknya"
Novita Rizky,5,8 bulan lalu,"tempatnya lumayan rame, cuman spot fotonya sedikit ya, dan harus antre. toilet ada, parkir juga luas, yang lucu lagi ada kandang rusa disini, jadi cocok buat keluarga yang mau liburan budget pas-pasan. lokasinya cukup jauh dari kota, jalannya banyak yg berlubang, jadi hati-hati kalo pas hujan."
Wijaya Jati,4,8 bulan lalu,"Tempat rekreasi dilereng Lawu sebelah Utara,hawanya adem,sejuk suasananya tenang, HTM 15rb/orang dapat 1 box kecil teh hijau, jalan agak naik, lokasi lumayan tinggi,sering berkabut, ada tempat camping nya, tersedia mushola dan toilet, air jernih dan dingin, banyak warung kecil/pedagang , ada kandang rusa."
Elviera,5,sebulan lalu,"Bagus banget asri, adem, sejuk. Cocok buat refreshing setelah penat"
