name,rating,date,text
Endri Rini,5,1 hari lalu,MasyaAllah dah hampir 26 tahun ya saya blom ksana lagi saat ini. Ternyata dah indah sekali tempat musium Trinil di ngawi. Subakanallah😊🙏🤲✌ …
dhana p,5,2 minggu lalu,Liburan sambil belajar
Radix Kristiarko,5,Diedit sebulan lalu,Pengalaman baru bagi keluarga yang mengunjungi museum ini.
Xaveria Yunita,4,sebulan lalu,"Museum Trinil sangat berguna untuk menambah wawasan tentang asal-usul manusia, binatang purba. Suasana asri dan bersih, fasilitas lengkap ada toilet, mushola dan kantin. Mungkin perlu diadakan banyak acara interaktif dan edukasi untuk menarik lebih banyak turis maupun pelajar."
Fajar Mashudi01,5,sebulan lalu,Bagus utk edukasi anak. Tempat lingkungan teduh nyaman. Bersih jga. Tiket murah poll . 2 dewasa+1 anak + parkir mobil total 14 rb saja.
kiky zaxura,5,sebulan lalu,dtng pas hujan..bkin tambah syahduu...
Kok bisa Bang,3,sebulan lalu,Memang betul yang dikelola swasta lebih bagus dari pemrentah
Pegon Jawa (PJ),2,sebulan lalu,Tidak ada kenaikan.
rizal peradin partner,5,sebulan lalu,Terima kasih banyak.
Tawaika Lestari,5,sebulan lalu,Tempat bersih dan nyaman
Sumantri Ira,5,sebulan lalu,Saya perjalanan dari Jogja ke Kediri tgl 25 Desember 2025 dan bermaksud mampir di Ngawi. Apakah museum Trinil buka?
Apriyanto,5,sebulan lalu,kerenn
DWI NUGROHO,5,sebulan lalu,Tertata dengan rapi penemuan gading gajah dan kerangka peradaban manusia. Area mesuem luas banget sampai disediakan Gasebo
anthony rio,4,2 bulan lalu,"Menarik tapi 5 menit masuk, sudah langsung keluar."
Ahmadal Kaafi,5,2 bulan lalu,bagus tempatnya
ahmad fanani,5,Diedit 2 bulan lalu,Bagus
Hendry Kiswanto,4,2 bulan lalu,"Museum bersejarah manusia purba, tempat baguz bersih & rapi
Ada tempat bermain & taman nya cuma kurang terwat"
Agus Jumantono,5,3 bulan lalu,"Museum manusia purbakala jaman dulu kala, sungguh rapi dan terstruktur dalam membuat sejarah dunia ini. Masak nenek moyang manusia adalah seekor kera. Hmmm sungguh menggelikan sekali."
Kiki Ayu Hermawati,4,4 bulan lalu,"Tempatnya kalau sore sepi. Tp ada lumayan gazebonya. Cocok buat ngobrol saama keluarga, temen²"
NchipStick,5,4 bulan lalu,"Tempatnya sepi, tenang, hanya saja koleksi fossilnya sedikit"
Dharma Chakradinata,3,5 bulan lalu,"Informasi di google map tutup jam 4, hari Sabtu sebelum jam 3 ternyata sudah tutup. Jauh jauh kami akhirnya tak bisa masuk."
Nesia bilqis,5,5 bulan lalu,Sejarah dari Trinil sampai Sangiran manusia purba
Oto Ono,3,Diedit 5 bulan lalu,Monggo yg pingn lihat gading purba
MAD ChaN,5,6 bulan lalu,"waktu kesana musium pas tutup, jadi cuma bisa ajak anak berkeliling aja sambil makan pop mei dan es krim contong..."
RAW,4,6 bulan lalu,"Tempat tertata rapi,
Bagus untuk edukasi tentang kehidupan manusia purba 👍👍
Ada koleksi fosil tulang hewan2 purba, manusia purba dll..
Tiket masuk juga terjangkau banget …"
Aira Salsabila,5,7 bulan lalu,"kesini waktu hari libur, sayang banget gabisa masuk ke museumnya. cuma bisa nikmati suasana tamannya diluar yang lumayan bagus juga"
Keyza Tri Arista,5,7 bulan lalu,"Lokasi nyaman, tiket 4k cocok berkumpul bersama keluarga ad pendoponya"
anthony Jinx,4,7 bulan lalu,coba diperbanyak koleksinya mungkin lebih menarik
