name,rating,date,text
tono dzaky,5,seminggu lalu,Mengagumkan. Semoga lestari.
prasetya eka,2,2 minggu lalu,"kecewa di tukang fotonya sih,perlembar 20 rb sedangkan untuk cetakan itu tanpa nanya dulu ke kita mau foto yang dimana.total yang di cetak  10 lembar.yang jadi masalah kualitas hasilnya itu kurang memuaskan untuk harga segitu. …"
Rissa Asmara,5,2 minggu lalu,"Jangan lupa bawa senter dan kipas karena didalam panas dan gelap, tapi tidak perlu kuatir karena didepan ada penduduk sekitar yg menyewakan"
Andrew Young,5,2 minggu lalu,Nice place
BOLANG AGRO MALANG,5,2 minggu lalu,Wisata geologi menarik di pacitan
sailormoon nia,4,3 minggu lalu,Bagus.tapi bikin capek naik turun tangga yg sempit.harus hati2 jalan licin.harus bawa senter
danar suprihasto,5,3 minggu lalu,Tempat yang romantis
Wan Wan,4,3 minggu lalu,tempat wisata must visit di pacitan pengalaman baruu...
Alisya Sutawijaya,5,3 minggu lalu,"kagum banget ternyata se besar itu goa nya, di dalem nya dikasih kipas juga jadi nggk terlalu panas"
Ricky Joo,5,3 minggu lalu,Penuh sejarah dan istimewa
Agustinus Agung,5,3 minggu lalu,"Indah sekali guanya, banyak stalagtit dan stalakmit yang masih aktif disana, ada beberapa mata air aktif juga, untuk masuk disewakan senter dan jasa foto serta pemandu.. sedikit tips Kalau sewa jasa foto anda akan didampingi selama didalam …"
catur edi gunawan,5,4 minggu lalu,"Sebaiknya pakai pemandu biar dapat cerita tentang Goa Gong tsb, dan jadi tahu kenapa namanya Goa Gong"
BUCE DICKY DARMAWAN,1,4 minggu lalu,Pernah pakai jasa foto disini 10 jepret 200rb ... Kapookk !!!!  Cukup sekali saja
Reni Aisyah,4,4 minggu lalu,"Jalan yang bagus sekali... Secara keseluruhan bagus, syukurlah atas ciptaan Tuhan."
ukie rampage,5,sebulan lalu,"Keren,, sungguh mengesankan"
Bayu Noah,5,sebulan lalu,Sangat menyenangkan. Lebih baik bawa senter sendiri atau sewa jasa pemandu saja
Prima D. P,4,sebulan lalu,"Salah satu goa yang berukuran cukup besar yang ada di Pacitan, dengan harga tiket 20.000/orang, sewa senter 5.000, sewa guide 30.000. Jaraknya lumayan cukup jauh dari parkiran, melewati beberapa tingkat anak tangga dan jembatan. Di dalam …"
