name,rating,date,text
Agustina nur hidayah,5,10 jam lalu,"Masya Allah tabarakallah... Pantainya indah sekali. Walaupun waktu ke sini ombaknya lagi besar dan nggak bisa main air, tapi menikmati suasana dengan pemandangannya sudah sangat cukup untuk healing. 😍😍😍😍 Next agendakan ke sini lagi deh pokoknya. …"
Ini Saya,5,sebulan lalu,cocok banget untuk melepas penat
Insani Miftahul Janah,5,sebulan lalu,"Pantai Banyu Tibo punya keunikan air terjun yang jatuh pas ke pantai. Untuk masuk bayar 10rb per orang + parkir 2rb. Jalannya emang kurang bagus, agak rusak. Tapi saya rasa masih oke untuk dilalui motor. Penjual di sini ga terlalu banyak. …"
gendhis ika,5,sebulan lalu,bagus sekali walaupun masih sepi belum banyak pengunjung
irawati,5,sebulan lalu,"Sebenarnya pantai yg cantik, cm mgkin pemeliharaannya aja yg harus ditingkatkan"
aisahrdh,5,2 bulan lalu,2024 hehe
bagas aditama,5,2 bulan lalu,"pantainya bersih, bisa turun ke bawah didampingi guide yang super ramah puolll
guide nya juga bisa foto dan video yang cukup baguss"
Gatot Gunawan,5,2 bulan lalu,Cantik..pemandanganya...🙂🙂🙂 …
Hermin,5,3 bulan lalu,"Pantai yang cantik dengan landscaping yang keren, waterfall yang unik, laut biru dengan deburan ombak yang dramatis. Perlu effort yang prima untuk tiba di lokasi tapi semuanya terbayar lunas dengan keindahan pantai ini. Tersedia warung utk makan, minum sambil beristirahat."
Sutiman Jogo,5,3 bulan lalu,Pantainya sangat asri menawan sayang pas kesana laut lagi pasang sehingga tidk bisa turun akses masuk sempit terutama samping TPR mohon diperlebar
Frida Dwika Ristriwulan,5,Diedit 4 bulan lalu,Tempatnya bagus. Cuma waktu saya ke sana lagi pasang. Angin lagi kenceng. Jadi gak bisa turun ke bawah. Karena ombak sampe ke pesisir pantai. 15 Juli 2018
Aura Shanty,5,4 bulan lalu,"🌊 Pantai Banyu Tibo – Perpaduan Pantai & Air Terjun yang Unik!
Pantai Banyu Tibo terletak di Desa Widoro, Donorojo, Pacitan. Akses menuju lokasi cukup menantang—jalan sempit dan berkelok, hanya bisa dilalui motor atau mobil …"
Eri Wahyudi,5,Diedit 4 bulan lalu,aksesnya lumayan menegangkan karena hanya menggunakan gmaps... sampe sana berasa kayak private beach...
Phiphi,5,5 bulan lalu,View bagus. Tiket masuk 10 K / org. Parkir seikhlasnya. Bibir pantai tidak terlalu luas. Turun ke pantai yang ada air terjunnya biasanya dianjurkan siang jam 1 sampai sore setengah 6 an. Ada guidenya yang siap membantu menuruni anak tangga …
ardian11,4,6 bulan lalu,"Untuk menuju ke pantai banyu tibo ini cukup dekat dg jogja. Jalan yg dilalui cukup tricky karena harus lewat jalan kecil, pas buat 1 mobil, naik turun dan kelak kelok. …"
Winda Puspita400i00ò,5,6 bulan lalu,Pantai yang indah dan bersih.. aksesnya mudah.. jalannya bagus.. penjaga pntainya ramah
Ammarx!,4,6 bulan lalu,"Datang hari Minggu 6 Juli 2025, harga tiket dewasa 10rb/orang, jalan akses masuk lagi perbaikan, jalan buka tutup, parkir mobil pribadi terbatas, disarankan pakai kendaraan roda dua. Banyak spot foto."
alexander ananto,5,7 bulan lalu,"Salah satu surga tersembunyi di bumi, dari jalan besar melewati ladang pertanian penduduk. Dibantu para pemuda untuk mengkondiskan lalu litasnya. begitu tahu pemandangannya mereka tidak mau diajak pulang."
Salman Radhitya,5,8 bulan lalu,Pantai dengan nuansa pemandangan yang indah untuk bersantai
iqbal maulana ibrahim,5,8 bulan lalu,Beautiful beach
Febri Mardhini,4,8 bulan lalu,"It was beautiful beach in Pacitan. But the stair need to be repaired or changed into new because when I went there it just made from bamboo.
On the route / stair there was a restaurant. The seller was so friendly and I …"
Doublezero,5,8 bulan lalu,"Pantainya bersih dan baguss pedagangnya juga ramah harga makanan juga murah, suka banget tempat nya"
Gunarso Gun,5,8 bulan lalu,"bagus, ramai pengunjung, tiket murah, hanya akses jalan yg perlu perbaikan dan pelebaran"
Mizuhi Wong,5,9 bulan lalu,"Jangan coba coba kesini, ga bagus, sepi, trauma pantai klayar, dulu sepi bagus bersih alami, sekarang rame malah kumuh ( menurut saya lho ) insya Allah kalo ke Pacitan kesini lagi saya, kalian jangan"
nicky minaj,5,9 bulan lalu,"Pantai terbaik nomer 2 di JLS (no.1 pantai Pangasan). Ada air terjun yg langsung mengalir ke pantai. Pantainya kecil dan bersih.
Kalo mau kesini mending di lihat dulu waktu pasang dan surut air laut, kalo pas …"
Ara Queena Achmad,5,10 bulan lalu,"Perjalanan dengan akses jalan yang lumayan extreme terbayar dengan pemadangan yg sangat bagus,pantainya masih asri tidak terlalu ramai
HTM 10rb, parkir mobil 5rb …"
Eko Prasetyo,4,10 bulan lalu,"Akhirnya kesampaian ke sini, harga tiket masuk 10k, toilet 2k, makanan standar 10-20k😽 …"
Bowo Ardianto,5,10 bulan lalu,"Pantai unik di Pacitan. Keunikannya terletak pada air terjun yang mengarah ke laut. Ya walaupun tak terlalu tinggi, namun aliran air dari sungai ini cukup deras. Sehingga ketika bermuara dilaut menciptakan pemandangan yang cukup indah. …"
Arvia Ari Sugesti,5,11 bulan lalu,"HTM 10K per orang, akses masuk kesini masih minim tapi bisa kok dilalui mobil. Terbilang masih sepi karena pas hari minggu kesini juga tidak begitu ramai. Cocok untuk bengong atau main air di bawah air terjunnya"
Fera Mochi,4,11 bulan lalu,"Datang kesini karena penasaran dengan air terjun yg langsung ke pantai. Ternyata indah banget pantainya.
Alhamdulillah datang pas cuaca cerah, langit biru dan laut biru. Tiket masuk …"
Sudarmi Mida,5,11 bulan lalu,Pantai nya sangat bagus dan juga tdk terlalu ramai dam juga pemandangan laut lepas yg indah
Rin Walu,2,11 bulan lalu,"B aja, ga rekomen karena ga luas2 banget pantainya, dan ga sepadan dengan akses jalanya."
Ayunita Chalim,5,Diedit setahun lalu,Ombaknya serem
izar pam,5,setahun lalu,Pantai yg beda dan sangat menarik..jalur masuknya berkelok- kelok jadi kendaraan dan supir harus jago ya..
Happy Day,5,setahun lalu,"Asik tempatnya, ga terlalu ramai, pedagang jg ramah2."
kiki rizqillah,5,setahun lalu,"Cakeep pantai nya dan ada air terjun air tawar langsung ke pantai.. akses jalan mobil mudah , pantai dekat parkir mobil"
Yayatiya,5,setahun lalu,"Pantai nya cakep poll gais, bersih jugaa, pokoknya cocok banget buat liburan🫶🏻 …"
Nugraha Arya,5,Diedit setahun lalu,"Anda mencari pantai yg lain dari yang lain??
Ini mungkin jawabannya.
Saya baru pertama menyaksikan air terjun (mini) langsung ke pantai. Dan itu …"
DP_VINO,5,setahun lalu,"dari TEGAL 12 jam perjalanan,
pantai josss....indah bgt! sangat bersih, …"
mywnaV,5,setahun lalu,"a really clean place with amazing natural views of the ocean, and the small waterfall."
Anang Wahono,4,setahun lalu,Pantai yang ada air terjun langsung ke pinggir pantai di Jawa Timur
Anggrit Purbani,4,Diedit setahun lalu,"Salah satu hidden gem nya Pacitan, kalau kesini weekend pasti ramai, akses jalan masih agak susah hanya bisa roda dua"
Vernando Nando,5,setahun lalu,Pemandangan bagus banget
budiresty budiresty,5,setahun lalu,Semoga semakin banyak di kunjungi wisatawan...akses jalan di perbaiki biar mudah menuju ke sana...salah satu pantai terbaik di kab Pacitan
yudi syah,5,setahun lalu,"Pantainya indah, unik, lautnya biru, tapi ombaknya agak serem."
unzahadi gunawan,4,setahun lalu,Lokasi masih sepi suasana ok
Warga Semar,4,Diedit setahun lalu,Unik
Erika Ika,5,setahun lalu,"Tempatnya bagus
Datang pagi hari atau sore bisa main air
Kalau siang air pasang …"
Rahmat Aldy setiawan,5,setahun lalu,agak syok juga si ama ni pantai kek bagus banget bisaan lagi pasirnya kebelah gtu trs makanannya murah” bgtt mana enak bgtt lagi pokoknya mau kesini lagi kalo lagi liburan ke jogjaaa🥹💖🤯 …
AdiTama Siju,5,setahun lalu,"Pantai ini dl ramai, kmrin kesana agak sepi pdhl minggu. Tiket masuk @10rb, Sempat beli makan udang goreng, enak fress, harga standart.
Buat berenang dan main air terjun bisa. Sebelah nya ada juga pantai yg bisa di akses dr karang2 dan sepi juga. Buat anak lumayan recomended."
Etik Purwanti,5,setahun lalu,"Yg mau kesini untuk pertama kali, mohon lebih berhati2 kalau pakai google map. Mending tanya penduduk sekitar. Kalau jalannya benar enak bagus sampai tujuan, tp pakai googlemap jadi blusukan karna memang susah sinyal didaerah sini. Kalau …"
Bobby Dwi ananto,5,setahun lalu,tempat paling swip buat sejenak melupakan penatnya hidup
Muhammad Khansa Abista Maulana,5,setahun lalu,"Bersih, bagus, bisa beli dan makan aneka seafood ditempat, seru sekali."
Yulia Rahadjam,5,setahun lalu,"Seru , nya"
Rahayu Robiana,5,setahun lalu,Pantai yang indah. Jalan perlu diperbaiki
Prayitaho Meijid,5,setahun lalu,"Sangat Menyenangkan ,menikmati pasir putihnya bermain Air Laut jg Air Tawarnya Sangat² Gembira sekali  Muantab 👍👍👍 …"
Sudamar Nur Ma'rufi,4,setahun lalu,Teringat pantai ini saat adik merayakan ultah mengajak jalan2 akhirnya sampai di pantai ini. Pantai yang menyajikan view air terjun dimana kita bisa menikmati keindahannya. …
Aik Adin,4,setahun lalu,"Pantai yang ada air terjun langsung ke laut, ada di pacitan dan malang"
The Wan One,5,setahun lalu,"Pantainya cakep, bersih dan ada air terjun yang eksotis..
HTM murah dan relatif masih sepi, jd bisa puas-puasin main di pantainya.. waktu coba terbangin drone pemandangan tambah mantab aduhay.. salah satu highly recommended beach dari sekian banyak pantai di channel @thewanone_official!"
Tukang mondarmandir,3,setahun lalu,"Pantainya kecil,bertebing"
Itsnain,5,setahun lalu,Salah satu pantai dengan pemandangan yang indah. Ada sumber air yang jadi air terjun juga disini. …
Mas Tf,3,Diedit setahun lalu,Viewnya bagus..
