name,rating,date,text
DEN TOPO MERAPI JOGJA raharja,5,seminggu lalu,"Tempat yg indah, cocok untuk lokasi kemah bersama keluarga"
Rina Pebi,5,seminggu lalu,"Ini pantainya juga bagus banget woiii, ada beberapa angle liat view pantainnya bisa mainan juga hahah kesini pas siang panas bgttt untung banyak yang jual jajan ama es jadi ntaps"
Mh Badrut Tamam,5,2 minggu lalu,"Pertama kali ke sini tahun 2005 (20 tahun yang lalu)

Kondisinya banyak sampah. Semoga pengelola tegas dengan aturan kebersihan terhadap pengunjung."
Hon's,5,2 minggu lalu,Sraung beach luar biasa indah
Nur Kholis,5,2 minggu lalu,Sudah lebih baik dan lebih rame dari yg dulu. Cocok buat ngecamp maupun sekedar mampir .
putra bagas,5,2 minggu lalu,"Pantainya bagus , akses ke pantai juga mudah bisa buat mobil, ada 3 pantai sekaligus ,suasana sama pemandangannya juga cakep,cocok buat liburan keluarga. Banyak pilihan menu juga yang harganya standar, saran kalau kesini pas musim kemarau biar viewnya lebih indah"
Ari Widianti,5,Diedit 3 minggu lalu,Masih bagus natural belum rame orang jd puas menikmati pemandangannya. Masih bersih indah
I'am Lucyfer,5,3 minggu lalu,Pantainyaa baguss. Tapi ga recomened buat yg mau main air atau berenang. Soalnya ombaknya gede
Sawa Putri,5,3 minggu lalu,bgus spot fotonya
Devina Oktaviana,5,3 minggu lalu,kesini pas libur tahun baru sama cowo akuu🤪 …
nnndaa,5,3 minggu lalu,"BAGUSSS BGT DEMI APAPUNN,apalagi ada 3 pantai di satu wisata yang bikin makin perfect,ga rugi si jauh jauh kesini view nya kaya ginii,suka poll😍 …"
Bowo Ardianto,5,3 minggu lalu,Pantai ini cukup unik. Keunikannya terletak pada sisi pantai yang berbeda-beda. Sisi pertama menghadap timur. Asyik kalau bisa kesini pagi dan dapat bonus sunrise. …
Intan Sekar,5,3 minggu lalu,"Tempatnya nyaman, lumayan bersih tapi untuk pasirnya kemarin kesana banyak sampahnya dan ombaknya lumayan besar juga …"
