name,rating,date,text
Tini Tolip,1,2 hari lalu,Tidak menjumpai keindahan hanya hamparan laut  properth rusak dan gidak ada tempat duduk nyama
Arman Syahada,2,seminggu lalu,Sampah tok.. krg terawat
Zulfi Assalam,5,2 minggu lalu,Enak buat ngecamp
Poedji Kristiono,1,3 minggu lalu,"Pantai nya polos gak ada apa-apanya cuma air dan pasir...
Masuknya disuruh bayar 20 ribu, parkir 5 ribu ☹️☹️☹️☹️☹️☹️☹️"
niken yuniarti,2,3 minggu lalu,Pantai kotor tidak terpelihara kebersihannya
Pak Suyidno,3,3 minggu lalu,Murah meriahhh
Nindy purnama,5,3 minggu lalu,suka bangettt... hbis panas oanas d pantai cr yg seger ada ir terjun bersih bngets seger rindang....
Andrijan Mindjaja,5,3 minggu lalu,"Cocok utk acara keluarga dgn harga karcis yg relatif. Akan cocok utk keluarga saat bukan hari liburan. Krn tempat pilihan parkir mobil n bener tikar banyak pilihan. Kamar mandi n toilet banyak tersebar dibelakang warung2, kadang juga …"
Herman Sayoga,4,sebulan lalu,"Pantai yang luas dan sangat landai, sangat ramai pengunjung."
Mr. 3,5,sebulan lalu,"Rame dan asyik buat refreshing bersama keluarga, bawa makanan dari rumah, tinggal sewa tiker dan makan bersama keluarga dengan nyaman dan asyik"
Kang Din Fatkudin,5,sebulan lalu,Tempat wisata keluarga yang rekomendasi untuk liburan akhir pekan
Desi Lestari,4,sebulan lalu,"Pantainya sedikit kotor karena ada sampah dimana-mana.
Htm 15k untuk motor 3k"
Rizqi Hafizh,1,sebulan lalu,"Pantainya kotor, penuh sampah tong sampah juga kurang"
Mounira Family Reflexology,5,sebulan lalu,Pemandangan sore hari sangat indah sekali 🥰😍 …
francisca elly,4,sebulan lalu,Masuk bayar 15rb/org dan mobil 5rb.
Rachmat الفجر,4,sebulan lalu,"Alhamdulillah satu pantai episode terakhir liburan ini puas mantai yang cukup luas dengan ombak yang relatif tenang, pasir yang halus, pengelola tenda yang jaga kebersihan (mengumpulkan sampah plastik yang berserak). parkir yang menurut …"
Dadang ST,5,sebulan lalu,Joss
Green Reka,4,sebulan lalu,"MASUKAN, MOHON TEMPAT BILAS ATAUTEMPAT  GANTI DIPERBAIKI. SEKELAS TELENG RIA. AIR SULIT(KECIL) DAN ANTRI. PADAHAL TEMPATNYA SUMBER AIR. LAIN LAIN SUDAH OK"
alfian rsd,5,sebulan lalu,"buat healing biar Ndak setress
anak anak suka sekali ombaknya Ndak terlalu besar bisa mainan Paser tiket juga murah 15k per orang"
Mr. Ranto,5,sebulan lalu,"Pantai yang nyaman, Indah, tetapi dahsyat ombaknya."
SPC crew,5,sebulan lalu,"Indah dan luas, untuk pesisir nya masih asri dan estetik sekalii"
Basilius Aris,2,sebulan lalu,"Pantai sepi ,tiket masuk menurutq mahal g ada istimewanya"
Erifilin Teramihardja,3,2 bulan lalu,Spot fotonya kurang banyak
Aw TV,5,2 bulan lalu,Tempat buat kuliner ikan laut
Muhammad Hanafi,3,2 bulan lalu,Luas banget pantainya dan landai tapi ada peringatan dilarang mandi
Mustika Jagad,4,2 bulan lalu,"Pantai terdekat di kota pacitan,, pantai bersih dengan pasir hitam
Ombak relatif kecil cocok untuk bermain anak
Sayang toilet kurang terawat"
Rudi Hadi,5,2 bulan lalu,baik
jefridung,5,2 bulan lalu,jika
toni Speed,1,2 bulan lalu,Pntai kotor
Hendra Pratama,5,3 bulan lalu,"Pantai bagus , luas"
Jagoan Exim,5,3 bulan lalu,Okay
Tita 7062,5,3 bulan lalu,Bagus pantainya
desti kurnia ramadhani,5,4 bulan lalu,"Hasil cukur nya rapi
Rama rapi bersih"
Sewa Mobil Jogja Murah,5,4 bulan lalu,Recommended
Arminingtyas Safira Wibowo,5,4 bulan lalu,Syahdu pantai bersih terawat dan terjaga
rancangbangun,4,4 bulan lalu,Biasa
Edy Mantep Mantep,5,4 bulan lalu,Parai Teleng Ria tempat yg indah utk refresing dan santai. Pantai yg luas dan indah tapi pengunjung tdk diperkenankan mandi dipsntai ksrens ombak yg besat dan curam. Disekitar nya banyak penginapan dan hotel bagi yg ingin bermalam .
kang anom,5,4 bulan lalu,Sekarang sudah semakin terawat bersih dan nyaman
Azkiya Adiva,5,4 bulan lalu,"Nyaman untuk bersantai dg keluarga, tersedia kamar mandi ,, next pngen kesini lagi"
Abankz selamat ready,5,4 bulan lalu,"Pantai yg luas. Dan nyaman untuk arena bermain anak anak, Tapi sayangnya banyak sampah disepanjang tepi pantai yg tidak dibersihkan. Dan terkesan pantai seperti tidak terawat"
rahma mumpuni,5,4 bulan lalu,"Sebetulnya untuk pantainya kurang bagus, cuma disini menjual berbagai macam ikan laut goreng"
M R,5,4 bulan lalu,Alhamdulillah pernah berkunjung ke sini. Saya berkunjung kesini pada tahun 2016. Suasananya pada saat itu sepi sekali. Belum banyak pengunjung yang datang. Pokonya ini pantai yg keren.
Adito Mulyo,5,4 bulan lalu,"Bersama keluarga menikmati indahnya pantai sambil bermain layang layang.
Dan makan ikan laut segar yg digoreng. Mantap."
yunisa hapsari,5,4 bulan lalu,"Pantainya bersih, nyaman
Tdk boleh berenang, tp kalau hanya main air masih oke"
Wieds Pakarsa,5,5 bulan lalu,"Salah satu pantai di dekat kota pacitan
Bisa menjadi tujuan wisata keluarga
Akses sangat mudah …"
lia susanti,5,5 bulan lalu,Tempat wajib yang harus dikunjungi saat ke Pacitan.
Cahya Wijaya,4,5 bulan lalu,𝚃𝚎𝚖𝚙𝚊𝚝𝚗𝚢𝚊 𝚋𝚊𝚐𝚞𝚜 𝚌𝚞𝚖𝚊𝚗 𝚖𝚎𝚗𝚓𝚊𝚍𝚒 𝚝𝚎𝚖𝚙𝚊𝚝 𝚋𝚞𝚊𝚗𝚐𝚊𝚗 𝚜𝚊𝚖𝚙𝚊𝚑 𝚍𝚊𝚛𝚒 𝚑𝚞𝚕𝚞 𝚜𝚞𝚗𝚐𝚊𝚒 𝚐𝚛𝚒𝚗𝚍𝚞𝚕𝚞 …
Cahaya Bulan,5,5 bulan lalu,"Seru, akhir pekan lumayan ramai pengunjungnya. Pemandangan cantik, ombak relatif biasa"
Abednego Eko Harjiyanto,4,5 bulan lalu,"Pantai lumayan bersih, sejuk."
Oriontoni Setyarez,5,5 bulan lalu,"Masuk dari pintu Teleng Ria, waktu itu gratis, lumayan cukup ramai warga lokal yang bermain atau latihan voli dan olahraga, di ujung ada pasar ikan yang tutup, dan muara sungai."
lucky ariyani,4,5 bulan lalu,sayang ga terlalu bersih pantainya
Intan Ramadhani,5,5 bulan lalu,"Sudah lama mendengar nama pantai teleng ria, tapi baru sempet main, dan pengalaman pertama kesana, seru, asik suasana baru, bisa menikmati pantai dengan tidak banyak orang adalah nikmat duniawi 😄😆 …"
Denmas Suta,5,5 bulan lalu,"Mantap sekarang pantainya,, nyaman bersih"
ARI FERNANDO,5,6 bulan lalu,"Kopi pagi, menjelang siang"
muhammad suyanto,5,6 bulan lalu,Wes apik lan mening tok wes
Arief Kustono,4,6 bulan lalu,"pantai bagus, sayangnya banyak sampah di sepanjang pantai."
Andika Prayogi,5,6 bulan lalu,Ombaknya tenang enak bgt klo bawa bocil
agsa sangkar chanel,5,6 bulan lalu,Perlu dijaga kebersihan pantai
Sakiyo Gps,4,6 bulan lalu,Perkir sampai tepi pantai dan Luas .....
Irul Abi,5,7 bulan lalu,Nyaman sekali
Yusuf Bani,5,7 bulan lalu,"Sehat,kuat,manfaat💪 …"
