name,rating,date,text
Rizquna Tailor,4,sebulan lalu,Sebenarnya tempat eksotik tapi sayang fasilitas banyak yang kurang terutus seperti lampu2 yg menambah kesan wah pada waktu malam
Genteng Karangpenang,5,sebulan lalu,Cukup bagus cuma Kurang permainan nya untuk anak anak
Gutawa Channel,5,sebulan lalu,Pemandanhannya cantik
surya patria,4,2 bulan lalu,"Suasana bagus , tapi banyak yang buang sampah sembarangan"
Moh Hadir94,5,2 bulan lalu,Woookeh
Alham Azizi,5,Diedit 3 bulan lalu,Good
Moh Ali,3,4 bulan lalu,Tidak ada yg menarik
Wiwik Agustini,4,4 bulan lalu,TempatNya nyaman dan sunyi ♥️
Sallim Ali,5,4 bulan lalu,Terbaik
Rizki Dwi Putri,5,5 bulan lalu,Wisata alam yang bagus dan jarang di madura
Mjeep W,5,5 bulan lalu,Pemandangan yang indah dan luarbiasa
Wαhyudy Blantenz,5,5 bulan lalu,Pemandangan yang sangat indah
Qhun Fayaqhun,1,5 bulan lalu,Buruk
KKN POSKO 9 PADEMAWU BARAT 2025,3,6 bulan lalu,view nya bagus
Sofiatun,5,6 bulan lalu,Sangat dipercaya dan amanah
Onibaku,5,6 bulan lalu,Tempat yg sangat bagus buat healing dan nyantai adem
Mahendita Galang,5,6 bulan lalu,"Tempatnya enak, relatif sejuk untuk ukuran madura.
HTM 10rb parkir 5rb untuk mobil.
Menyediakan pemandangan kota, cocok untuk piknik bersama keluarga, makanan yang dijual ramah dikantong."
achmad syafii Raflie,3,7 bulan lalu,Indah pemandangan dari atas
Robiatun Adawiah,5,7 bulan lalu,Good🥰 …
Sitti Kamila,5,7 bulan lalu,"Pertama kali kesini, setelah turun hujan, suasananya sangat adem. Pemandangannya sangat bagus"
Arya Primadi Nugroho,4,7 bulan lalu,Pilihan makanannya kurang banyak
Noval,1,7 bulan lalu,Pelayanan tidak baik admin secukupnya
