name,rating,date,text
Saifudin,5,2 minggu lalu,"Adem, Instagramable. Sejuk"
Miyukie Kim4,5,3 bulan lalu,"Bagus sehh enak adem, tp tempat nya kurang bersih gedung² nya gak terawat bless"
Rohimudin,5,3 bulan lalu,indah
xymphony VXI,2,5 bulan lalu,"sampah nya banyak sekali, kurang terawat padahal potensi wisatanya bagus"
Zaini Marsuki,5,5 bulan lalu,Ingin lebih mudah akses untuk orang lain biar tidak seperti pengalaman saya di desa orang
Choirul Anam,5,8 bulan lalu,Pantai jumiang bawah pantai yg bersih pemandangannya sangat exsotis. Enak untuk ngefress fikiran dan cocok buat renang anak atau dewasa bisa juga untk terapi penyakit struk. Warung andalan WARUNG AZZALFA
Ahmad Karimullah,5,9 bulan lalu,Saya pernah mengunjungi wisata ini 2 bulan yang lalu
Firman Syah,5,9 bulan lalu,Bagus
Imam Arifin,5,9 bulan lalu,"Bagus...
Pantainya juga bersih,cocok untuk anak anak dn orang dewasa. Cocok juga Buat ngumpul bareng keluarga dn teman teman 👍 …"
Deah Rama A,5,9 bulan lalu,"Umumnya pantai di Pamekasan lah ya, tapi yg satu ini kalo musim hujan bisa asri dan hijau, kalo musim kemarau berasa kaya musim gugur"
Raharjo Dalim,5,9 bulan lalu,tempatnya menyenangkan mudah di jangkau kendaraan
Ryan Almer,5,11 bulan lalu,"Pantai Jumiang di Pamekasan itu bener-bener surga tersembunyi! Pertama kali ke sana, langsung jatuh cinta sama suasana pantainya yang tenang dan adem. Pasirnya putih bersih, air lautnya juga jernih banget, bikin betah buat berlama-lama main …"
M. assyaf14,5,11 bulan lalu,Sangat buruk
Ido Ananta,1,setahun lalu,"Tidak cocok dijadikan wisata keluarga, melainkan wisata ekstrim. Jembatan pinggir lautnya, banyak kayu yg lepas, mesti berhati-hati. Pengalaman pinggir laut hanya memungkinkan untuk orang dewasa, karena hanya diisi batu-bata cadas, yang biasanya disukai untuk berfoto."
Fauzy Oqy,1,setahun lalu,pantai nya ada 3 jelek semua
qonitah ernawati,5,setahun lalu,"Pantai yg indah, sayang tidak terawat"
ike hesti,4,Diedit setahun lalu,"Beautiful view,  cm sayang akses untuk turun ke pantai belum selesai d bangun,  dan sayang masih banyak sampah.  Pengunjung masih tidak peduli lingkungan"
Rahilben Thalib,4,Diedit setahun lalu,Seruu bangett apalagi pas bareng² tuh makin double serunya tiket masuknya itu 5k per orang dan mobil juga 5k
Karis Akmal Hussin,5,setahun lalu,"Pantainya sudah indah, mungkin alangkah baiknya bila ditambah wahana agar wisatawan tidak boring atau jenuh karena wahananya cuma kuda saja. Sedikit saran dari saya, mungkin ditambahkan penyewaan motor ATV yang tentunya biaya sewanya terjangkau agar tidak terlalu menguras kantong.."
Ivon Ayunatasari,5,setahun lalu,bagus sih cuman pantainya kyk udh ga dirawat lagi
Imam Fariqi,3,setahun lalu,"Terakhir mengunjungi agak kurang terawat, padahal dr segi suasana lumayan bagus"
Shanss,4,setahun lalu,"Pantainya sudah indah mungkin alangkah baiknya bila ditambah wahana agar wisatawan tidak boring atau jenuh karena wahananya cuma kuda saja. Sedikit saran dari saya, mungkin ditambahkan penyewaan motor ATV yang tentunya biaya sewanya terjangkau agar tidak terlalu menguras kantong."
alwi sodiq,3,setahun lalu,"Fasilitas sdh banyak yg rusak, tidak bisa buat berenang hanya spot foto"
intan anggrainiababil,5,setahun lalu,udah jauh jauh kesini Alhamdulillah pantai nya bagus dan menarik
Rini Violet,4,2 tahun lalu,"Bisa melihat view pantai dari tebing, ada tangga menuju ke bawah kalo mau main pasir pantai"
Mulyadi Utomo,1,2 tahun lalu,Perlu perhatian lebih serius untuk menjadi tempat wisata yang bagus
Muh Yusuf,5,2 tahun lalu,Tempat yang cocok untuk liburan bersama si kecil
Daus Tepess,4,2 tahun lalu,"Bagus dan Masih Natural..
Ada 2 Pilihan Spot Foto Bisa di Bibir Pantai atau Dataran Tinggi Pantai View Atas.."
Siti Romlah,5,2 tahun lalu,Cocok untuk bersantai bersama keluarga sekaligus kulineran jajanan khas disana
Rendy Fernandez,2,2 tahun lalu,"Wisata yang sdh tidak terawat ...
Semenjak ada covid terjadi penutupan akhirnya pengunjung tidak kunjung datang..."
Rully Syafril,5,2 tahun lalu,I was with you
Ivadatul Arifa,5,2 tahun lalu,"Pantai Jumiang salah satu tempat wisata di Pamekasan. Lokasinya mungkin sekitar +/- 14 km dari kota, perkiraan waktu tempuhnya sekitar +/- 30 menit. Untuk menikmati wisata pantai ini, bisa dari atas atau dari bawah. Terdapat beberapa penjual makanan. Dan beberapa orang memancing di pantai ini."
Sanjaya Budiono,4,2 tahun lalu,Seru!!!
Habiburrahman Habiburrahman,4,2 tahun lalu,Perawatan perlu pebih diperhatikan. Terutama sampah. Untuk fasilitas lain seperti gazebo sudah lumayan. Cukup rekomended untuk acara baberque.
Iis Rafif,4,Diedit 2 tahun lalu,"Disini ada 2 tempat tujuan. Pantai jumiang dan pantai jumiang indah.
Pantai jumiang pemandangan batu2 karang dan pengunjung tidak bisa main pasir atau air. Dan untuk akses tangga kayunya banyak yg rusak dan lapuk seperti tidak …"
Muzayyanah,3,2 tahun lalu,"Pantai nya bagus enak la pokok nya tapi yang buat saya GC enak di sana itu penjual nya gak sopan sama pembeli ,dan gac ada ramah ramah ,apa lagi yang di jual udah GC bisa ngomong apa apa lah ,tapi kayak nya gac semua kayak gitu ,yang saya bicarakan ini si penjual rujak di PALING BARAT"
Risdiana Dwiwindarti,2,2 tahun lalu,"Ada tempat jualan makanan,tdk bisa melihat pasir pantai krn lgs tebing pantai,tidak ada MCK,bayar mobil 5.000,orang 2.000"
sofyan ainurroziqi,5,2 tahun lalu,Sejuk dan indah
Herry Eka,4,2 tahun lalu,Perlu dijaga lgi kebersihannya
Adinda,2,2 tahun lalu,"Untuk siapapun yang mengelola tempat ini dan untuk siapapun yang datang ke tempat ini. Mau jumiang bawah atau atas, tolong dijaga kebersihannya, sampahnya mboh ya jangan asal buang apalagi ditinggal gitu aja. Sarana prasarana jelek sekali, …"
Indah Kurniawati,4,Diedit 2 tahun lalu,"Pantainya lumayan bagus, hanya saja fasilitas nya banyak yg tidak terawat dengan baik, ada banyak perahu yang bisa disewa untuk menikmati keindahan pantai."
Icha Jessica,1,Diedit 2 tahun lalu,"Byk sampahnya, pengunjung jga asal2an buang sampahnya...
Tp semua emang berdasar pd diri sendiri sih, klo kita respek sm lingkungan pst tempatnya nyaman dan bersih...."
Tegar Setiawan,5,2 tahun lalu,Pantainya bersih dan indah
doo john,4,2 tahun lalu,a nice place to get a selfie.
Fitra Wahyudi,4,2 tahun lalu,kurang perhatian dari pemerintah daerah.
Sandi Ari Madiun,5,2 tahun lalu,Ada 2 lokasi ..jumiang & jumiang indah..yg jumiang utk panorama tebing pantai...yg jumiang indah panorama pasir & pantai
norma dewi,4,2 tahun lalu,"Pemandangan lumayan bagus
Sampah berserakan dimana mana
Semoga pemerintah setempat bisa lebih serius dalam mengelolanya"
Suryadi,3,2 tahun lalu,udah lapuk tempatnya ga dirawat
Hablul bari46,5,2 tahun lalu,Lumayan indah
Mansur Aprilya,5,2 tahun lalu,Sejuk dan pemandangannya cukup eksotik dan memandang banyak perahu perahu yang menghiasi bibir pantai begitu indahnya
didik poole,5,2 tahun lalu,Alhamdulillah leluasa sangat
Muhammad mukti,4,3 tahun lalu,Aksesnya sudah mudah dari pusat kota. Sayangnya banyak fasilitas yang sudah tidak terawat. Dan ini bukan pantai ya gaes. Kalau mau yang versi pantainya bisa belok ke kiri sebelum ke arah destinasi wisata ini.
Holis 021,5,3 tahun lalu,Bgus. Bsa unk tmpat mncing jga
Achmad Baihaki,4,3 tahun lalu,Tiket masuk perorangan Rp; 5000
B45h 436ee,3,3 tahun lalu,Tidak terawat
SAHAT NADEAK (LIAN),5,3 tahun lalu,Bagus pantai jumiang. Tapi jalannya kadang rusak
012_Nurul Fajriyah Hidayat Putri,5,3 tahun lalu,"The location of Jumiang Beach is Tanjung Village in the Pamekasan Regency of Madura, East Java (Pademawu District). Jumiang Beach stands apart from other beaches due to its location on a plateau and cliffs in addition to its white sand. The …"
Vhanza Vanjelo,5,3 tahun lalu,Cerah
Rudi Hartono,5,3 tahun lalu,"View bagus , tapi perawatan kurang"
Moh Aldi,5,3 tahun lalu,Indah...namun..harusnya di upgrad..klo bisa ada destinasi halalnya....
Anang Dwi Rismawan,5,Diedit 3 tahun lalu,"Pantai yang menarik untuk dikunjungi, walau memang benar tdk terawat , banyak bangunan terbengkalai , tapi msh ada para penjual makanan di sekitar tempat wisata , semoga dapat perhatian lebih dari pemerintah setempat untuk membangkitkan perekonomian dan pariwisata di Pamekasan"
Putri Bali Mila Purnamasari,4,3 tahun lalu,Bagus tempat nya... Cocok buat refreshing mandi juga main bareng bocil di pantai nya. Adaaa tempat duduk nya juga buat Ong naong hehe
Khoirul Mufit,5,3 tahun lalu,Sip
yosie santiviana,2,3 tahun lalu,"Sayang gk terawat, skrg kotor banget"
Izza Azizy,4,3 tahun lalu,Oke lah
Tong Settong,5,3 tahun lalu,tempat ziarah bagus
Mohammad Arif,5,3 tahun lalu,Acara kopdar gabungan semadura berjalan lancar dari club ninja pamekasan KNI jaya
Shiro,5,3 tahun lalu,Asik tempatnya
Ahmad Fauzan,5,3 tahun lalu,Terindah
zei ulhak,1,3 tahun lalu,G ada alasan untuk datang kesana lagi
Hamzah Bamujibur,4,3 tahun lalu,"Murah meriah, cukup 2000rb sudah bisa bersenang senang"
surya patria,5,Diedit 3 tahun lalu,Bagus
Saleh Afif,5,3 tahun lalu,Suasananya sangat indah
ASIGUR,5,3 tahun lalu,"Sampah masih berserakan dimana2, karcis cukup murah"
imam buhari,5,3 tahun lalu,good
Lingga Kurniawan,4,3 tahun lalu,"perlu perawatan di lokasi wisata...
perlu menjaga kebersihan...
jembatan kayu sebaiknya diperbaiki agak tidak membahayakan pengunjung …"
Abdmalik asrdfzxysfkbxifsacmxviy vmgfcdscbcc,3,3 tahun lalu,Sya masih baru pertama kali kesini jadi blum bisa menilai apa lgi tadi gk jadi wisatanya di tutup buat acara
Ninik Warda,4,3 tahun lalu,Anak2 senang happy main dipantai
Anisa Khoiriyah,5,3 tahun lalu,Minusnya tempat duduk .
