name,rating,date,text
Nur sidiq,5,2 bulan lalu,Indahnya
17_Maulana Abidzar Ahmad,5,2 bulan lalu,sip
Wisam Syafiq,4,3 bulan lalu,"sukamade unforgettable experience 👍👍. sayangnya tidak ada website resmi, jadinya mencari informasi pas mau ke sukamade kesusahan. saya harus buka semua blog dan buka situs review dan akhirnya bisa dapat informasi tentang pantai sukamade …"
Apaantuh,5,6 bulan lalu,I love tria
GiduL GinyuT,5,7 bulan lalu,"Pantai yang menjadi tempat penyu bertelur dengan spesies penyu terbanyak di dunia, bahkan penyu belimbing bertelur di pantai ini.
Balai konservasi penyu yang sangat menjaga keseimbangan penyu dari berbagai …"
I M,5,11 bulan lalu,"Lokasi untuk konservasi penyu, bisa diadakan rutin pembersihan pantai jika banyak sampah laut. Bersama anak muda dan ngo atau yang memiliki semangat"
Carsten Bisgaard Hansen,5,setahun lalu,Pengalaman yang luar biasa
Zaenal Mustofa ザエナル,5,setahun lalu,Bagus pantainya... Jalanya ekstrem menantang bagus
David MF,5,setahun lalu,Salah satu pendakian terbaik yang pernah saya lakukan
Andri Daryawan,5,setahun lalu,Wisata efukasi
Loson Nengah,5,setahun lalu,Sungguh menyenangkan...
dave tomm,5,setahun lalu,4x2 dan sampai juga 😄😄 …
IBROHIM akung,5,2 tahun lalu,Sangat bagus di kunjungi
Endah Setyorini,5,2 tahun lalu,"Pengalaman tak terlupakan..
Awalnya kami menggunakan mobil jenis Jeep yg tertutup, sampai sarongan kami memutuskan ganti mobil Jeep terbuka biar lebih bisa menikmati alam 😃 …"
Taus Sonia,5,2 tahun lalu,Although accomodation is rough this is a hidden gem. This is a one in a lifetime experience. I highly recommend.
SSC,5,2 tahun lalu,Maybe the once in your life experience. 🙂 …
Made Man,5,2 tahun lalu,"Tempat yang sangat natural, sangat bagus untuk wisatawan yang suka tempat alami dengan sedikit keramaian, edukasi dan pemahaman tentang penyu, sangat cocok untuk mencinta penyu yang ingin mengetahui kehidupan di alam bebas, perjalanan …"
Сергей Филин,5,Diedit 2 tahun lalu,Ada pos pemeriksaan di pintu masuk taman nasional di desa terakhir. Tiket satu hari untuk orang asing berharga 150.000 rupee. Anda dapat menghindari pembayaran dengan memutar pos pemeriksaan di sebelah kiri melalui desa. Jalan-jalan …
Google User,5,2 tahun lalu,"Pantainya bagus, sepi makanya penyu2 bertelur di sana. Gelap gulita saat menunggu penyu malam hari sekitar jam 21 - 22. Meski medan jalan ke sana perlu kendaraan 4x4 tapi seru."
Eko Sulistyawan,5,2 tahun lalu,"Bener"" surga yg tersembunyi.
Mdski akses jalan yg sangat msnantang, namun terbayar oleh keindahan dan keperawanan alamnya."
Flex Work,5,2 tahun lalu,View sangat memuaskan dan perjalanannya sangat wow😂 …
A. Rofiq,4,2 tahun lalu,"Sangat beruntung begitu tiba di pantai sudah ada penyu hijau yang sedang proses bertelur jadi tidak perlu menunggu lama, pengalaman yang luar biasa bisa melihat secara langsung proses bertelurnya penyu di malam hari serta proses pelepasan Tukik ke laut lepas"
Puri Brawijaya Tv,1,2 tahun lalu,Sangat kecewa
Sulchan Masyhari,5,2 tahun lalu,"Pantai yg indah, cantik dan menawan"
