name,rating,date,text
alfallah saladin yulianto,5,Diedit seminggu lalu,"Woww, ini keren banget, menakjubkan dan pemandangannya bagus sekali #oke untuk penyembuhan"
Annisa Kurnia Putri,5,seminggu lalu,Pantainyaa lumayan rame dan ada warung yg jualan untuk duduk nyantai di kursi yg disediain harus bayar per jam
Zetabite,2,seminggu lalu,"Pantainya luas dan lumayan indah, paling airnya aja yang kecokelatan terkena pasir. …"
Rahma Sari,5,Diedit 2 minggu lalu,"Beautiful beach in banyuwangi. One of the  ""must visit"" beach especially for sunset"
Abu Utsman,5,2 minggu lalu,"Pantainya bagus, vibenya juga asik & menyenangkan. Fasilitas² yg ada pun cukup memadai. Mulai dari toilet, kamar mandi, tempat parkir & warung. Semua cukup oke. …"
Akbar Aghatsy,4,2 minggu lalu,Tolong dong pengelola pantai pulau merah lebih memperhatikan tetang kebersihannya. Lingkungan sekitar pantai terlihat banyak sampah²nya. Saya jadi malu saat mempromosikan ke  pihak lain nyeletuk jawaban kok lingkungannya kotor sekali
Rain Back,4,2 minggu lalu,"Pantainya adem,luas banget"
bagas amang,5,3 minggu lalu,Sangat bagus
Raras Santosa,4,3 minggu lalu,"Kesini pas akhir tahun rame bangett, tapi pemandangannya okee"
Fathul Farikh,5,3 minggu lalu,Rekomended banget buat yg sedang ke Banyuwangi 😍 …
agus nurwakhid,4,3 minggu lalu,Kok sekarang kotor yaaa
DARDIRI DARDIRI,5,4 minggu lalu,"Murah, akses sangat mudah, perlu petugas parkir dan keamanan di pantai"
Nauval Rmdn,5,4 minggu lalu,"Saya berkunjung di akhir tahun tgl 31/12/2025.
Cuaca berawan ,jadi tidak bisa melihat sunset.
Pantai kotor dengan sampah, tetapi saya positive thinking, mungkin akibat …"
awannice,5,sebulan lalu,Pantai dengan view  indah
Banyuwangi Shuttle Taxi,5,sebulan lalu,"Liburan NATARU 2025-2026 banyak skALi wisatawan lokAL berdatangan berkunjung kesini. Wisata Pantai pALing ramai di Banyuwangi, -+ 80km ditempuh waktu 2 jam dari pusat kota. Selamat Berlibur, semoga bisa kembALi LAgi datang ke Banyuwangi."
Nala Zulfa,5,sebulan lalu,"Fix pantai ini sangat bagus dan harus dijaga agar tidak banyak sampah..
Pasirnya halus, tempatnya bersih, kalau air surut ada kubangan yang sangat bagus membentuk kolam-kolam dan bisa dibuat berenang anak-anak …"
Alfian Rasyad Prasetyo,5,sebulan lalu,"Panas kalau siang, tapi banyak kuliner termasuk Kelapa Muda"
MEDIA PRO DAN KONTRA,1,sebulan lalu,Oke
Ahmad Ateq,5,sebulan lalu,Cakep banget pantainya. Datang sore jam 15.00 sampai maghrib. Sunsetnya cakep banget
laxmi firdausi,5,sebulan lalu,"Bagus, nunggu sunset, sayang cuaca bln desember tdk mendukung. Pantainya tak kalah dgn pantai2 di bali, bahkan ada tempat surfing yg aman"
Habibi Hotim17,5,sebulan lalu,semakin maju
Muhammad Bahrudin,5,sebulan lalu,"Pantai destinasi wisata populer murah meriah di Banyuwangi bagian selatan (Pesanggaran) yang terkenal dengan pasir putihnya, ombaknya yang cocok untuk berselancar, bukit kecil unik dengan tanah kemerahan (terlihat saat kemarau)."
Oksendi Vitra,4,sebulan lalu,Lumayan banyak sampah di pasirnya
Shane Bennett,5,2 bulan lalu,Quiet beach with reasonable surf at times. Some places have cold beers but all have drinks etc.
Johan K. Siswoyo,5,2 bulan lalu,"Imho, Pulo Merah adalah pantai panjang terbaik di Pulau Jawa. Tiket murah ga semahal pantai di Malang. Akses jalan juga sudah mulus dari kota sampai ke lokasi. Waktu terbaik ke sini pas sore untuk melihat sunset"
Ucok and Elsa Silitonga,5,2 bulan lalu,We had a good time there. As we found good restaurant and also affordable place to rest and sleep. People there were nice. Well recommended near the beach itself.
