name,rating,date,text
Rani Safira,5,2 minggu lalu,bagus pemandangannya
Kei,5,sebulan lalu,Great
Agus Sudharnoko,3,Diedit sebulan lalu,Tempat berlibur yg penuh tantangan. Sudah belasan kali saya kesini. Satwa liarnya relatif jinak2
Marsitah Jannah,5,sebulan lalu,Sangat ingin kesini tapi apalah daya uang tidak byk
dijay brian,5,sebulan lalu,"""Visiting Hutan Alas Purwo was an unforgettable experience! The pristine and mysterious beauty of the forest made me feel like I was in another world. The challenging trek and spectacular scenery left me in awe of nature's beauty. Don't forget to bring your camera and be ready to capture some amazing moments! ⭐⭐⭐⭐⭐"""
ed iwan,5,2 bulan lalu,Tempat wisata alam yg memiliki kisah unik tersendiri
Opek IR,5,4 bulan lalu,"Saya pergi ke Hutan Purwo pada tanggal 15 September tahun 2000, saya berasal dari Sulawesi.
Hutan Purwo keren."
Dadang Surahman,5,4 bulan lalu,"Sejuk
Ada jawa jiwa d pantai plengkung
Bisa lihat rusa, merak , banyak monyet
Ayam hutan dll"
ihwani Rozak,5,5 bulan lalu,Matursuwon kepada penjaga bapak/mas sudah di izinkan tanpa bayar tiket 2× ke sini gerrrratis
Azmil fateku Romania,5,6 bulan lalu,Indah cantik mengagumkan awalnya sy kira hanya sebatas hutan tp didalamnya ada bbrp spot untuk dikunjungi termasuk pantai2.di foto yg saya share minus pantai plengkung krn kl masuk sana harus sewa mobil dgvtarif 450/750 kalo tidak lupa …
Wishnu E. W.,5,7 bulan lalu,Salah satu wisata alam populer di Banyuwangi. Alas Purwo merupakan cagar alam yang sangat luas. Alamnya masih terjaga keasriannya. …
pranadya ananta,5,8 bulan lalu,"pantai trianggulasi bagus bgtt, apalagi klo dapet sunset nyaa oren bgtt, semoga bisa kesana lagi🤗gotta be here guys!! …"
Farrel Rastra Rabindra,5,8 bulan lalu,"hawanya sejuk,bisa liat hewat endemik
berkeliaran"
Minuita 221,5,9 bulan lalu,"Alas Purwo adalah salah satu dari 3 Taman Nasional di Banyuwangi bagian ujung selatan. Alas purwo adalah Hutan purba tertua di Jawa sejak jaman kerajaan Majapahit. Taman nasional ini yang paling jarang dimasukkan pada paket2 wisata Bwi, …"
Andhi Rahman,5,9 bulan lalu,Mengunjungi taman nasional Alas Purwo start pagi hari dari Kota Banyuwangi. Berbeda dengan taman nasional Baluran dimana kita bisa melihat savana dengan mobil dan bisa berhenti untuk mengambil foto. Savana di Alas Purwo dari pintu masuk …
darianto dani,4,9 bulan lalu,Sunsetnya syahdu bed
Matari,2,9 bulan lalu,Decent Place but lots of trash
Saras W,5,setahun lalu,"When the nature meets the culture and local wisdom, Alas Purwo has balance it all. …"
Eka Sarie,5,setahun lalu,"Tempat yang sangat indah, adem, bersih, juga ada hewan yang bisa dilihat"
Rini Febriyani,5,setahun lalu,"Pengalaman yang seru bagi anak anak. Saat masuk menuju Pantai Ngagelan tau tau di sambut merak betina. Jalan lagi disambut lagi gerombolan monyet. Anak anak seneng sekali. Mereka juga penasaran dengan Padang savananya, karena dapat melihat …"
Lydia Kristiani,5,setahun lalu,"Taman nasional dengan hutan yang konon katanya angker. Luas banget dan punya sabana, pura-pura dan pantai-pantai. Siap-siap naik kendaraan karena dari pintu masuk sampai pantainya jaraknya lebih dari 5 kilometer. Penerangannya minim jadi lebih baik datang saat hari terang."
Rieva Tenlima,4,setahun lalu,"Terdapat beberapa tempat wisata yang bisa dikunjungi di sini. Mulai dari pantai, savana, pura, dan yang lainnya. Biaya masuk per orang dan kendaraan dihitung dari awal masuk, sehingga tidak perlu bayar HTM di tempat lainnya. Kecuali jika …"
Rully Hiking Stories,5,setahun lalu,"Alas Purwo National Park is a hidden gem in East Java, offering an unparalleled wilderness experience. As one of Indonesia's oldest and most pristine rainforests, it boasts incredible biodiversity, from lush vegetation to diverse wildlife. …"
Villagoestine (Depikong),5,setahun lalu,"Sejuk, dan masih asri."
dian ratnasari,4,setahun lalu,Great national park
rahmat sumarji,5,setahun lalu,Hutan yg asri dan masih natural... sanggat terawat dan mistis
Kade Suryaningsih,1,setahun lalu,"pengalaman seru,tempatnya sunyi tapi mengesankan,semoga lain waktu bisa kembali ke alas purwo"
